Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	255.714128  	1.637956    	21.69     	1991.930851
0.00020000     	19        	3040        	48640       	249.257871  	1.671731    	19.95     	2010.954650
0.00030000     	29        	4640        	74240       	244.219814  	1.705417    	20.59     	2008.383312
0.00040000     	39        	6240        	99840       	240.089495  	1.739090    	21.93     	2025.704762
0.00050000     	49        	7840        	125440      	235.704991  	1.821751    	21.38     	2015.791057
0.00060000     	59        	9440        	151040      	230.431891  	1.767243    	23.53     	2001.887064
0.00070000     	69        	11040       	176640      	224.124677  	1.816054    	22.15     	2010.149316
0.00080000     	79        	12640       	202240      	216.467587  	1.907295    	23.35     	2017.140526
0.00090000     	89        	14240       	227840      	210.378376  	1.956773    	23.34     	2019.500743
0.00100000     	99        	15840       	253440      	205.882037  	2.004024    	22.49     	2019.381589
0.00099973     	109       	17440       	279040      	199.943207  	2.108012    	21.27     	2025.043999
0.00099890     	119       	19040       	304640      	193.326399  	2.016646    	23.87     	3100.519125
0.00099753     	129       	20640       	330240      	185.336600  	1.997406    	23.42     	1689.334491
0.00099562     	139       	22240       	355840      	177.348674  	2.091522    	23.02     	2001.468053
0.00099316     	149       	23840       	381440      	172.946194  	2.198970    	22.73     	2016.389156
0.00099017     	159       	25440       	407040      	167.377058  	2.202870    	22.02     	2024.515978
0.00098663     	169       	27040       	432640      	161.014786  	2.250426    	23.38     	2022.676081
0.00098257     	179       	28640       	458240      	159.355531  	2.284687    	23.09     	2017.210043
0.00097798     	189       	30240       	483840      	155.124784  	2.220668    	21.81     	2009.083835
0.00097286     	199       	31840       	509440      	149.516868  	2.264914    	22.38     	2031.748953
0.00096723     	209       	33440       	535040      	147.130604  	2.328479    	22.96     	1935.204837
0.00096110     	219       	35040       	560640      	146.231375  	2.258523    	24.24     	2062.972776
0.00095446     	229       	36640       	586240      	143.508388  	2.338228    	22.50     	1996.429900
0.00094733     	239       	38240       	611840      	140.302257  	2.339055    	23.48     	2502.884685
0.00093971     	249       	39840       	637440      	136.998961  	2.312213    	24.50     	2287.788538
0.00093162     	259       	41440       	663040      	131.007973  	2.340529    	23.90     	1991.905376
0.00092307     	269       	43040       	688640      	128.431209  	2.348782    	24.62     	1655.404874
0.00091406     	279       	44640       	714240      	125.790326  	2.306092    	26.03     	2010.989917
0.00090460     	289       	46240       	739840      	123.701777  	2.209645    	27.34     	1997.049177
0.00089472     	299       	47840       	765440      	120.983624  	2.348411    	26.75     	2010.296697
0.00088442     	309       	49440       	791040      	117.829403  	2.278257    	27.24     	2008.752438
0.00087370     	319       	51040       	816640      	115.815737  	2.299373    	28.27     	2004.351747
0.00086260     	329       	52640       	842240      	113.445551  	2.322327    	28.48     	2012.705563
0.00085111     	339       	54240       	867840      	112.531046  	2.352219    	27.51     	2001.091323
0.00083925     	349       	55840       	893440      	110.815994  	2.357351    	27.77     	2012.334565
0.00082705     	359       	57440       	919040      	108.096294  	2.374528    	28.23     	1997.015949
0.00081450     	369       	59040       	944640      	105.526357  	2.330056    	29.32     	2010.570609
0.00080164     	379       	60640       	970240      	104.574417  	2.317436    	28.75     	1978.374420
0.00078846     	389       	62240       	995840      	102.896489  	2.363793    	28.60     	2018.361677
0.00077500     	399       	63840       	1021440     	101.120965  	2.336168    	27.48     	2255.952042
0.00076126     	409       	65440       	1047040     	98.860098   	2.314732    	29.30     	2145.454570
0.00074727     	419       	67040       	1072640     	100.046198  	2.422013    	28.73     	2024.084891
0.00073303     	429       	68640       	1098240     	97.629187   	2.368418    	29.59     	1985.286369
0.00071857     	439       	70240       	1123840     	96.799870   	2.397167    	29.01     	1876.888836
0.00070391     	449       	71840       	1149440     	95.966758   	2.349321    	28.16     	1906.496451
0.00068906     	459       	73440       	1175040     	94.595697   	2.471783    	29.14     	3891.271078
0.00067404     	469       	75040       	1200640     	91.744816   	2.458007    	28.72     	2963.928376
0.00065886     	479       	76640       	1226240     	93.352442   	2.540048    	28.05     	2801.263730
0.00064356     	489       	78240       	1251840     	92.896555   	2.363977    	30.11     	3397.105290
0.00062814     	499       	79840       	1277440     	90.509584   	2.429225    	28.99     	2427.540693
0.00061263     	509       	81440       	1303040     	88.708878   	2.355959    	30.09     	2878.309505
0.00059704     	519       	83040       	1328640     	87.796779   	2.424693    	29.47     	3895.822929
0.00058139     	529       	84640       	1354240     	88.664775   	2.459954    	28.66     	1700.341369
0.00056570     	539       	86240       	1379840     	86.594972   	2.349663    	30.35     	1629.442306
0.00055000     	549       	87840       	1405440     	85.407517   	2.371173    	29.64     	1686.618170
0.00053430     	559       	89440       	1431040     	87.735694   	2.372154    	29.78     	3475.536862
0.00051861     	569       	91040       	1456640     	84.565174   	2.392540    	31.64     	1602.665227
0.00050296     	579       	92640       	1482240     	84.140263   	2.408795    	29.80     	3250.886937
0.00048737     	589       	94240       	1507840     	83.289584   	2.438531    	28.33     	1450.322563
0.00047186     	599       	95840       	1533440     	83.250203   	2.404181    	29.98     	1600.287495
0.00045644     	609       	97440       	1559040     	80.957702   	2.413193    	30.05     	2627.842440
0.00044114     	619       	99040       	1584640     	80.651735   	2.453574    	30.56     	1383.462291
0.00042596     	629       	100640      	1610240     	81.753276   	2.515598    	29.80     	1616.718324
0.00041094     	639       	102240      	1635840     	80.026562   	2.443334    	30.63     	2322.128963
0.00039609     	649       	103840      	1661440     	78.296380   	2.474317    	30.16     	1221.930131
0.00038143     	659       	105440      	1687040     	80.134390   	2.578886    	28.79     	1209.615126
0.00036697     	669       	107040      	1712640     	78.525145   	2.534317    	29.71     	2016.031764
0.00035273     	679       	108640      	1738240     	79.001601   	2.546552    	29.90     	1914.652729
0.00033874     	689       	110240      	1763840     	77.767410   	2.533773    	29.33     	887.356157
0.00032500     	699       	111840      	1789440     	76.928191   	2.576699    	29.20     	770.600408
0.00031154     	709       	113440      	1815040     	75.859593   	2.460744    	31.39     	937.761477
0.00029836     	719       	115040      	1840640     	77.027373   	2.552605    	28.73     	775.995379
0.00028550     	729       	116640      	1866240     	75.432999   	2.538490    	29.46     	777.022931
0.00027295     	739       	118240      	1891840     	75.484615   	2.569991    	28.15     	798.741133
0.00026075     	749       	119840      	1917440     	74.991203   	2.584598    	29.80     	816.506829
0.00024889     	759       	121440      	1943040     	73.668455   	2.531970    	29.33     	783.219689
0.00023740     	769       	123040      	1968640     	72.252077   	2.629281    	28.89     	612.584065
0.00022630     	779       	124640      	1994240     	73.273353   	2.567659    	30.12     	477.233605
0.00021558     	789       	126240      	2019840     	73.659781   	2.537296    	30.34     	487.994741
0.00020528     	799       	127840      	2045440     	72.180959   	2.539097    	29.89     	492.734238
0.00019540     	809       	129440      	2071040     	70.835692   	2.596314    	29.89     	486.790681
0.00018594     	819       	131040      	2096640     	70.808043   	2.563612    	29.43     	478.943311
0.00017693     	829       	132640      	2122240     	70.865171   	2.583006    	30.65     	480.413917
0.00016838     	839       	134240      	2147840     	70.392116   	2.602910    	29.63     	490.387477
0.00016029     	849       	135840      	2173440     	70.408133   	2.506771    	30.50     	481.900366
0.00015267     	859       	137440      	2199040     	70.402643   	2.581293    	29.91     	471.031871
0.00014554     	869       	139040      	2224640     	70.139555   	2.534071    	30.10     	480.295755
0.00013890     	879       	140640      	2250240     	68.760123   	2.585218    	29.53     	496.297024
0.00013277     	889       	142240      	2275840     	68.322764   	2.552136    	30.27     	495.920594
0.00012714     	899       	143840      	2301440     	69.251633   	2.675718    	29.17     	476.731942
0.00012202     	909       	145440      	2327040     	68.734822   	2.583731    	28.92     	474.697667
0.00011743     	919       	147040      	2352640     	69.823751   	2.605575    	30.04     	474.166455
0.00011337     	929       	148640      	2378240     	68.216732   	2.678463    	29.70     	471.632445
0.00010983     	939       	150240      	2403840     	68.163968   	2.576123    	29.70     	573.727077
0.00010684     	949       	151840      	2429440     	68.199654   	2.668508    	29.59     	473.873451
0.00010438     	959       	153440      	2455040     	68.071115   	2.642929    	29.58     	742.758829
0.00010247     	969       	155040      	2480640     	66.906128   	2.680047    	29.56     	479.530267
0.00010110     	979       	156640      	2506240     	67.849502   	2.702421    	27.29     	480.945788
0.00010027     	989       	158240      	2531840     	67.899164   	2.528815    	30.14     	485.924824
0.00010000     	999       	159840      	2557440     	68.341549   	2.544722    	30.27     	550.255583
