Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	257.393550  	1.666363    	19.87     	2259.456858
0.00020000     	19        	3040        	48640       	253.417582  	1.720553    	22.27     	2220.691610
0.00030000     	29        	4640        	74240       	249.019500  	1.657660    	21.42     	2244.004969
0.00040000     	39        	6240        	99840       	245.372419  	1.716454    	21.78     	2234.712962
0.00050000     	49        	7840        	125440      	241.304357  	1.713124    	22.60     	2242.579718
0.00060000     	59        	9440        	151040      	223.338802  	1.679863    	29.77     	2241.926521
0.00070000     	69        	11040       	176640      	145.447592  	0.951475    	58.23     	2234.637827
0.00080000     	79        	12640       	202240      	89.536096   	0.864031    	62.27     	2236.633199
0.00090000     	89        	14240       	227840      	70.548838   	0.814182    	65.30     	2230.103930
0.00100000     	99        	15840       	253440      	69.008059   	0.725877    	68.73     	2227.692917
0.00099973     	109       	17440       	279040      	69.639654   	0.721056    	69.10     	2235.674835
0.00099890     	119       	19040       	304640      	68.278105   	0.716139    	69.66     	2240.945245
0.00099753     	129       	20640       	330240      	82.848357   	0.753856    	68.38     	2218.765761
0.00099562     	139       	22240       	355840      	90.241885   	1.044354    	53.83     	2232.181854
0.00099316     	149       	23840       	381440      	103.020814  	0.860090    	62.34     	2242.294934
0.00099017     	159       	25440       	407040      	107.870623  	1.165384    	55.19     	2217.521710
0.00098663     	169       	27040       	432640      	91.085003   	0.803742    	68.06     	2238.352528
0.00098257     	179       	28640       	458240      	89.964918   	1.016126    	57.16     	2234.947156
0.00097798     	189       	30240       	483840      	92.143713   	0.845322    	66.77     	2255.947228
0.00097286     	199       	31840       	509440      	84.679352   	1.098667    	60.76     	2190.389736
0.00096723     	209       	33440       	535040      	95.096748   	0.962381    	64.69     	1795.865533
0.00096110     	219       	35040       	560640      	81.091279   	0.871066    	66.63     	1457.585667
0.00095446     	229       	36640       	586240      	73.513459   	0.771239    	67.93     	1420.694878
0.00094733     	239       	38240       	611840      	73.664455   	0.804308    	68.46     	1394.694800
0.00093971     	249       	39840       	637440      	70.959675   	0.722839    	71.05     	1384.453800
0.00093162     	259       	41440       	663040      	79.689151   	0.928382    	66.57     	1396.443227
0.00092307     	269       	43040       	688640      	80.370255   	0.902107    	65.50     	1387.874638
0.00091406     	279       	44640       	714240      	74.194749   	0.788511    	69.18     	1390.195806
0.00090460     	289       	46240       	739840      	66.852152   	0.713531    	72.36     	1408.429295
0.00089472     	299       	47840       	765440      	63.890286   	0.730858    	72.03     	1402.592607
0.00088442     	309       	49440       	791040      	59.903825   	1.189576    	57.13     	1380.753761
0.00087370     	319       	51040       	816640      	69.484419   	0.826471    	68.62     	1386.012802
0.00086260     	329       	52640       	842240      	74.777083   	0.743360    	72.75     	1397.946966
0.00085111     	339       	54240       	867840      	61.692422   	0.707046    	74.59     	1400.849731
0.00083925     	349       	55840       	893440      	65.043009   	0.838821    	67.88     	1385.066974
0.00082705     	359       	57440       	919040      	69.933037   	0.896701    	65.37     	1380.153532
0.00081450     	369       	59040       	944640      	72.208685   	1.271263    	52.15     	1411.612148
0.00080164     	379       	60640       	970240      	75.258929   	0.718233    	72.74     	1387.794916
0.00078846     	389       	62240       	995840      	59.105382   	0.723239    	71.95     	1370.169361
0.00077500     	399       	63840       	1021440     	60.517229   	0.649320    	74.86     	1380.030277
0.00076126     	409       	65440       	1047040     	54.060986   	0.596167    	76.53     	1399.901855
0.00074727     	419       	67040       	1072640     	52.631243   	0.699257    	71.48     	1387.988192
0.00073303     	429       	68640       	1098240     	50.124013   	0.662215    	74.05     	1384.855792
0.00071857     	439       	70240       	1123840     	56.094938   	0.699362    	73.66     	1387.700675
0.00070391     	449       	71840       	1149440     	49.843820   	0.626446    	75.73     	1391.921003
0.00068906     	459       	73440       	1175040     	46.245166   	0.542563    	78.24     	1383.938184
0.00067404     	469       	75040       	1200640     	45.465851   	0.571772    	76.89     	1386.446871
0.00065886     	479       	76640       	1226240     	47.085313   	0.692365    	73.17     	1393.557299
0.00064356     	489       	78240       	1251840     	48.139851   	0.621231    	74.58     	1379.399540
0.00062814     	499       	79840       	1277440     	43.212266   	0.609358    	76.72     	1375.810460
0.00061263     	509       	81440       	1303040     	43.677275   	0.586878    	76.66     	1392.834659
0.00059704     	519       	83040       	1328640     	42.710624   	0.587432    	76.53     	2134.321140
0.00058139     	529       	84640       	1354240     	41.912920   	0.657117    	74.35     	2165.428481
0.00056570     	539       	86240       	1379840     	41.306743   	0.531902    	79.95     	2263.794649
0.00055000     	549       	87840       	1405440     	39.565217   	0.615355    	76.05     	2296.165435
0.00053430     	559       	89440       	1431040     	38.278867   	0.556676    	78.20     	2274.041974
0.00051861     	569       	91040       	1456640     	35.060878   	0.471115    	80.24     	2276.328768
0.00050296     	579       	92640       	1482240     	34.326748   	0.616231    	75.77     	2280.177175
0.00048737     	589       	94240       	1507840     	34.942006   	0.524507    	79.29     	2303.145849
0.00047186     	599       	95840       	1533440     	32.517134   	0.467029    	81.21     	2265.940256
0.00045644     	609       	97440       	1559040     	32.653881   	0.480090    	80.95     	2284.330517
0.00044114     	619       	99040       	1584640     	31.604173   	0.499992    	80.36     	3144.246744
0.00042596     	629       	100640      	1610240     	32.200856   	0.490380    	79.74     	2118.829905
0.00041094     	639       	102240      	1635840     	30.423421   	0.463255    	81.29     	2275.136055
0.00039609     	649       	103840      	1661440     	28.498918   	0.519695    	79.09     	2288.647733
0.00038143     	659       	105440      	1687040     	28.601248   	0.424176    	82.40     	2283.204515
0.00036697     	669       	107040      	1712640     	27.567795   	0.468209    	80.95     	2283.318097
0.00035273     	679       	108640      	1738240     	29.184747   	0.470148    	80.32     	2232.679323
0.00033874     	689       	110240      	1763840     	28.228219   	0.468801    	81.65     	2421.137510
0.00032500     	699       	111840      	1789440     	27.086030   	0.455152    	81.49     	2208.854773
0.00031154     	709       	113440      	1815040     	27.790595   	0.465124    	81.28     	2214.602244
0.00029836     	719       	115040      	1840640     	27.392734   	0.463155    	81.27     	2294.196785
0.00028550     	729       	116640      	1866240     	25.817340   	0.412159    	82.87     	2114.492213
0.00027295     	739       	118240      	1891840     	25.454431   	0.435626    	81.62     	2077.195425
0.00026075     	749       	119840      	1917440     	24.727799   	0.438652    	81.84     	2882.913367
0.00024889     	759       	121440      	1943040     	24.128889   	0.451191    	81.14     	2180.575595
0.00023740     	769       	123040      	1968640     	23.273478   	0.414996    	83.00     	2269.666782
0.00022630     	779       	124640      	1994240     	23.839225   	0.396947    	83.98     	2279.889946
0.00021558     	789       	126240      	2019840     	22.030145   	0.400608    	83.51     	2291.698464
0.00020528     	799       	127840      	2045440     	22.177488   	0.405664    	83.41     	2264.482579
0.00019540     	809       	129440      	2071040     	22.524741   	0.378304    	84.55     	2287.533500
0.00018594     	819       	131040      	2096640     	23.868379   	0.386906    	83.37     	2279.370410
0.00017693     	829       	132640      	2122240     	22.503756   	0.374527    	83.91     	2277.065776
0.00016838     	839       	134240      	2147840     	21.824917   	0.380620    	83.63     	2279.828931
0.00016029     	849       	135840      	2173440     	20.926983   	0.388340    	83.34     	2279.856634
0.00015267     	859       	137440      	2199040     	21.093759   	0.362299    	84.65     	2261.683324
0.00014554     	869       	139040      	2224640     	20.519176   	0.375946    	84.18     	2110.270934
0.00013890     	879       	140640      	2250240     	20.096022   	0.378040    	84.60     	2439.705508
0.00013277     	889       	142240      	2275840     	20.109647   	0.388045    	84.06     	2177.605787
0.00012714     	899       	143840      	2301440     	19.556619   	0.357913    	84.40     	2209.432324
0.00012202     	909       	145440      	2327040     	20.030984   	0.353672    	85.52     	2345.628924
0.00011743     	919       	147040      	2352640     	19.069874   	0.359222    	85.14     	3762.726770
0.00011337     	929       	148640      	2378240     	19.135767   	0.360688    	84.62     	2926.769387
0.00010983     	939       	150240      	2403840     	19.421503   	0.353566    	84.55     	3177.501706
0.00010684     	949       	151840      	2429440     	18.302066   	0.367256    	83.80     	3728.809380
0.00010438     	959       	153440      	2455040     	18.914484   	0.338829    	85.42     	3363.113261
0.00010247     	969       	155040      	2480640     	18.214379   	0.345759    	84.70     	2394.704947
0.00010110     	979       	156640      	2506240     	18.267516   	0.344325    	84.76     	3626.532417
0.00010027     	989       	158240      	2531840     	18.484651   	0.351175    	84.30     	2010.329606
0.00010000     	999       	159840      	2557440     	17.983844   	0.355118    	84.52     	2279.128269
