Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	262.421581  	1.677928    	19.56     	403.835282
0.00020000     	19        	3040        	48640       	257.303000  	1.691285    	22.00     	2866.308593
0.00030000     	29        	4640        	74240       	251.973209  	1.752389    	21.38     	2255.809341
0.00040000     	39        	6240        	99840       	247.564611  	1.757992    	20.62     	2743.163730
0.00050000     	49        	7840        	125440      	244.800050  	1.768589    	22.27     	2693.332549
0.00060000     	59        	9440        	151040      	241.314953  	1.701220    	22.94     	2239.575184
0.00070000     	69        	11040       	176640      	238.803666  	1.872377    	20.57     	2307.405998
0.00080000     	79        	12640       	202240      	235.462115  	1.778974    	21.70     	1736.952852
0.00090000     	89        	14240       	227840      	234.175513  	1.819840    	21.84     	1995.349679
0.00100000     	99        	15840       	253440      	228.845549  	1.841843    	23.71     	2867.181008
0.00099973     	109       	17440       	279040      	227.563714  	1.790153    	22.16     	700.988465
0.00099890     	119       	19040       	304640      	225.766448  	1.875226    	21.65     	402.737037
0.00099753     	129       	20640       	330240      	224.284148  	1.870270    	21.91     	395.845466
0.00099562     	139       	22240       	355840      	223.303164  	1.849811    	21.45     	395.885107
0.00099316     	149       	23840       	381440      	220.977393  	1.953082    	20.83     	401.599832
0.00099017     	159       	25440       	407040      	217.752878  	1.898917    	20.51     	398.035473
0.00098663     	169       	27040       	432640      	217.939514  	1.859976    	22.00     	394.456089
0.00098257     	179       	28640       	458240      	213.521537  	1.907982    	21.65     	398.220079
0.00097798     	189       	30240       	483840      	212.402171  	2.029806    	21.45     	457.736630
0.00097286     	199       	31840       	509440      	211.157078  	1.993741    	20.98     	416.229263
0.00096723     	209       	33440       	535040      	210.302050  	1.908508    	22.45     	3093.242933
0.00096110     	219       	35040       	560640      	209.019465  	1.870732    	22.46     	457.321222
0.00095446     	229       	36640       	586240      	206.831174  	1.919446    	22.42     	466.017589
0.00094733     	239       	38240       	611840      	204.147038  	1.983203    	21.74     	397.888309
0.00093971     	249       	39840       	637440      	202.490649  	2.031906    	21.36     	407.585931
0.00093162     	259       	41440       	663040      	201.637327  	1.998324    	21.53     	401.966391
0.00092307     	269       	43040       	688640      	199.196480  	2.115131    	21.63     	397.186151
0.00091406     	279       	44640       	714240      	197.924880  	2.127305    	21.08     	400.331990
0.00090460     	289       	46240       	739840      	196.507639  	2.021473    	22.54     	2625.199771
0.00089472     	299       	47840       	765440      	194.641986  	2.093892    	22.02     	596.784102
0.00088442     	309       	49440       	791040      	193.030791  	2.139761    	21.52     	390.852046
0.00087370     	319       	51040       	816640      	189.838362  	2.057826    	22.84     	390.117053
0.00086260     	329       	52640       	842240      	188.513611  	2.067594    	21.88     	403.751197
0.00085111     	339       	54240       	867840      	188.228312  	2.104734    	22.64     	407.292463
0.00083925     	349       	55840       	893440      	185.358909  	2.184327    	21.77     	404.134059
0.00082705     	359       	57440       	919040      	183.902588  	2.147866    	21.98     	413.377555
0.00081450     	369       	59040       	944640      	181.494024  	2.098738    	23.15     	394.231393
0.00080164     	379       	60640       	970240      	179.384284  	2.201451    	21.83     	390.196630
0.00078846     	389       	62240       	995840      	177.696045  	2.177308    	22.09     	2184.051455
0.00077500     	399       	63840       	1021440     	176.477827  	2.247032    	22.83     	445.096393
0.00076126     	409       	65440       	1047040     	175.694208  	2.249035    	21.55     	394.407331
0.00074727     	419       	67040       	1072640     	173.689953  	2.300565    	23.07     	389.512072
0.00073303     	429       	68640       	1098240     	171.925738  	2.307881    	20.24     	401.765395
0.00071857     	439       	70240       	1123840     	170.367811  	2.309858    	22.15     	422.024765
0.00070391     	449       	71840       	1149440     	169.806360  	2.288757    	21.65     	2024.755579
0.00068906     	459       	73440       	1175040     	169.431574  	2.328120    	21.75     	544.885718
0.00067404     	469       	75040       	1200640     	167.951236  	2.402902    	22.16     	390.118399
0.00065886     	479       	76640       	1226240     	167.336182  	2.369153    	21.13     	395.624539
0.00064356     	489       	78240       	1251840     	165.477159  	2.341267    	21.67     	409.193585
0.00062814     	499       	79840       	1277440     	164.170504  	2.326044    	21.82     	406.220496
0.00061263     	509       	81440       	1303040     	162.880041  	2.356354    	21.94     	415.171225
0.00059704     	519       	83040       	1328640     	162.571640  	2.404748    	21.22     	399.911641
0.00058139     	529       	84640       	1354240     	159.948265  	2.515038    	19.98     	393.991669
0.00056570     	539       	86240       	1379840     	158.837327  	2.405313    	21.73     	396.676205
0.00055000     	549       	87840       	1405440     	157.630260  	2.442464    	21.34     	2022.269140
0.00053430     	559       	89440       	1431040     	156.521694  	2.545011    	20.76     	966.333120
0.00051861     	569       	91040       	1456640     	155.147571  	2.453801    	20.98     	394.693036
0.00050296     	579       	92640       	1482240     	153.710525  	2.489020    	21.39     	396.525931
0.00048737     	589       	94240       	1507840     	153.254536  	2.545509    	21.03     	400.531030
0.00047186     	599       	95840       	1533440     	151.316421  	2.582893    	21.28     	394.431161
0.00045644     	609       	97440       	1559040     	150.060160  	2.503940    	22.14     	817.716526
0.00044114     	619       	99040       	1584640     	148.759580  	2.602734    	22.28     	419.346754
0.00042596     	629       	100640      	1610240     	147.568459  	2.572527    	21.26     	399.966970
0.00041094     	639       	102240      	1635840     	146.270548  	2.659996    	21.52     	397.200203
0.00039609     	649       	103840      	1661440     	145.628443  	2.579864    	21.60     	396.592224
0.00038143     	659       	105440      	1687040     	144.660760  	2.652628    	21.00     	400.822925
0.00036697     	669       	107040      	1712640     	143.645216  	2.620059    	21.73     	429.490886
0.00035273     	679       	108640      	1738240     	142.387363  	2.687472    	20.51     	401.863690
