Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	256.768501  	1.657781    	19.37     	1122.647687
0.00020000     	19        	3040        	48640       	254.781925  	1.662885    	20.17     	1150.593642
0.00030000     	29        	4640        	74240       	250.410345  	1.710477    	20.45     	1529.122192
0.00040000     	39        	6240        	99840       	245.453650  	1.725283    	24.21     	1143.462162
0.00050000     	49        	7840        	125440      	192.780727  	1.198068    	47.09     	1108.494067
0.00060000     	59        	9440        	151040      	104.997916  	0.722919    	66.45     	1155.214563
0.00070000     	69        	11040       	176640      	67.468956   	0.568833    	74.20     	2796.983511
0.00080000     	79        	12640       	202240      	51.284929   	0.501230    	77.56     	1185.483874
0.00090000     	89        	14240       	227840      	43.532538   	0.557801    	74.75     	1202.845139
0.00100000     	99        	15840       	253440      	40.593699   	0.483901    	78.75     	2541.608051
0.00099973     	109       	17440       	279040      	37.062244   	0.601059    	75.48     	1162.661182
0.00099890     	119       	19040       	304640      	33.550663   	0.399741    	82.78     	1550.085452
0.00099753     	129       	20640       	330240      	28.357184   	0.362842    	84.86     	1174.783004
0.00099562     	139       	22240       	355840      	26.967308   	0.391723    	84.71     	1159.037259
0.00099316     	149       	23840       	381440      	25.064527   	0.347648    	86.41     	2377.247452
0.00099017     	159       	25440       	407040      	23.066880   	0.334727    	86.43     	1143.302698
0.00098663     	169       	27040       	432640      	21.060076   	0.333877    	86.53     	1155.108247
0.00098257     	179       	28640       	458240      	20.297999   	0.352356    	86.30     	1146.366608
0.00097798     	189       	30240       	483840      	18.625240   	0.283064    	87.88     	1174.419980
0.00097286     	199       	31840       	509440      	17.174321   	0.307914    	88.20     	1159.585058
0.00096723     	209       	33440       	535040      	16.727644   	0.278323    	88.95     	1174.960173
0.00096110     	219       	35040       	560640      	15.924913   	0.315876    	87.58     	1285.285665
0.00095446     	229       	36640       	586240      	14.856419   	0.265268    	89.23     	1195.189169
0.00094733     	239       	38240       	611840      	14.562590   	0.262901    	89.80     	1178.773809
0.00093971     	249       	39840       	637440      	14.613299   	0.265395    	89.21     	1187.007225
0.00093162     	259       	41440       	663040      	14.003460   	0.248076    	89.72     	1176.662917
0.00092307     	269       	43040       	688640      	13.250256   	0.244552    	90.52     	1184.988859
0.00091406     	279       	44640       	714240      	12.897565   	0.278326    	88.66     	1180.347192
0.00090460     	289       	46240       	739840      	12.342966   	0.255157    	89.46     	1163.758034
0.00089472     	299       	47840       	765440      	11.864969   	0.238508    	90.73     	1195.825301
0.00088442     	309       	49440       	791040      	11.908203   	0.239656    	90.33     	1152.704530
0.00087370     	319       	51040       	816640      	11.232455   	0.278155    	88.59     	1190.434492
0.00086260     	329       	52640       	842240      	10.978531   	0.233801    	90.76     	2141.902766
0.00085111     	339       	54240       	867840      	11.050874   	0.225477    	91.02     	1191.097646
0.00083925     	349       	55840       	893440      	10.597191   	0.230678    	91.08     	1170.298794
0.00082705     	359       	57440       	919040      	10.615756   	0.222580    	91.29     	1181.150369
0.00081450     	369       	59040       	944640      	10.297235   	0.239065    	90.01     	1168.030134
0.00080164     	379       	60640       	970240      	9.796692    	0.218534    	91.38     	1162.412998
0.00078846     	389       	62240       	995840      	10.032823   	0.205149    	91.84     	1190.255054
0.00077500     	399       	63840       	1021440     	9.546569    	0.209584    	91.85     	1159.169191
0.00076126     	409       	65440       	1047040     	9.571136    	0.219368    	91.83     	1204.574425
0.00074727     	419       	67040       	1072640     	9.214205    	0.222028    	91.13     	1123.282644
0.00073303     	429       	68640       	1098240     	8.659448    	0.217116    	91.62     	555.647093
0.00071857     	439       	70240       	1123840     	8.470776    	0.210084    	92.04     	555.086080
0.00070391     	449       	71840       	1149440     	8.599225    	0.207873    	91.98     	552.759997
