Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	262.727664  	1.712942    	19.76     	1246.186698
0.00020000     	19        	3040        	48640       	260.800318  	1.724056    	20.66     	1247.733305
0.00030000     	29        	4640        	74240       	257.023360  	1.739296    	20.75     	1231.452014
0.00040000     	39        	6240        	99840       	250.275816  	1.711304    	20.93     	1240.785004
0.00050000     	49        	7840        	125440      	245.747093  	1.746421    	22.16     	1249.371927
0.00060000     	59        	9440        	151040      	241.353693  	1.710306    	23.28     	1239.547810
0.00070000     	69        	11040       	176640      	238.496961  	1.811208    	21.86     	1228.486644
0.00080000     	79        	12640       	202240      	237.562434  	1.778100    	21.71     	1257.262868
0.00090000     	89        	14240       	227840      	232.280875  	1.760682    	22.27     	1256.181719
0.00100000     	99        	15840       	253440      	230.404954  	1.865846    	21.73     	1212.029135
0.00099973     	109       	17440       	279040      	226.932698  	1.868795    	21.03     	1421.220206
0.00099890     	119       	19040       	304640      	221.377207  	1.892557    	22.23     	1576.944181
0.00099753     	129       	20640       	330240      	215.553362  	1.918706    	21.95     	1647.741794
0.00099562     	139       	22240       	355840      	214.555492  	1.929623    	23.17     	1588.483453
0.00099316     	149       	23840       	381440      	213.010839  	1.895392    	21.65     	1550.032207
0.00099017     	159       	25440       	407040      	208.175039  	1.950181    	21.55     	1650.070598
0.00098663     	169       	27040       	432640      	206.739363  	1.921247    	22.45     	2378.904627
0.00098257     	179       	28640       	458240      	204.234344  	1.921198    	23.60     	1906.501354
0.00097798     	189       	30240       	483840      	201.265517  	2.039668    	22.71     	1232.593926
0.00097286     	199       	31840       	509440      	199.087399  	2.007224    	22.73     	2808.580653
0.00096723     	209       	33440       	535040      	196.373908  	2.072896    	21.27     	1529.600002
0.00096110     	219       	35040       	560640      	193.326320  	2.030782    	23.10     	2393.063865
0.00095446     	229       	36640       	586240      	191.455633  	2.194381    	21.63     	1297.298891
0.00094733     	239       	38240       	611840      	187.978458  	2.111707    	22.12     	1600.724820
0.00093971     	249       	39840       	637440      	186.487645  	2.157411    	21.98     	1513.867752
0.00093162     	259       	41440       	663040      	184.382038  	2.126955    	23.16     	1631.022182
0.00092307     	269       	43040       	688640      	181.429133  	2.119968    	21.93     	2700.316033
0.00091406     	279       	44640       	714240      	179.787358  	2.128389    	22.36     	1228.679999
0.00090460     	289       	46240       	739840      	178.837343  	2.186707    	21.61     	1624.626109
0.00089472     	299       	47840       	765440      	176.487346  	2.296936    	22.27     	1618.962827
0.00088442     	309       	49440       	791040      	173.671539  	2.319135    	21.64     	2550.837082
0.00087370     	319       	51040       	816640      	172.448720  	2.288235    	21.55     	805.905277
0.00086260     	329       	52640       	842240      	170.636519  	2.436426    	20.23     	1573.555741
0.00085111     	339       	54240       	867840      	168.934443  	2.413050    	21.09     	1579.809284
0.00083925     	349       	55840       	893440      	166.252534  	2.373688    	21.58     	2271.295112
0.00082705     	359       	57440       	919040      	164.962744  	2.446489    	21.91     	1097.327966
0.00081450     	369       	59040       	944640      	162.830573  	2.381113    	22.02     	1975.569528
0.00080164     	379       	60640       	970240      	161.346964  	2.580261    	20.09     	1144.226484
0.00078846     	389       	62240       	995840      	160.031739  	2.557626    	20.35     	1058.272358
0.00077500     	399       	63840       	1021440     	158.974099  	2.482523    	21.21     	1177.985799
0.00076126     	409       	65440       	1047040     	157.985173  	2.480577    	21.11     	1117.969670
0.00074727     	419       	67040       	1072640     	157.301061  	2.620474    	21.90     	1344.653627
0.00073303     	429       	68640       	1098240     	154.994205  	2.526205    	21.02     	1249.402109
0.00071857     	439       	70240       	1123840     	153.425003  	2.575077    	21.94     	999.068393
0.00070391     	449       	71840       	1149440     	153.594121  	2.657630    	20.62     	1123.494921
0.00068906     	459       	73440       	1175040     	150.586874  	2.600587    	21.34     	1157.919408
0.00067404     	469       	75040       	1200640     	150.201993  	2.698416    	21.52     	1436.329474
0.00065886     	479       	76640       	1226240     	148.452721  	2.685700    	20.90     	1150.571982
0.00064356     	489       	78240       	1251840     	147.362301  	2.550729    	22.01     	1170.529978
0.00062814     	499       	79840       	1277440     	146.564885  	2.614179    	20.55     	1152.763449
0.00061263     	509       	81440       	1303040     	144.899546  	2.623857    	21.55     	1154.435031
0.00059704     	519       	83040       	1328640     	143.600231  	2.618224    	20.55     	1151.011257
0.00058139     	529       	84640       	1354240     	142.614497  	2.718103    	21.04     	1155.318584
0.00056570     	539       	86240       	1379840     	142.393322  	2.677823    	22.35     	1160.482019
0.00055000     	549       	87840       	1405440     	140.866669  	2.837567    	20.41     	1155.305341
0.00053430     	559       	89440       	1431040     	139.250365  	2.866869    	20.74     	1155.790587
0.00051861     	569       	91040       	1456640     	137.396841  	2.796526    	20.92     	1150.659450
0.00050296     	579       	92640       	1482240     	136.870037  	2.735365    	20.38     	1607.618553
0.00048737     	589       	94240       	1507840     	136.308226  	2.948633    	20.23     	1084.179185
0.00047186     	599       	95840       	1533440     	135.137231  	2.791769    	20.82     	1095.335783
0.00045644     	609       	97440       	1559040     	133.920463  	2.803967    	20.92     	1127.951518
0.00044114     	619       	99040       	1584640     	131.900469  	2.928183    	21.11     	1659.033753
0.00042596     	629       	100640      	1610240     	131.920855  	2.929813    	20.80     	1595.640407
0.00041094     	639       	102240      	1635840     	131.591446  	2.941553    	20.62     	1158.227937
0.00039609     	649       	103840      	1661440     	129.226920  	2.959778    	21.20     	864.491446
0.00038143     	659       	105440      	1687040     	127.956496  	2.922991    	20.81     	1827.582490
0.00036697     	669       	107040      	1712640     	128.385290  	2.898318    	20.17     	1037.747026
0.00035273     	679       	108640      	1738240     	127.747887  	2.900904    	21.18     	1297.204634
0.00033874     	689       	110240      	1763840     	125.992974  	2.992137    	21.20     	1190.038325
0.00032500     	699       	111840      	1789440     	124.917870  	3.002504    	20.81     	1193.223275
0.00031154     	709       	113440      	1815040     	124.456874  	3.021191    	20.66     	1163.270494
0.00029836     	719       	115040      	1840640     	124.279470  	3.000634    	21.00     	1964.487093
0.00028550     	729       	116640      	1866240     	123.332692  	3.114105    	21.25     	893.909056
0.00027295     	739       	118240      	1891840     	122.130746  	3.037207    	20.95     	1140.993606
0.00026075     	749       	119840      	1917440     	121.569555  	3.110839    	20.11     	1380.957581
0.00024889     	759       	121440      	1943040     	121.091220  	3.054634    	21.72     	1177.991676
0.00023740     	769       	123040      	1968640     	119.908798  	3.162795    	21.20     	1164.866850
0.00022630     	779       	124640      	1994240     	119.328291  	3.127515    	21.30     	1146.517553
0.00021558     	789       	126240      	2019840     	118.164547  	3.186147    	20.95     	846.250643
0.00020528     	799       	127840      	2045440     	118.059083  	3.204470    	20.63     	911.946023
0.00019540     	809       	129440      	2071040     	117.126880  	3.170703    	22.12     	796.283865
0.00018594     	819       	131040      	2096640     	116.988724  	3.170874    	20.16     	821.346192
0.00017693     	829       	132640      	2122240     	115.963150  	3.188595    	21.05     	830.447355
0.00016838     	839       	134240      	2147840     	114.857131  	3.153235    	21.23     	817.595384
0.00016029     	849       	135840      	2173440     	115.515543  	3.246638    	21.83     	793.193490
0.00015267     	859       	137440      	2199040     	114.633918  	3.230575    	21.15     	804.001597
0.00014554     	869       	139040      	2224640     	114.157587  	3.291773    	20.73     	799.633273
0.00013890     	879       	140640      	2250240     	113.446185  	3.248825    	21.27     	796.489614
0.00013277     	889       	142240      	2275840     	113.051107  	3.288402    	20.44     	811.954014
0.00012714     	899       	143840      	2301440     	112.097077  	3.260037    	20.16     	817.059847
0.00012202     	909       	145440      	2327040     	111.986623  	3.274629    	20.69     	806.020243
0.00011743     	919       	147040      	2352640     	110.785714  	3.293853    	20.94     	801.595570
0.00011337     	929       	148640      	2378240     	111.611513  	3.370074    	20.51     	800.656310
0.00010983     	939       	150240      	2403840     	110.936912  	3.379557    	21.02     	790.492575
0.00010684     	949       	151840      	2429440     	110.818348  	3.411968    	20.21     	799.163029
0.00010438     	959       	153440      	2455040     	110.407389  	3.451713    	21.17     	1725.634795
0.00010247     	969       	155040      	2480640     	110.283845  	3.362186    	21.09     	825.176657
0.00010110     	979       	156640      	2506240     	110.543786  	3.371823    	20.83     	795.808931
0.00010027     	989       	158240      	2531840     	109.876724  	3.394851    	20.59     	787.831642
0.00010000     	999       	159840      	2557440     	109.322414  	3.380836    	21.57     	787.319614
