Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	255.616864  	1.665969    	20.97     	3073.768861
0.00020000     	19        	3040        	48640       	249.050999  	1.695303    	21.79     	3105.363963
0.00030000     	29        	4640        	74240       	244.668406  	1.681311    	22.06     	3095.922554
0.00040000     	39        	6240        	99840       	241.538495  	1.670030    	21.25     	3105.421989
0.00050000     	49        	7840        	125440      	239.085122  	1.765752    	20.03     	3108.917155
0.00060000     	59        	9440        	151040      	237.338169  	1.764884    	21.43     	3092.517325
0.00070000     	69        	11040       	176640      	234.648793  	1.815318    	21.77     	3094.112772
0.00080000     	79        	12640       	202240      	230.752243  	1.803538    	20.51     	3097.517470
0.00090000     	89        	14240       	227840      	225.532225  	1.872167    	22.12     	3089.618042
0.00100000     	99        	15840       	253440      	220.026659  	1.848811    	24.81     	3076.553835
0.00099973     	109       	17440       	279040      	214.574740  	1.914348    	22.87     	3086.794546
0.00099890     	119       	19040       	304640      	206.794569  	1.791183    	26.28     	3084.516120
0.00099753     	129       	20640       	330240      	208.901452  	1.652494    	27.36     	3086.143324
0.00099562     	139       	22240       	355840      	206.686747  	1.564786    	31.46     	3072.044381
0.00099316     	149       	23840       	381440      	194.926705  	1.587083    	32.68     	2757.459889
0.00099017     	159       	25440       	407040      	187.399500  	1.506995    	36.08     	2119.043565
0.00098663     	169       	27040       	432640      	184.319866  	1.500686    	36.08     	1906.787009
0.00098257     	179       	28640       	458240      	177.808814  	1.537609    	35.11     	1936.210345
0.00097798     	189       	30240       	483840      	181.876882  	1.560586    	35.45     	1906.352649
0.00097286     	199       	31840       	509440      	183.992878  	1.662508    	33.85     	1919.719983
0.00096723     	209       	33440       	535040      	190.793953  	1.544992    	37.12     	1937.879788
0.00096110     	219       	35040       	560640      	175.555563  	1.504710    	37.90     	1917.312871
0.00095446     	229       	36640       	586240      	171.143402  	1.494044    	36.40     	1938.377347
0.00094733     	239       	38240       	611840      	172.940424  	1.569923    	36.55     	1901.398450
0.00093971     	249       	39840       	637440      	169.461791  	1.453054    	39.26     	1932.683713
0.00093162     	259       	41440       	663040      	167.306285  	1.503635    	38.59     	1931.846738
0.00092307     	269       	43040       	688640      	182.634027  	1.623410    	34.50     	1921.286021
0.00091406     	279       	44640       	714240      	180.695966  	1.589074    	33.23     	1929.060946
0.00090460     	289       	46240       	739840      	173.244722  	1.691830    	31.55     	1883.697726
0.00089472     	299       	47840       	765440      	174.996911  	1.540493    	37.30     	1901.956206
0.00088442     	309       	49440       	791040      	169.511604  	1.660090    	36.40     	1905.885751
0.00087370     	319       	51040       	816640      	163.972471  	1.607103    	37.51     	1903.693424
0.00086260     	329       	52640       	842240      	159.057274  	1.456389    	39.43     	1951.786808
0.00085111     	339       	54240       	867840      	160.765815  	1.522355    	40.02     	1935.502301
0.00083925     	349       	55840       	893440      	163.130249  	1.534329    	37.06     	1931.701230
0.00082705     	359       	57440       	919040      	155.814513  	1.468188    	40.87     	1943.732937
0.00081450     	369       	59040       	944640      	156.820436  	1.555169    	38.45     	1905.942954
0.00080164     	379       	60640       	970240      	155.149293  	1.555627    	37.70     	3093.227897
0.00078846     	389       	62240       	995840      	151.865887  	1.357996    	43.14     	3165.973425
0.00077500     	399       	63840       	1021440     	149.557966  	1.480992    	40.16     	3169.124641
0.00076126     	409       	65440       	1047040     	151.599682  	1.427255    	40.06     	3168.356219
0.00074727     	419       	67040       	1072640     	154.274860  	1.440822    	41.75     	3159.898573
0.00073303     	429       	68640       	1098240     	148.981649  	1.433002    	39.56     	3171.208266
0.00071857     	439       	70240       	1123840     	147.987887  	1.509694    	38.07     	3171.420109
0.00070391     	449       	71840       	1149440     	146.515774  	1.513122    	37.77     	3854.223575
0.00068906     	459       	73440       	1175040     	146.132732  	1.487195    	39.82     	3153.699620
0.00067404     	469       	75040       	1200640     	145.543310  	1.557478    	37.55     	3162.471310
