Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	254.462222  	1.664965    	18.80     	2593.516278
0.00020000     	19        	3040        	48640       	248.809158  	1.667541    	22.00     	2586.513067
0.00030000     	29        	4640        	74240       	243.966487  	1.724094    	21.75     	2585.137653
0.00040000     	39        	6240        	99840       	217.546733  	1.308579    	45.99     	2603.466986
0.00050000     	49        	7840        	125440      	146.531185  	0.985170    	62.38     	2565.867948
0.00060000     	59        	9440        	151040      	116.342080  	1.036614    	60.99     	2606.407141
0.00070000     	69        	11040       	176640      	102.897642  	0.961515    	63.73     	2582.848147
0.00080000     	79        	12640       	202240      	91.033037   	0.800278    	71.12     	2590.412587
0.00090000     	89        	14240       	227840      	82.367482   	0.778400    	70.76     	2568.658842
0.00100000     	99        	15840       	253440      	76.546142   	0.860591    	68.32     	2575.552240
0.00099973     	109       	17440       	279040      	70.919459   	0.823980    	71.31     	2586.191807
0.00099890     	119       	19040       	304640      	66.586650   	0.748841    	73.87     	2572.828035
0.00099753     	129       	20640       	330240      	62.504686   	0.701549    	74.20     	2567.772053
0.00099562     	139       	22240       	355840      	59.611846   	0.743044    	73.30     	2572.475007
0.00099316     	149       	23840       	381440      	56.590276   	0.725805    	74.84     	2563.845383
0.00099017     	159       	25440       	407040      	56.344241   	0.707492    	74.72     	2566.079526
0.00098663     	169       	27040       	432640      	54.159731   	0.717392    	74.45     	2558.163600
0.00098257     	179       	28640       	458240      	52.697611   	0.756047    	74.33     	2581.036717
0.00097798     	189       	30240       	483840      	50.505384   	0.696636    	75.33     	2595.803330
0.00097286     	199       	31840       	509440      	49.383024   	0.706757    	75.63     	2260.551505
0.00096723     	209       	33440       	535040      	49.223634   	0.697308    	76.24     	2088.738267
0.00096110     	219       	35040       	560640      	48.684872   	0.692912    	76.29     	2075.653155
0.00095446     	229       	36640       	586240      	47.764912   	0.764241    	74.98     	2074.537067
0.00094733     	239       	38240       	611840      	47.097372   	0.707781    	76.01     	1617.551661
0.00093971     	249       	39840       	637440      	47.093098   	0.709576    	75.56     	1609.130131
0.00093162     	259       	41440       	663040      	46.857490   	0.695644    	76.41     	1583.801628
0.00092307     	269       	43040       	688640      	46.326698   	0.735938    	74.23     	1599.212550
0.00091406     	279       	44640       	714240      	46.227195   	0.769974    	73.40     	1601.469400
0.00090460     	289       	46240       	739840      	45.538580   	0.799003    	72.47     	1604.620077
0.00089472     	299       	47840       	765440      	44.949528   	0.709926    	77.12     	1617.906117
0.00088442     	309       	49440       	791040      	44.896838   	0.694359    	76.67     	1600.608369
0.00087370     	319       	51040       	816640      	44.048542   	0.695935    	75.55     	1551.310553
0.00086260     	329       	52640       	842240      	43.543730   	0.696080    	75.69     	1573.161335
0.00085111     	339       	54240       	867840      	44.464654   	0.787994    	75.19     	1570.805015
0.00083925     	349       	55840       	893440      	42.390178   	0.702004    	75.88     	1585.957332
0.00082705     	359       	57440       	919040      	43.216043   	0.695039    	75.71     	1582.047879
0.00081450     	369       	59040       	944640      	43.374026   	0.758327    	74.32     	1589.517177
0.00080164     	379       	60640       	970240      	42.704700   	0.722872    	75.30     	1596.080340
0.00078846     	389       	62240       	995840      	42.840909   	0.817844    	73.59     	1622.618360
0.00077500     	399       	63840       	1021440     	43.060434   	0.704930    	75.52     	1597.389112
0.00076126     	409       	65440       	1047040     	42.924309   	0.746482    	75.42     	1586.829517
0.00074727     	419       	67040       	1072640     	41.175869   	0.761050    	74.72     	1570.701908
