Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	257.784062  	1.661311    	19.52     	1471.324725
0.00020000     	19        	3040        	48640       	253.938714  	1.699517    	21.12     	1473.820863
0.00030000     	29        	4640        	74240       	250.295488  	1.756532    	21.83     	1463.267361
0.00040000     	39        	6240        	99840       	246.198211  	1.733265    	22.42     	1465.106853
0.00050000     	49        	7840        	125440      	240.697945  	1.771423    	21.88     	1466.892957
0.00060000     	59        	9440        	151040      	234.817431  	1.715472    	24.05     	1468.626831
0.00070000     	69        	11040       	176640      	229.776958  	1.842738    	22.49     	1464.476193
0.00080000     	79        	12640       	202240      	225.383708  	1.784800    	24.15     	1472.946069
0.00090000     	89        	14240       	227840      	220.662337  	1.908563    	22.19     	1470.532772
0.00100000     	99        	15840       	253440      	217.381427  	1.993582    	22.65     	1464.908302
0.00099973     	109       	17440       	279040      	213.295023  	2.057897    	21.80     	1452.524544
0.00099890     	119       	19040       	304640      	210.018566  	1.988680    	19.55     	1469.011453
0.00099753     	129       	20640       	330240      	206.067904  	1.964016    	21.79     	1465.205273
0.00099562     	139       	22240       	355840      	204.246289  	2.015574    	21.84     	1456.934612
0.00099316     	149       	23840       	381440      	202.106207  	2.067016    	20.49     	1481.115132
0.00099017     	159       	25440       	407040      	199.331003  	2.136322    	20.58     	1891.343548
0.00098663     	169       	27040       	432640      	198.820063  	2.084216    	22.09     	1739.578870
0.00098257     	179       	28640       	458240      	196.934458  	2.134321    	20.83     	1475.781832
0.00097798     	189       	30240       	483840      	195.202376  	2.206800    	21.41     	1456.728256
0.00097286     	199       	31840       	509440      	193.828667  	2.124326    	20.54     	1468.473007
0.00096723     	209       	33440       	535040      	193.257785  	2.089824    	19.92     	1463.915611
0.00096110     	219       	35040       	560640      	192.281448  	2.177209    	20.59     	1468.445390
0.00095446     	229       	36640       	586240      	191.600081  	2.171700    	20.87     	1464.524761
0.00094733     	239       	38240       	611840      	190.704518  	2.211788    	20.09     	1463.042659
0.00093971     	249       	39840       	637440      	190.244659  	2.211143    	21.83     	1463.236256
0.00093162     	259       	41440       	663040      	189.334934  	2.174983    	21.30     	1463.702854
0.00092307     	269       	43040       	688640      	188.876588  	2.263433    	21.18     	1468.590927
0.00091406     	279       	44640       	714240      	188.307060  	2.241446    	20.49     	1536.555319
0.00090460     	289       	46240       	739840      	187.562100  	2.244644    	19.71     	1464.609673
0.00089472     	299       	47840       	765440      	186.456296  	2.229733    	20.88     	1564.469401
0.00088442     	309       	49440       	791040      	186.810401  	2.276283    	20.25     	1490.603446
0.00087370     	319       	51040       	816640      	185.844609  	2.274489    	21.49     	1466.648754
