Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	256.657001  	1.670728    	19.12     	566.608265
0.00020000     	19        	3040        	48640       	255.236398  	1.656391    	22.87     	570.902274
0.00030000     	29        	4640        	74240       	250.114882  	1.746252    	20.64     	569.798135
0.00040000     	39        	6240        	99840       	245.367392  	1.702918    	21.76     	574.579214
0.00050000     	49        	7840        	125440      	196.710606  	1.210291    	47.45     	566.714668
0.00060000     	59        	9440        	151040      	115.005822  	0.733911    	65.84     	635.245236
0.00070000     	69        	11040       	176640      	69.988395   	0.533765    	75.27     	569.259885
0.00080000     	79        	12640       	202240      	51.550136   	0.556710    	74.58     	595.386335
0.00090000     	89        	14240       	227840      	42.894713   	0.479514    	77.67     	575.010104
0.00100000     	99        	15840       	253440      	40.166884   	0.487762    	77.80     	588.186878
0.00099973     	109       	17440       	279040      	38.757939   	0.398429    	82.83     	570.617332
0.00099890     	119       	19040       	304640      	33.238888   	0.376042    	84.92     	571.618258
0.00099753     	129       	20640       	330240      	29.024079   	0.359894    	84.55     	573.767724
0.00099562     	139       	22240       	355840      	27.365456   	0.328608    	86.04     	581.149436
0.00099316     	149       	23840       	381440      	23.947114   	0.291795    	87.52     	572.526566
0.00099017     	159       	25440       	407040      	22.601181   	0.283949    	88.86     	577.522882
0.00098663     	169       	27040       	432640      	21.691573   	0.280975    	88.24     	571.659171
0.00098257     	179       	28640       	458240      	20.623228   	0.264963    	89.31     	570.266681
0.00097798     	189       	30240       	483840      	19.338167   	0.283590    	88.10     	570.496400
0.00097286     	199       	31840       	509440      	17.363004   	0.271417    	88.70     	583.853788
0.00096723     	209       	33440       	535040      	16.935269   	0.262717    	89.27     	572.439090
0.00096110     	219       	35040       	560640      	15.829166   	0.263085    	90.16     	630.842266
0.00095446     	229       	36640       	586240      	15.879063   	0.278460    	88.91     	570.953905
0.00094733     	239       	38240       	611840      	15.454214   	0.279624    	88.99     	573.131194
0.00093971     	249       	39840       	637440      	15.010367   	0.245014    	89.73     	585.189816
0.00093162     	259       	41440       	663040      	13.918221   	0.240989    	90.21     	583.652592
0.00092307     	269       	43040       	688640      	13.481547   	0.233589    	90.29     	583.151022
0.00091406     	279       	44640       	714240      	13.079484   	0.239421    	90.11     	576.213178
0.00090460     	289       	46240       	739840      	12.668175   	0.242414    	89.11     	572.160376
