Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	256.998996  	1.677355    	18.52     	1111.405696
0.00020000     	19        	3040        	48640       	255.176900  	1.646821    	20.01     	1083.354336
0.00030000     	29        	4640        	74240       	251.383765  	1.725933    	20.78     	1118.804984
0.00040000     	39        	6240        	99840       	247.131351  	1.675786    	21.36     	1071.727113
0.00050000     	49        	7840        	125440      	244.306293  	1.725890    	21.62     	1077.012608
0.00060000     	59        	9440        	151040      	239.961804  	1.730844    	21.23     	1070.786392
0.00070000     	69        	11040       	176640      	236.322355  	1.800913    	22.96     	1078.066030
0.00080000     	79        	12640       	202240      	231.582226  	1.705269    	23.98     	1038.653520
0.00090000     	89        	14240       	227840      	228.874829  	1.852272    	22.52     	852.210146
0.00100000     	99        	15840       	253440      	226.509544  	1.867935    	22.14     	1081.213829
0.00099973     	109       	17440       	279040      	223.548523  	1.892368    	21.62     	1078.230764
0.00099890     	119       	19040       	304640      	220.655342  	1.886518    	23.50     	1127.830599
0.00099753     	129       	20640       	330240      	217.087216  	1.933112    	22.88     	1080.688336
0.00099562     	139       	22240       	355840      	215.711929  	1.892980    	22.77     	1084.910953
0.00099316     	149       	23840       	381440      	213.166698  	1.903426    	23.01     	1079.717762
0.00099017     	159       	25440       	407040      	209.294220  	1.939834    	21.02     	1068.572814
0.00098663     	169       	27040       	432640      	204.863014  	2.046400    	24.23     	1040.439514
0.00098257     	179       	28640       	458240      	201.709637  	2.183330    	22.36     	829.031381
0.00097798     	189       	30240       	483840      	199.018394  	2.137040    	21.54     	1063.477276
0.00097286     	199       	31840       	509440      	196.703929  	2.196130    	21.42     	1053.378893
0.00096723     	209       	33440       	535040      	197.833542  	2.190827    	21.11     	1155.360421
0.00096110     	219       	35040       	560640      	196.218854  	2.135670    	21.55     	1078.055901
0.00095446     	229       	36640       	586240      	194.973710  	2.282813    	20.73     	1055.569080
0.00094733     	239       	38240       	611840      	194.050138  	2.161933    	20.94     	1053.567411
0.00093971     	249       	39840       	637440      	194.122220  	2.290360    	21.87     	1070.245187
0.00093162     	259       	41440       	663040      	194.562375  	2.192826    	22.83     	1094.774940
0.00092307     	269       	43040       	688640      	193.434396  	2.169094    	21.74     	847.984355
0.00091406     	279       	44640       	714240      	195.582172  	2.260237    	20.98     	1086.221308
0.00090460     	289       	46240       	739840      	190.904712  	2.242604    	19.80     	1079.300813
0.00089472     	299       	47840       	765440      	190.851994  	2.297279    	21.49     	1085.580780
0.00088442     	309       	49440       	791040      	190.480768  	2.264669    	21.52     	1073.243867
0.00087370     	319       	51040       	816640      	190.931001  	2.245776    	22.44     	1068.794385
0.00086260     	329       	52640       	842240      	189.617656  	2.216092    	21.89     	1078.251760
0.00085111     	339       	54240       	867840      	190.897118  	2.238349    	21.70     	1085.633803
0.00083925     	349       	55840       	893440      	190.942942  	2.253505    	19.87     	1075.804357
0.00082705     	359       	57440       	919040      	189.967650  	2.298754    	19.85     	830.129790
0.00081450     	369       	59040       	944640      	187.675364  	2.432868    	20.00     	1090.898044
0.00080164     	379       	60640       	970240      	187.324951  	2.214271    	21.73     	1171.340962
0.00078846     	389       	62240       	995840      	186.424940  	2.362008    	20.53     	1084.433712
0.00077500     	399       	63840       	1021440     	190.247120  	2.271177    	21.29     	1087.577720
0.00076126     	409       	65440       	1047040     	186.526279  	2.307699    	20.20     	1082.802411
0.00074727     	419       	67040       	1072640     	183.139297  	2.386481    	20.17     	1083.029588
0.00073303     	429       	68640       	1098240     	186.205242  	2.265060    	20.77     	1112.056677
0.00071857     	439       	70240       	1123840     	184.939177  	2.433435    	21.26     	1130.523033
0.00070391     	449       	71840       	1149440     	185.280800  	2.379559    	20.52     	890.038234
0.00068906     	459       	73440       	1175040     	183.948663  	2.371386    	21.66     	1093.203726
0.00067404     	469       	75040       	1200640     	183.972397  	2.355748    	21.32     	1086.350117
0.00065886     	479       	76640       	1226240     	182.318029  	2.373993    	19.16     	1103.752952
0.00064356     	489       	78240       	1251840     	182.312256  	2.391505    	20.34     	1108.743079
0.00062814     	499       	79840       	1277440     	180.048702  	2.533305    	20.14     	1106.361524
0.00061263     	509       	81440       	1303040     	181.489272  	2.410157    	20.34     	1105.385776
0.00059704     	519       	83040       	1328640     	179.880037  	2.504064    	19.73     	1098.730249
0.00058139     	529       	84640       	1354240     	179.282053  	2.446269    	20.54     	1001.847233
0.00056570     	539       	86240       	1379840     	179.763721  	2.540653    	20.56     	870.950924
0.00055000     	549       	87840       	1405440     	180.431127  	2.579157    	19.48     	986.111856
0.00053430     	559       	89440       	1431040     	178.592222  	2.545848    	20.03     	962.010996
0.00051861     	569       	91040       	1456640     	178.000763  	2.462674    	18.98     	969.431921
0.00050296     	579       	92640       	1482240     	175.994589  	2.464851    	20.91     	796.012230
0.00048737     	589       	94240       	1507840     	174.859590  	2.487791    	20.01     	885.708179
0.00047186     	599       	95840       	1533440     	174.798116  	2.578667    	19.91     	954.748339
0.00045644     	609       	97440       	1559040     	172.376550  	2.557627    	21.08     	981.965845
0.00044114     	619       	99040       	1584640     	171.992521  	2.450342    	20.45     	955.526560
0.00042596     	629       	100640      	1610240     	171.403655  	2.788279    	19.48     	775.594897
0.00041094     	639       	102240      	1635840     	170.577491  	2.623863    	19.16     	977.350556
0.00039609     	649       	103840      	1661440     	171.068524  	2.658820    	20.22     	1095.165016
0.00038143     	659       	105440      	1687040     	170.659738  	2.691676    	19.52     	874.770207
0.00036697     	669       	107040      	1712640     	168.927408  	2.745236    	20.14     	925.796444
0.00035273     	679       	108640      	1738240     	168.332764  	2.841743    	20.17     	1079.091667
0.00033874     	689       	110240      	1763840     	167.097004  	2.766787    	19.08     	928.029361
0.00032500     	699       	111840      	1789440     	166.680613  	2.993035    	18.96     	851.918362
0.00031154     	709       	113440      	1815040     	166.823458  	2.779015    	19.05     	1098.332869
0.00029836     	719       	115040      	1840640     	165.365893  	2.970329    	19.14     	1003.303661
0.00028550     	729       	116640      	1866240     	164.749210  	2.828873    	20.01     	783.969192
0.00027295     	739       	118240      	1891840     	164.423719  	2.967191    	19.43     	1035.575559
0.00026075     	749       	119840      	1917440     	164.981737  	2.870564    	20.72     	1034.476978
0.00024889     	759       	121440      	1943040     	164.928044  	2.999068    	19.38     	719.666287
0.00023740     	769       	123040      	1968640     	163.508147  	3.001568    	19.87     	1026.703322
0.00022630     	779       	124640      	1994240     	162.217738  	2.920999    	20.01     	1041.291784
0.00021558     	789       	126240      	2019840     	161.611074  	2.983734    	19.50     	853.770295
0.00020528     	799       	127840      	2045440     	161.248740  	2.868311    	20.34     	877.821797
0.00019540     	809       	129440      	2071040     	160.095087  	3.015397    	19.40     	1050.441785
0.00018594     	819       	131040      	2096640     	160.059606  	3.130486    	19.66     	999.452574
0.00017693     	829       	132640      	2122240     	159.438785  	3.041637    	19.45     	754.919680
0.00016838     	839       	134240      	2147840     	157.932614  	3.095555    	19.00     	1048.851988
0.00016029     	849       	135840      	2173440     	157.784754  	3.047031    	20.14     	1047.896246
0.00015267     	859       	137440      	2199040     	156.878306  	3.136014    	19.65     	1402.722380
0.00014554     	869       	139040      	2224640     	156.689590  	3.028438    	20.06     	1453.846271
0.00013890     	879       	140640      	2250240     	156.058097  	3.101217    	20.14     	1186.335139
0.00013277     	889       	142240      	2275840     	156.401561  	3.133366    	20.78     	679.989514
0.00012714     	899       	143840      	2301440     	155.823923  	3.095878    	19.50     	816.937772
0.00012202     	909       	145440      	2327040     	155.300468  	3.121279    	20.31     	810.790687
