Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	255.766276  	1.653336    	21.66     	2792.595118
0.00020000     	19        	3040        	48640       	249.007905  	1.695022    	20.82     	2878.057301
0.00030000     	29        	4640        	74240       	244.105460  	1.685004    	22.41     	2881.778739
0.00040000     	39        	6240        	99840       	237.996606  	1.667242    	24.57     	2871.902145
0.00050000     	49        	7840        	125440      	225.486366  	1.588015    	27.87     	2883.466067
0.00060000     	59        	9440        	151040      	182.710087  	1.345917    	40.52     	2885.385270
0.00070000     	69        	11040       	176640      	110.866052  	1.073892    	54.70     	2878.729359
0.00080000     	79        	12640       	202240      	68.921120   	0.700293    	69.43     	2870.355396
0.00090000     	89        	14240       	227840      	50.181384   	0.642310    	71.53     	2847.368814
0.00100000     	99        	15840       	253440      	41.283206   	0.545351    	75.46     	2875.919686
0.00099973     	109       	17440       	279040      	34.326456   	0.415832    	81.93     	2883.122232
0.00099890     	119       	19040       	304640      	27.858243   	0.407567    	81.84     	2870.778505
0.00099753     	129       	20640       	330240      	23.692925   	0.326518    	85.12     	2878.516127
0.00099562     	139       	22240       	355840      	21.710009   	0.310307    	85.71     	2883.466566
0.00099316     	149       	23840       	381440      	19.984482   	0.314782    	85.90     	2874.874073
0.00099017     	159       	25440       	407040      	17.808042   	0.294080    	86.58     	2636.557792
0.00098663     	169       	27040       	432640      	16.417997   	0.256990    	87.59     	2089.010616
0.00098257     	179       	28640       	458240      	15.669161   	0.272566    	87.58     	1790.848220
0.00097798     	189       	30240       	483840      	15.189279   	0.277348    	86.49     	1786.101140
0.00097286     	199       	31840       	509440      	14.158147   	0.259427    	87.96     	1787.806157
0.00096723     	209       	33440       	535040      	13.514124   	0.247919    	88.41     	1786.824532
0.00096110     	219       	35040       	560640      	12.583227   	0.226527    	89.45     	1778.813897
0.00095446     	229       	36640       	586240      	12.494857   	0.254791    	87.98     	1778.953119
0.00094733     	239       	38240       	611840      	12.139476   	0.242348    	88.46     	1792.692782
0.00093971     	249       	39840       	637440      	12.024685   	0.247194    	88.52     	1790.003966
0.00093162     	259       	41440       	663040      	11.318272   	0.239329    	88.99     	1783.855067
0.00092307     	269       	43040       	688640      	11.067126   	0.271922    	87.73     	1795.392836
0.00091406     	279       	44640       	714240      	11.120605   	0.230223    	89.26     	1799.434437
0.00090460     	289       	46240       	739840      	10.708255   	0.222369    	89.05     	1795.863882
0.00089472     	299       	47840       	765440      	10.427472   	0.233569    	89.70     	1795.384046
0.00088442     	309       	49440       	791040      	10.318038   	0.244953    	88.24     	1777.554489
0.00087370     	319       	51040       	816640      	9.596457    	0.235054    	88.59     	1777.377911
0.00086260     	329       	52640       	842240      	9.499195    	0.232058    	89.61     	1779.731709
0.00085111     	339       	54240       	867840      	9.358217    	0.204230    	91.08     	1789.589932
0.00083925     	349       	55840       	893440      	8.818939    	0.207989    	90.78     	1783.746625
0.00082705     	359       	57440       	919040      	8.741733    	0.205642    	90.54     	1770.086066
0.00081450     	369       	59040       	944640      	8.859811    	0.186112    	91.28     	1787.577941
0.00080164     	379       	60640       	970240      	8.205702    	0.204185    	90.59     	1784.413704
0.00078846     	389       	62240       	995840      	8.105892    	0.183361    	91.50     	1772.905801
0.00077500     	399       	63840       	1021440     	7.736713    	0.214840    	89.73     	1830.647826
0.00076126     	409       	65440       	1047040     	7.655625    	0.189975    	91.20     	2997.084615
0.00074727     	419       	67040       	1072640     	7.289124    	0.199987    	90.69     	2955.823567
