Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	254.497265  	1.670190    	19.54     	2319.542482
0.00020000     	19        	3040        	48640       	248.598365  	1.690371    	22.38     	2348.123530
0.00030000     	29        	4640        	74240       	213.407766  	1.295546    	47.30     	2348.086793
0.00040000     	39        	6240        	99840       	132.574530  	0.865703    	65.53     	2340.822944
0.00050000     	49        	7840        	125440      	98.450149   	0.789565    	70.32     	2297.666313
0.00060000     	59        	9440        	151040      	83.824951   	0.773457    	70.79     	2345.769439
0.00070000     	69        	11040       	176640      	74.528537   	0.638870    	76.42     	2341.407533
0.00080000     	79        	12640       	202240      	67.983830   	0.628348    	76.64     	2340.395559
0.00090000     	89        	14240       	227840      	62.197338   	0.622465    	76.82     	2369.181132
0.00100000     	99        	15840       	253440      	58.830290   	0.743066    	72.42     	2354.795537
0.00099973     	109       	17440       	279040      	53.149108   	0.690347    	74.41     	2348.576300
0.00099890     	119       	19040       	304640      	48.505291   	0.650379    	75.33     	2362.670556
0.00099753     	129       	20640       	330240      	43.655142   	0.620525    	77.27     	2359.745003
0.00099562     	139       	22240       	355840      	40.658810   	0.599205    	78.05     	2346.582532
0.00099316     	149       	23840       	381440      	37.130179   	0.610522    	77.67     	2319.740486
0.00099017     	159       	25440       	407040      	35.086058   	0.516466    	80.77     	2339.377298
0.00098663     	169       	27040       	432640      	34.233910   	0.716419    	73.27     	2351.399430
0.00098257     	179       	28640       	458240      	32.114585   	0.798105    	73.98     	2346.468107
0.00097798     	189       	30240       	483840      	30.266532   	0.474667    	82.35     	2354.331222
0.00097286     	199       	31840       	509440      	29.063665   	0.644921    	78.01     	2352.423482
0.00096723     	209       	33440       	535040      	28.785741   	0.687170    	76.05     	2365.721363
0.00096110     	219       	35040       	560640      	27.068154   	0.498926    	82.57     	2047.967581
0.00095446     	229       	36640       	586240      	26.679620   	0.584377    	78.59     	1904.208290
0.00094733     	239       	38240       	611840      	25.824320   	0.617701    	78.60     	1898.271162
