Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	257.396737  	1.657306    	19.24     	2032.434671
0.00020000     	19        	3040        	48640       	253.379352  	1.716515    	21.03     	2104.772958
0.00030000     	29        	4640        	74240       	248.992925  	1.679781    	21.74     	2115.876118
0.00040000     	39        	6240        	99840       	245.473337  	1.708254    	21.85     	2117.806071
0.00050000     	49        	7840        	125440      	242.392245  	1.735536    	22.02     	2151.358081
0.00060000     	59        	9440        	151040      	238.148424  	1.806149    	20.84     	2124.590947
0.00070000     	69        	11040       	176640      	234.606791  	1.787176    	21.37     	2119.069097
0.00080000     	79        	12640       	202240      	231.868624  	1.849743    	22.11     	2112.222424
0.00090000     	89        	14240       	227840      	230.445423  	1.741273    	23.68     	2126.458163
0.00100000     	99        	15840       	253440      	227.598902  	1.789311    	22.76     	2145.547345
0.00099973     	109       	17440       	279040      	222.763456  	1.817169    	23.04     	2142.032627
0.00099890     	119       	19040       	304640      	219.614058  	1.825415    	21.99     	2130.937862
0.00099753     	129       	20640       	330240      	216.436442  	1.835498    	22.39     	2111.425692
0.00099562     	139       	22240       	355840      	213.786330  	1.851384    	24.20     	2107.073635
0.00099316     	149       	23840       	381440      	212.346412  	1.847239    	22.27     	2121.067035
0.00099017     	159       	25440       	407040      	209.806263  	2.058538    	21.77     	2129.612805
0.00098663     	169       	27040       	432640      	208.200854  	1.884699    	23.45     	2129.771518
0.00098257     	179       	28640       	458240      	205.797111  	1.867125    	22.53     	2117.567290
0.00097798     	189       	30240       	483840      	203.841519  	2.014624    	21.72     	2123.351434
0.00097286     	199       	31840       	509440      	202.617717  	1.896637    	23.13     	2122.466061
0.00096723     	209       	33440       	535040      	201.581751  	2.008163    	21.79     	2139.334084
0.00096110     	219       	35040       	560640      	200.439454  	2.020511    	21.40     	2136.883396
0.00095446     	229       	36640       	586240      	199.711227  	1.944094    	22.59     	2128.196779
