Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	260.842721  	1.673135    	19.67     	652.277755
0.00020000     	19        	3040        	48640       	258.467730  	1.662491    	20.97     	654.987425
0.00030000     	29        	4640        	74240       	254.968925  	1.757367    	20.54     	656.964869
0.00040000     	39        	6240        	99840       	250.365761  	1.672854    	21.11     	650.093971
0.00050000     	49        	7840        	125440      	246.231618  	1.743853    	22.21     	725.120284
0.00060000     	59        	9440        	151040      	244.247715  	1.711569    	22.79     	649.323183
0.00070000     	69        	11040       	176640      	242.201149  	1.794830    	20.60     	652.296443
0.00080000     	79        	12640       	202240      	237.787647  	1.749406    	21.24     	657.074990
0.00090000     	89        	14240       	227840      	232.368520  	1.805621    	21.59     	652.041216
0.00100000     	99        	15840       	253440      	225.912353  	1.860303    	23.95     	662.314570
0.00099973     	109       	17440       	279040      	226.034984  	1.900595    	20.16     	657.306821
0.00099890     	119       	19040       	304640      	220.473719  	1.865928    	22.45     	666.825504
0.00099753     	129       	20640       	330240      	217.284378  	1.958479    	21.57     	662.437601
0.00099562     	139       	22240       	355840      	214.664799  	1.975889    	21.40     	657.102298
0.00099316     	149       	23840       	381440      	211.771518  	1.931911    	20.95     	653.316499
0.00099017     	159       	25440       	407040      	207.284727  	1.973423    	21.82     	663.951253
0.00098663     	169       	27040       	432640      	203.947726  	1.980373    	22.91     	659.587776
0.00098257     	179       	28640       	458240      	200.593633  	1.995447    	21.03     	667.141007
0.00097798     	189       	30240       	483840      	198.368470  	2.035768    	22.15     	729.393135
0.00097286     	199       	31840       	509440      	195.770223  	1.982129    	22.55     	661.383729
0.00096723     	209       	33440       	535040      	192.398042  	2.148609    	21.49     	660.399969
0.00096110     	219       	35040       	560640      	188.782978  	2.120189    	22.79     	660.715296
0.00095446     	229       	36640       	586240      	186.915477  	2.091539    	21.23     	660.920364
0.00094733     	239       	38240       	611840      	183.404651  	2.123470    	22.59     	658.719605
0.00093971     	249       	39840       	637440      	180.726196  	2.204150    	23.09     	659.984613
0.00093162     	259       	41440       	663040      	180.288944  	2.336548    	21.44     	665.322372
0.00092307     	269       	43040       	688640      	178.474651  	2.271562    	22.38     	659.410553
0.00091406     	279       	44640       	714240      	174.641585  	2.250446    	22.62     	664.586493
0.00090460     	289       	46240       	739840      	173.472252  	2.174315    	20.87     	646.728320
0.00089472     	299       	47840       	765440      	170.686864  	2.176070    	22.99     	465.830523
0.00088442     	309       	49440       	791040      	168.949418  	2.412609    	20.80     	420.067718
0.00087370     	319       	51040       	816640      	166.208608  	2.225310    	22.01     	421.154165
0.00086260     	329       	52640       	842240      	165.123481  	2.297560    	22.38     	427.083233
0.00085111     	339       	54240       	867840      	163.523045  	2.295734    	22.88     	421.519823
0.00083925     	349       	55840       	893440      	161.804175  	2.369913    	22.45     	549.820901
0.00082705     	359       	57440       	919040      	160.678448  	2.294301    	22.90     	435.925258
0.00081450     	369       	59040       	944640      	159.284145  	2.395985    	22.08     	405.944191
0.00080164     	379       	60640       	970240      	157.842077  	2.578746    	21.52     	439.680981
0.00078846     	389       	62240       	995840      	156.456878  	2.368970    	21.47     	411.764994
0.00077500     	399       	63840       	1021440     	155.499050  	2.560139    	21.62     	408.935458
0.00076126     	409       	65440       	1047040     	154.096922  	2.378195    	22.05     	410.455323
0.00074727     	419       	67040       	1072640     	152.948307  	2.503797    	21.97     	412.690247
0.00073303     	429       	68640       	1098240     	151.387549  	2.578570    	21.45     	412.519820
0.00071857     	439       	70240       	1123840     	150.878563  	2.415385    	21.98     	405.426554
0.00070391     	449       	71840       	1149440     	149.718623  	2.594969    	22.41     	403.722914
0.00068906     	459       	73440       	1175040     	147.462230  	2.477208    	21.72     	402.349142
0.00067404     	469       	75040       	1200640     	147.091579  	2.598058    	22.27     	406.230468
0.00065886     	479       	76640       	1226240     	146.334919  	2.580998    	21.90     	406.137815
0.00064356     	489       	78240       	1251840     	144.611108  	2.593646    	22.03     	413.999054
0.00062814     	499       	79840       	1277440     	143.189694  	2.522074    	22.36     	408.423588
0.00061263     	509       	81440       	1303040     	141.690957  	2.615990    	22.34     	412.687624
0.00059704     	519       	83040       	1328640     	140.833424  	2.562058    	22.10     	411.256297
0.00058139     	529       	84640       	1354240     	139.418447  	2.642459    	21.49     	409.424876
0.00056570     	539       	86240       	1379840     	138.939322  	2.597878    	21.96     	404.222284
0.00055000     	549       	87840       	1405440     	137.192081  	2.792147    	21.05     	416.880282
0.00053430     	559       	89440       	1431040     	136.544390  	2.676696    	21.52     	414.793292
0.00051861     	569       	91040       	1456640     	135.895050  	2.652576    	21.11     	402.246182
0.00050296     	579       	92640       	1482240     	134.291012  	2.719449    	21.75     	404.841373
0.00048737     	589       	94240       	1507840     	133.941495  	2.813002    	21.61     	402.352492
0.00047186     	599       	95840       	1533440     	132.033384  	2.740477    	21.70     	405.831859
0.00045644     	609       	97440       	1559040     	131.850786  	2.797849    	21.72     	407.104416
0.00044114     	619       	99040       	1584640     	130.431942  	2.883545    	21.34     	406.154547
0.00042596     	629       	100640      	1610240     	129.963170  	2.853727    	21.38     	401.864950
0.00041094     	639       	102240      	1635840     	128.040705  	2.892372    	21.25     	413.327647
0.00039609     	649       	103840      	1661440     	128.115611  	2.885407    	21.48     	405.047053
0.00038143     	659       	105440      	1687040     	126.210552  	2.775298    	20.91     	417.406089
0.00036697     	669       	107040      	1712640     	126.470180  	2.900939    	21.28     	407.665389
0.00035273     	679       	108640      	1738240     	125.967742  	2.900198    	21.48     	405.206981
0.00033874     	689       	110240      	1763840     	124.216002  	2.946358    	21.13     	407.308310
0.00032500     	699       	111840      	1789440     	123.096875  	2.929822    	21.67     	407.666895
0.00031154     	709       	113440      	1815040     	122.402980  	2.938895    	20.88     	403.944362
0.00029836     	719       	115040      	1840640     	121.933005  	2.945350    	21.46     	412.857544
0.00028550     	729       	116640      	1866240     	122.082412  	2.982348    	20.67     	418.475003
0.00027295     	739       	118240      	1891840     	120.697231  	2.953161    	20.96     	405.064281
0.00026075     	749       	119840      	1917440     	119.836821  	2.988982    	21.07     	406.460974
0.00024889     	759       	121440      	1943040     	119.156825  	2.957763    	21.95     	413.689107
0.00023740     	769       	123040      	1968640     	117.972269  	3.025491    	21.42     	420.353763
0.00022630     	779       	124640      	1994240     	117.785054  	2.975477    	21.54     	404.054601
0.00021558     	789       	126240      	2019840     	116.925301  	3.094284    	21.69     	518.948077
0.00020528     	799       	127840      	2045440     	117.080807  	3.008094    	22.23     	407.300926
0.00019540     	809       	129440      	2071040     	115.542416  	3.100493    	21.55     	406.571553
0.00018594     	819       	131040      	2096640     	114.815711  	3.081920    	21.38     	409.199848
0.00017693     	829       	132640      	2122240     	114.671768  	3.058222    	22.36     	407.649235
0.00016838     	839       	134240      	2147840     	114.090080  	3.088052    	21.41     	417.482580
0.00016029     	849       	135840      	2173440     	114.760623  	3.128700    	22.08     	409.308634
0.00015267     	859       	137440      	2199040     	113.079303  	3.132386    	21.36     	409.694920
0.00014554     	869       	139040      	2224640     	112.107114  	3.105562    	21.64     	409.684363
0.00013890     	879       	140640      	2250240     	111.771686  	3.195108    	21.11     	410.118874
0.00013277     	889       	142240      	2275840     	111.275364  	3.157211    	21.43     	415.927541
0.00012714     	899       	143840      	2301440     	110.614621  	3.171316    	21.41     	406.917349
0.00012202     	909       	145440      	2327040     	109.999032  	3.195148    	21.82     	411.709023
0.00011743     	919       	147040      	2352640     	109.343391  	3.178660    	21.57     	427.225977
0.00011337     	929       	148640      	2378240     	109.968339  	3.244344    	21.59     	411.933857
0.00010983     	939       	150240      	2403840     	109.347117  	3.246869    	21.30     	408.694030
0.00010684     	949       	151840      	2429440     	108.796085  	3.266882    	21.57     	467.528387
0.00010438     	959       	153440      	2455040     	109.005709  	3.293561    	21.48     	405.669839
0.00010247     	969       	155040      	2480640     	109.325824  	3.267726    	20.83     	411.485800
0.00010110     	979       	156640      	2506240     	108.044690  	3.299755    	21.07     	404.157145
0.00010027     	989       	158240      	2531840     	107.759300  	3.314065    	21.52     	409.429161
0.00010000     	999       	159840      	2557440     	108.441105  	3.243096    	21.57     	407.666832
