Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	511.339219  	1.688395    	13.30     	5075.334763
0.00020000     	19        	6080        	48640       	482.382073  	2.025479    	15.16     	3954.554942
0.00030000     	29        	9280        	74240       	346.671525  	1.129719    	55.77     	4933.280090
0.00040000     	39        	12480       	99840       	180.324165  	0.688695    	71.48     	4210.950820
0.00050000     	49        	15680       	125440      	137.300084  	0.590118    	77.75     	4173.649587
0.00060000     	59        	18880       	151040      	113.902846  	0.424560    	81.76     	4484.995212
0.00070000     	69        	22080       	176640      	100.164796  	0.536900    	78.83     	4265.961481
0.00080000     	79        	25280       	202240      	87.007921   	0.432185    	81.48     	4131.574256
0.00090000     	89        	28480       	227840      	79.171565   	0.398788    	83.65     	4232.622580
0.00100000     	99        	31680       	253440      	73.750160   	0.356932    	84.62     	4669.563412
0.00099973     	109       	34880       	279040      	65.242116   	0.344091    	85.08     	4089.607139
0.00099890     	119       	38080       	304640      	57.009360   	0.345955    	86.37     	4067.352496
0.00099753     	129       	41280       	330240      	49.836739   	0.258545    	89.34     	4369.370073
0.00099562     	139       	44480       	355840      	44.312473   	0.245870    	89.85     	4223.365867
0.00099316     	149       	47680       	381440      	39.988402   	0.263347    	88.95     	4251.978304
0.00099017     	159       	50880       	407040      	36.412492   	0.211230    	91.50     	3842.772437
0.00098663     	169       	54080       	432640      	35.445210   	0.216308    	90.34     	4691.094990
0.00098257     	179       	57280       	458240      	32.580613   	0.208374    	90.34     	3769.841983
0.00097798     	189       	60480       	483840      	30.466371   	0.233895    	89.47     	4628.028418
0.00097286     	199       	63680       	509440      	28.901102   	0.210454    	90.04     	3697.107531
0.00096723     	209       	66880       	535040      	28.738699   	0.189569    	90.96     	3976.323137
0.00096110     	219       	70080       	560640      	27.942892   	0.226124    	90.34     	4007.499910
0.00095446     	229       	73280       	586240      	28.277521   	0.184356    	91.68     	4087.539342
0.00094733     	239       	76480       	611840      	26.716447   	0.195458    	91.18     	4055.068415
0.00093971     	249       	79680       	637440      	26.484029   	0.174296    	92.10     	4207.120047
0.00093162     	259       	82880       	663040      	25.935249   	0.269194    	87.55     	4577.261757
0.00092307     	269       	86080       	688640      	24.796747   	0.212830    	90.76     	4687.696273
0.00091406     	279       	89280       	714240      	24.223871   	0.213641    	90.31     	4281.475314
0.00090460     	289       	92480       	739840      	23.693994   	0.183710    	91.27     	3930.520576
0.00089472     	299       	95680       	765440      	24.131766   	0.192919    	90.90     	3898.692088
0.00088442     	309       	98880       	791040      	22.555050   	0.206014    	91.70     	3849.887972
0.00087370     	319       	102080      	816640      	21.479059   	0.207461    	91.09     	3786.256288
0.00086260     	329       	105280      	842240      	22.296905   	0.207153    	90.54     	3767.268318
0.00085111     	339       	108480      	867840      	21.858375   	0.206451    	91.36     	3811.651175
0.00083925     	349       	111680      	893440      	20.812169   	0.213770    	90.88     	3826.601223
0.00082705     	359       	114880      	919040      	19.781796   	0.199572    	90.75     	3987.613461
0.00081450     	369       	118080      	944640      	20.401368   	0.200695    	91.34     	3981.135473
0.00080164     	379       	121280      	970240      	20.397625   	0.181371    	91.72     	3960.487285
0.00078846     	389       	124480      	995840      	18.638503   	0.189603    	92.09     	4071.565274
0.00077500     	399       	127680      	1021440     	19.988515   	0.218012    	90.50     	4309.517828
0.00076126     	409       	130880      	1047040     	19.914198   	0.228223    	90.31     	4460.629845
0.00074727     	419       	134080      	1072640     	18.170314   	0.187697    	91.40     	4496.455492
0.00073303     	429       	137280      	1098240     	17.513587   	0.191625    	91.31     	3646.457827
0.00071857     	439       	140480      	1123840     	17.049007   	0.201642    	91.39     	3770.438831
0.00070391     	449       	143680      	1149440     	16.541824   	0.212546    	91.31     	4316.487450
0.00068906     	459       	146880      	1175040     	16.274217   	0.193994    	91.34     	4484.263698
0.00067404     	469       	150080      	1200640     	15.102219   	0.165159    	92.88     	3730.062909
0.00065886     	479       	153280      	1226240     	15.894507   	0.166488    	92.65     	4146.394762
0.00064356     	489       	156480      	1251840     	14.698307   	0.176590    	91.77     	4278.510410
0.00062814     	499       	159680      	1277440     	13.755104   	0.161566    	92.98     	3903.428382
0.00061263     	509       	162880      	1303040     	13.503162   	0.182558    	92.36     	4212.423114
0.00059704     	519       	166080      	1328640     	13.014287   	0.159272    	93.03     	4120.965644
0.00058139     	529       	169280      	1354240     	12.699053   	0.185808    	91.41     	4094.586028
0.00056570     	539       	172480      	1379840     	12.486141   	0.151730    	93.06     	4205.649639
0.00055000     	549       	175680      	1405440     	11.377507   	0.153176    	92.96     	3771.143231
0.00053430     	559       	178880      	1431040     	11.597516   	0.141280    	93.44     	4130.692572
0.00051861     	569       	182080      	1456640     	11.149503   	0.148302    	93.21     	3882.644440
0.00050296     	579       	185280      	1482240     	10.251570   	0.134379    	93.51     	4030.764517
0.00048737     	589       	188480      	1507840     	10.507965   	0.138448    	93.91     	3860.144695
0.00047186     	599       	191680      	1533440     	9.519066    	0.142469    	93.73     	3868.556183
0.00045644     	609       	194880      	1559040     	9.444222    	0.146329    	93.38     	4216.346362
0.00044114     	619       	198080      	1584640     	9.452818    	0.142256    	93.54     	3718.267121
