Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00029882     	4         	600         	4800        	247.232426  	1.618709    	20.35     	1180.275255
0.00029406     	9         	1350        	10800       	241.973457  	1.609438    	20.55     	1366.701679
0.00028577     	14        	2100        	16800       	241.415690  	1.609438    	20.20     	1186.735980
0.00027415     	19        	2850        	22800       	241.415691  	1.609438    	19.55     	1149.277361
0.00025948     	24        	3600        	28800       	241.415740  	1.609438    	20.70     	1145.007703
0.00024213     	29        	4350        	34800       	241.415710  	1.609438    	19.05     	1103.531521
0.00022252     	34        	5100        	40800       	241.415692  	1.609438    	20.25     	1380.918371
0.00020114     	39        	5850        	46800       	241.416086  	1.609438    	19.95     	1020.428200
0.00017851     	44        	6600        	52800       	241.415691  	1.609438    	18.85     	1129.429078
0.00015520     	49        	7350        	58800       	241.415691  	1.609438    	18.80     	1161.451450
0.00013176     	54        	8100        	64800       	241.415691  	1.609438    	20.65     	1130.298811
0.00010879     	59        	8850        	70800       	241.415691  	1.609438    	19.75     	1295.815935
0.00008685     	64        	9600        	76800       	241.415763  	1.609438    	19.57     	1367.938191
