Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	251.629769  	1.747466    	18.70     	736.727497
0.00020000     	19        	3040        	48640       	244.432129  	1.741596    	19.68     	736.468660
0.00030000     	29        	4640        	74240       	241.447321  	1.799058    	18.65     	736.251037
0.00040000     	39        	6240        	99840       	238.376215  	1.894573    	18.94     	732.032013
0.00050000     	49        	7840        	125440      	235.036042  	1.781264    	18.67     	724.776258
0.00060000     	59        	9440        	151040      	231.134228  	1.825434    	21.01     	717.524017
0.00070000     	69        	11040       	176640      	227.452804  	1.836325    	21.80     	717.362564
0.00080000     	79        	12640       	202240      	223.111768  	1.840661    	21.95     	715.668621
0.00090000     	89        	14240       	227840      	219.515480  	1.829748    	23.54     	716.469181
0.00100000     	99        	15840       	253440      	216.863640  	1.927257    	22.27     	717.594307
0.00099973     	109       	17440       	279040      	213.911271  	1.918469    	21.90     	717.039447
0.00099890     	119       	19040       	304640      	210.864134  	1.921195    	22.12     	896.051436
0.00099753     	129       	20640       	330240      	207.238799  	1.850040    	23.68     	881.755701
0.00099562     	139       	22240       	355840      	205.624434  	1.872962    	24.11     	1115.158107
0.00099316     	149       	23840       	381440      	206.354026  	1.861249    	20.55     	1200.541391
0.00099017     	159       	25440       	407040      	204.015932  	1.866805    	23.26     	833.477237
0.00098663     	169       	27040       	432640      	203.711387  	1.939034    	22.78     	732.919119
0.00098257     	179       	28640       	458240      	204.227060  	1.881397    	23.21     	728.435130
0.00097798     	189       	30240       	483840      	204.848992  	1.964061    	23.23     	729.323880
0.00097286     	199       	31840       	509440      	204.020362  	1.921951    	22.07     	735.463358
0.00096723     	209       	33440       	535040      	207.876962  	1.955799    	21.72     	732.827098
0.00096110     	219       	35040       	560640      	209.758051  	1.939111    	23.09     	722.636474
0.00095446     	229       	36640       	586240      	210.832293  	1.981451    	20.81     	724.242121
0.00094733     	239       	38240       	611840      	211.125754  	1.910872    	20.05     	720.580726
0.00093971     	249       	39840       	637440      	213.704589  	1.881596    	20.05     	723.702253
0.00093162     	259       	41440       	663040      	216.211265  	1.977379    	19.26     	722.510845
0.00092307     	269       	43040       	688640      	221.008005  	2.030403    	20.54     	723.158731
0.00091406     	279       	44640       	714240      	218.389709  	1.953872    	19.82     	722.077738
0.00090460     	289       	46240       	739840      	217.555852  	1.903045    	19.38     	720.414278
0.00089472     	299       	47840       	765440      	218.424954  	1.991659    	19.38     	722.166217
0.00088442     	309       	49440       	791040      	218.162088  	1.878634    	19.66     	725.027213
0.00087370     	319       	51040       	816640      	219.271432  	1.982293    	19.89     	723.027054
0.00086260     	329       	52640       	842240      	219.911215  	1.853004    	19.12     	721.712359
0.00085111     	339       	54240       	867840      	222.931161  	1.841068    	21.21     	722.159986
0.00083925     	349       	55840       	893440      	221.533411  	1.915662    	20.41     	720.164513
0.00082705     	359       	57440       	919040      	222.747219  	1.851210    	18.93     	721.074572
0.00081450     	369       	59040       	944640      	223.810884  	1.888710    	19.14     	719.765503
0.00080164     	379       	60640       	970240      	221.244435  	1.921373    	20.59     	721.569175
0.00078846     	389       	62240       	995840      	221.700846  	1.950221    	20.66     	717.496379
0.00077500     	399       	63840       	1021440     	221.348090  	1.960349    	19.48     	724.442721
0.00076126     	409       	65440       	1047040     	220.389552  	1.955799    	20.31     	727.237735
0.00074727     	419       	67040       	1072640     	219.736477  	1.958018    	19.75     	729.624081
0.00073303     	429       	68640       	1098240     	220.596982  	1.881260    	19.52     	730.676146
0.00071857     	439       	70240       	1123840     	220.081538  	1.950237    	19.62     	737.991086
0.00070391     	449       	71840       	1149440     	220.372600  	1.912914    	20.17     	748.958051
0.00068906     	459       	73440       	1175040     	218.278008  	1.965624    	18.64     	755.661615
0.00067404     	469       	75040       	1200640     	219.127373  	1.953050    	19.88     	733.695543
0.00065886     	479       	76640       	1226240     	219.602881  	1.907687    	20.25     	726.969753
0.00064356     	489       	78240       	1251840     	218.759683  	1.932683    	19.37     	724.429798
0.00062814     	499       	79840       	1277440     	219.387303  	1.922601    	18.34     	722.832505
0.00061263     	509       	81440       	1303040     	218.850433  	1.942055    	18.91     	723.153873
0.00059704     	519       	83040       	1328640     	219.057764  	1.869714    	19.12     	727.945235
0.00058139     	529       	84640       	1354240     	217.301671  	1.986666    	19.18     	717.175068
0.00056570     	539       	86240       	1379840     	218.309855  	1.862781    	20.20     	724.562468
0.00055000     	549       	87840       	1405440     	218.587515  	2.052209    	19.86     	722.338066
0.00053430     	559       	89440       	1431040     	218.027615  	1.952817    	19.55     	723.474288
0.00051861     	569       	91040       	1456640     	217.319315  	2.019653    	19.51     	721.490870
0.00050296     	579       	92640       	1482240     	218.198501  	1.978205    	20.07     	724.069873
0.00048737     	589       	94240       	1507840     	217.849470  	1.969674    	18.61     	720.475102
0.00047186     	599       	95840       	1533440     	217.108723  	1.983175    	19.08     	715.289489
0.00045644     	609       	97440       	1559040     	216.684019  	2.014056    	19.40     	723.477434
0.00044114     	619       	99040       	1584640     	214.954824  	2.026171    	18.64     	718.384087
0.00042596     	629       	100640      	1610240     	214.846729  	2.030264    	20.08     	721.757005
0.00041094     	639       	102240      	1635840     	214.640445  	1.994617    	18.84     	723.361174
0.00039609     	649       	103840      	1661440     	213.761994  	1.974127    	20.38     	720.509404
0.00038143     	659       	105440      	1687040     	213.295627  	1.968917    	20.36     	735.338273
0.00036697     	669       	107040      	1712640     	213.707532  	1.967961    	20.03     	742.651933
0.00035273     	679       	108640      	1738240     	211.985314  	2.012374    	19.57     	736.406177
0.00033874     	689       	110240      	1763840     	212.131735  	2.011555    	19.53     	821.755994
0.00032500     	699       	111840      	1789440     	211.723502  	2.031780    	19.15     	739.580172
0.00031154     	709       	113440      	1815040     	211.198024  	1.972463    	19.06     	747.307980
0.00029836     	719       	115040      	1840640     	210.562435  	2.030458    	19.74     	738.895498
0.00028550     	729       	116640      	1866240     	210.383105  	2.055543    	19.47     	908.172177
0.00027295     	739       	118240      	1891840     	209.847352  	2.087288    	19.45     	1831.089616
0.00026075     	749       	119840      	1917440     	210.618346  	2.084690    	20.18     	1817.135315
0.00024889     	759       	121440      	1943040     	209.634526  	2.052552    	19.61     	1827.027980
0.00023740     	769       	123040      	1968640     	209.301282  	2.106327    	19.14     	1829.817877
0.00022630     	779       	124640      	1994240     	208.132628  	2.107725    	19.06     	1830.230680
0.00021558     	789       	126240      	2019840     	207.376760  	2.057682    	20.58     	1797.035678
0.00020528     	799       	127840      	2045440     	207.697570  	2.062514    	19.87     	1829.345615
0.00019540     	809       	129440      	2071040     	207.048227  	2.105938    	20.52     	1835.301132
0.00018594     	819       	131040      	2096640     	207.429984  	2.076906    	20.04     	1831.668474
0.00017693     	829       	132640      	2122240     	205.937445  	2.091032    	20.44     	1831.397269
0.00016838     	839       	134240      	2147840     	205.751084  	2.056727    	20.77     	1830.393381
0.00016029     	849       	135840      	2173440     	205.105998  	2.074143    	21.37     	1802.283021
0.00015267     	859       	137440      	2199040     	204.209111  	2.105741    	20.40     	1817.113054
0.00014554     	869       	139040      	2224640     	204.212577  	2.186579    	19.26     	1829.645559
0.00013890     	879       	140640      	2250240     	204.549020  	2.107156    	18.68     	1837.587507
0.00013277     	889       	142240      	2275840     	204.237378  	2.030879    	19.87     	1829.891332
0.00012714     	899       	143840      	2301440     	204.112093  	2.093380    	19.72     	1831.585270
0.00012202     	909       	145440      	2327040     	203.203098  	2.117559    	19.12     	1837.050336
0.00011743     	919       	147040      	2352640     	203.597357  	2.141122    	19.72     	1822.644966
0.00011337     	929       	148640      	2378240     	202.499649  	2.127761    	20.21     	1832.549892
0.00010983     	939       	150240      	2403840     	202.611774  	2.155842    	19.77     	1815.057039
0.00010684     	949       	151840      	2429440     	203.157890  	2.111988    	21.33     	1818.234079
0.00010438     	959       	153440      	2455040     	202.314501  	2.138422    	20.56     	1826.311531
0.00010247     	969       	155040      	2480640     	202.325373  	2.104128    	19.88     	1837.786725
0.00010110     	979       	156640      	2506240     	202.659882  	2.092060    	19.95     	1812.973566
0.00010027     	989       	158240      	2531840     	201.792271  	2.152283    	19.75     	1818.521119
0.00010000     	999       	159840      	2557440     	201.367735  	2.170523    	19.46     	1798.374629
