Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	253.950654  	1.687866    	20.83     	686.511858
0.00020000     	19        	3040        	48640       	249.342804  	1.773220    	20.32     	700.727644
0.00030000     	29        	4640        	74240       	245.788566  	1.830392    	18.09     	708.515458
0.00040000     	39        	6240        	99840       	243.080342  	1.785409    	19.39     	701.969928
0.00050000     	49        	7840        	125440      	240.575486  	1.825704    	17.50     	702.102169
0.00060000     	59        	9440        	151040      	237.168253  	1.818524    	18.53     	706.027846
0.00070000     	69        	11040       	176640      	230.915003  	1.788797    	21.97     	708.557184
0.00080000     	79        	12640       	202240      	224.573862  	1.867720    	22.38     	718.096443
0.00090000     	89        	14240       	227840      	216.716218  	1.792674    	23.08     	703.303704
0.00100000     	99        	15840       	253440      	212.362224  	1.760230    	24.52     	705.555590
0.00099973     	109       	17440       	279040      	215.565367  	1.793996    	19.84     	713.410221
0.00099890     	119       	19040       	304640      	224.920279  	1.836080    	21.85     	710.681689
0.00099753     	129       	20640       	330240      	225.028288  	1.864959    	19.43     	1214.722651
0.00099562     	139       	22240       	355840      	225.075254  	1.820278    	20.03     	1237.323774
0.00099316     	149       	23840       	381440      	226.395838  	1.975028    	17.51     	1165.029568
0.00099017     	159       	25440       	407040      	226.098885  	1.893766    	18.74     	1019.788134
0.00098663     	169       	27040       	432640      	227.274370  	1.828954    	20.84     	710.881056
0.00098257     	179       	28640       	458240      	226.126127  	1.875717    	18.52     	703.534140
0.00097798     	189       	30240       	483840      	226.709783  	1.866337    	19.34     	709.227052
0.00097286     	199       	31840       	509440      	226.103353  	1.869127    	18.95     	709.726342
0.00096723     	209       	33440       	535040      	224.947723  	1.887895    	19.26     	709.245644
0.00096110     	219       	35040       	560640      	226.165855  	1.811416    	19.74     	714.027527
0.00095446     	229       	36640       	586240      	226.627175  	1.846997    	18.52     	708.855555
0.00094733     	239       	38240       	611840      	224.582717  	1.829012    	20.27     	708.851717
0.00093971     	249       	39840       	637440      	225.553951  	1.833278    	19.52     	707.326840
0.00093162     	259       	41440       	663040      	224.953918  	1.985237    	16.41     	709.838358
0.00092307     	269       	43040       	688640      	225.738724  	1.898895    	19.52     	704.874988
0.00091406     	279       	44640       	714240      	224.540471  	1.917230    	20.04     	708.584089
0.00090460     	289       	46240       	739840      	224.823193  	1.901803    	19.32     	708.410300
0.00089472     	299       	47840       	765440      	224.582889  	1.989559    	20.13     	708.633851
0.00088442     	309       	49440       	791040      	223.716715  	1.872279    	20.43     	710.177648
0.00087370     	319       	51040       	816640      	224.097073  	1.997882    	20.63     	707.417692
0.00086260     	329       	52640       	842240      	223.044094  	1.835310    	19.56     	706.135648
0.00085111     	339       	54240       	867840      	222.661779  	1.876320    	19.46     	704.688008
0.00083925     	349       	55840       	893440      	222.163285  	1.913913    	19.62     	705.936950
0.00082705     	359       	57440       	919040      	222.538525  	1.994442    	20.43     	712.085200
0.00081450     	369       	59040       	944640      	221.906122  	1.933600    	18.26     	713.152773
0.00080164     	379       	60640       	970240      	221.357184  	1.919056    	19.34     	712.132354
0.00078846     	389       	62240       	995840      	220.998856  	1.887979    	19.20     	710.404996
0.00077500     	399       	63840       	1021440     	221.091597  	1.941967    	18.56     	709.917783
0.00076126     	409       	65440       	1047040     	221.560014  	1.965151    	19.76     	704.910068
0.00074727     	419       	67040       	1072640     	220.823889  	1.942480    	19.32     	706.596581
0.00073303     	429       	68640       	1098240     	220.802521  	1.955850    	19.44     	706.524310
0.00071857     	439       	70240       	1123840     	221.410330  	1.884015    	19.30     	702.838480
0.00070391     	449       	71840       	1149440     	220.810480  	1.939901    	18.84     	705.936023
0.00068906     	459       	73440       	1175040     	220.559240  	1.895115    	18.95     	717.740734
0.00067404     	469       	75040       	1200640     	220.288953  	1.959202    	18.96     	742.039712
0.00065886     	479       	76640       	1226240     	219.333927  	1.939195    	18.09     	708.982567
0.00064356     	489       	78240       	1251840     	218.636556  	1.973806    	18.88     	702.838265
