Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	254.008821  	1.676569    	19.51     	700.244779
0.00020000     	19        	3040        	48640       	250.057308  	1.806773    	19.02     	695.541076
0.00030000     	29        	4640        	74240       	245.973378  	1.753940    	18.67     	706.384549
0.00040000     	39        	6240        	99840       	242.962740  	1.813074    	20.11     	696.239384
0.00050000     	49        	7840        	125440      	240.410641  	1.820228    	19.34     	697.188642
0.00060000     	59        	9440        	151040      	237.518705  	1.854961    	18.85     	701.851429
0.00070000     	69        	11040       	176640      	235.257658  	1.870563    	19.06     	704.643003
0.00080000     	79        	12640       	202240      	233.863931  	1.880340    	19.32     	715.089906
0.00090000     	89        	14240       	227840      	232.407617  	1.845250    	18.29     	700.088986
0.00100000     	99        	15840       	253440      	230.702228  	1.847736    	18.28     	701.589337
0.00099973     	109       	17440       	279040      	230.166185  	1.848093    	17.96     	710.456205
0.00099890     	119       	19040       	304640      	229.469321  	1.883027    	19.54     	707.449282
0.00099753     	129       	20640       	330240      	228.787830  	1.881871    	18.51     	1224.623575
0.00099562     	139       	22240       	355840      	228.615327  	1.882057    	18.45     	1245.137380
0.00099316     	149       	23840       	381440      	227.252111  	1.987683    	19.24     	1202.410350
0.00099017     	159       	25440       	407040      	227.804343  	1.883326    	18.34     	1011.978573
0.00098663     	169       	27040       	432640      	228.362023  	1.839830    	20.57     	701.234214
0.00098257     	179       	28640       	458240      	226.891727  	1.996412    	17.62     	703.618181
0.00097798     	189       	30240       	483840      	227.462651  	1.922684    	19.48     	706.560010
0.00097286     	199       	31840       	509440      	227.201002  	1.982072    	17.54     	708.169124
0.00096723     	209       	33440       	535040      	226.747282  	1.867396    	18.53     	708.164450
0.00096110     	219       	35040       	560640      	226.998667  	1.889487    	18.99     	711.285687
0.00095446     	229       	36640       	586240      	224.153316  	1.882668    	18.09     	708.040042
0.00094733     	239       	38240       	611840      	223.103227  	1.945594    	19.35     	707.312615
0.00093971     	249       	39840       	637440      	222.520911  	1.940131    	18.24     	706.476452
0.00093162     	259       	41440       	663040      	221.195897  	1.993756    	18.00     	710.105607
0.00092307     	269       	43040       	688640      	220.843206  	2.030116    	19.45     	703.281746
0.00091406     	279       	44640       	714240      	220.406696  	1.972097    	18.94     	707.965116
0.00090460     	289       	46240       	739840      	219.946386  	1.991191    	18.90     	705.846393
0.00089472     	299       	47840       	765440      	220.022721  	1.922333    	18.90     	704.619084
0.00088442     	309       	49440       	791040      	219.652030  	1.922955    	20.00     	706.542893
0.00087370     	319       	51040       	816640      	220.002693  	1.873536    	19.27     	705.096338
0.00086260     	329       	52640       	842240      	219.336241  	1.890982    	19.09     	703.672121
0.00085111     	339       	54240       	867840      	219.660847  	1.911911    	18.66     	700.155373
0.00083925     	349       	55840       	893440      	220.008795  	1.966319    	18.62     	703.105134
0.00082705     	359       	57440       	919040      	220.246371  	2.005269    	19.30     	706.470961
0.00081450     	369       	59040       	944640      	220.590003  	1.918469    	18.29     	701.569233
0.00080164     	379       	60640       	970240      	220.010828  	1.900260    	18.34     	699.704639
0.00078846     	389       	62240       	995840      	219.924062  	1.995078    	17.46     	703.291191
0.00077500     	399       	63840       	1021440     	219.485298  	2.002109    	19.71     	703.959927
0.00076126     	409       	65440       	1047040     	219.005608  	1.939567    	20.35     	701.926745
0.00074727     	419       	67040       	1072640     	219.468434  	1.959272    	18.09     	704.260939
0.00073303     	429       	68640       	1098240     	219.126149  	2.032629    	18.82     	702.516616
0.00071857     	439       	70240       	1123840     	219.101659  	1.975410    	18.66     	697.928560
0.00070391     	449       	71840       	1149440     	219.485360  	1.947219    	19.73     	701.913656
0.00068906     	459       	73440       	1175040     	218.781925  	1.879771    	19.41     	712.858710
0.00067404     	469       	75040       	1200640     	218.951721  	1.997807    	18.96     	718.209989
0.00065886     	479       	76640       	1226240     	218.545215  	2.024392    	17.80     	698.397407
0.00064356     	489       	78240       	1251840     	218.054821  	2.008424    	18.31     	696.596668
0.00062814     	499       	79840       	1277440     	218.106718  	1.951622    	18.16     	698.470332
0.00061263     	509       	81440       	1303040     	218.207247  	2.045364    	18.14     	694.998174
0.00059704     	519       	83040       	1328640     	217.652591  	1.957202    	18.99     	690.181009
0.00058139     	529       	84640       	1354240     	217.467350  	1.965778    	19.65     	689.227937
0.00056570     	539       	86240       	1379840     	218.006413  	2.115100    	19.18     	689.804890
0.00055000     	549       	87840       	1405440     	217.962668  	1.965566    	18.75     	686.121776
0.00053430     	559       	89440       	1431040     	217.212909  	1.959598    	19.15     	686.600787
0.00051861     	569       	91040       	1456640     	217.042943  	2.088919    	18.22     	689.223559
0.00050296     	579       	92640       	1482240     	217.022644  	2.012840    	19.01     	688.696396
0.00048737     	589       	94240       	1507840     	215.941175  	2.028682    	18.72     	687.617785
0.00047186     	599       	95840       	1533440     	216.451066  	1.963232    	19.23     	722.572547
0.00045644     	609       	97440       	1559040     	215.326730  	1.974915    	19.90     	687.544773
0.00044114     	619       	99040       	1584640     	214.832354  	2.010743    	19.34     	689.005645
0.00042596     	629       	100640      	1610240     	215.020345  	2.120199    	18.60     	687.243564
0.00041094     	639       	102240      	1635840     	214.648379  	2.091140    	17.93     	686.146841
