Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	260.154727  	1.757617    	19.39     	396.035362
0.00020000     	19        	3040        	48640       	254.026728  	1.778035    	19.03     	910.033240
0.00030000     	29        	4640        	74240       	248.919725  	1.815443    	19.65     	2938.531792
0.00040000     	39        	6240        	99840       	246.149943  	1.835421    	20.17     	2910.862298
0.00050000     	49        	7840        	125440      	242.941170  	1.817376    	19.27     	2619.384541
0.00060000     	59        	9440        	151040      	239.120106  	1.834300    	18.72     	3117.275718
0.00070000     	69        	11040       	176640      	237.025758  	1.829525    	18.02     	1616.035995
0.00080000     	79        	12640       	202240      	235.530856  	1.829921    	18.06     	2934.623622
0.00090000     	89        	14240       	227840      	234.815779  	1.814401    	18.93     	2772.407810
0.00100000     	99        	15840       	253440      	232.334141  	1.830558    	18.04     	2561.362166
0.00099973     	109       	17440       	279040      	230.531160  	1.905760    	19.48     	933.465508
0.00099890     	119       	19040       	304640      	228.539886  	1.926997    	18.27     	954.116166
0.00099753     	129       	20640       	330240      	226.898022  	1.910978    	19.06     	934.892277
0.00099562     	139       	22240       	355840      	227.180530  	1.876784    	19.11     	951.979881
0.00099316     	149       	23840       	381440      	223.808462  	1.956697    	19.26     	3331.117208
0.00099017     	159       	25440       	407040      	224.160010  	1.990017    	18.01     	975.410531
0.00098663     	169       	27040       	432640      	222.476872  	1.930174    	19.12     	940.169834
0.00098257     	179       	28640       	458240      	221.630453  	1.954903    	18.52     	943.582517
0.00097798     	189       	30240       	483840      	220.771859  	1.951987    	18.34     	2982.477023
0.00097286     	199       	31840       	509440      	220.288744  	1.989976    	18.86     	920.941376
0.00096723     	209       	33440       	535040      	217.978080  	2.060083    	19.03     	950.350522
0.00096110     	219       	35040       	560640      	217.531039  	1.948271    	19.51     	930.580508
0.00095446     	229       	36640       	586240      	217.655595  	2.044824    	17.73     	2406.330731
0.00094733     	239       	38240       	611840      	217.291444  	1.952552    	19.48     	880.774398
0.00093971     	249       	39840       	637440      	215.734160  	2.029464    	19.30     	945.233628
0.00093162     	259       	41440       	663040      	213.783217  	2.016726    	17.88     	2120.503998
0.00092307     	269       	43040       	688640      	215.089457  	2.047953    	18.27     	1054.277651
0.00091406     	279       	44640       	714240      	215.243125  	2.092352    	18.66     	947.288787
0.00090460     	289       	46240       	739840      	213.371357  	2.057115    	19.69     	933.982763
0.00089472     	299       	47840       	765440      	211.774718  	2.087744    	18.87     	905.402903
0.00088442     	309       	49440       	791040      	212.204240  	2.030783    	19.35     	2288.451080
0.00087370     	319       	51040       	816640      	211.221303  	2.030075    	20.20     	1210.229146
0.00086260     	329       	52640       	842240      	209.364199  	2.106171    	19.75     	953.551393
0.00085111     	339       	54240       	867840      	209.737362  	2.050855    	20.42     	1120.049634
0.00083925     	349       	55840       	893440      	211.076565  	2.064653    	20.05     	866.563474
0.00082705     	359       	57440       	919040      	209.385964  	2.087408    	19.89     	926.955773
0.00081450     	369       	59040       	944640      	208.386919  	2.157025    	19.87     	974.249162
0.00080164     	379       	60640       	970240      	209.080052  	2.088565    	20.11     	966.496245
0.00078846     	389       	62240       	995840      	207.995903  	2.055773    	19.95     	917.321533
0.00077500     	399       	63840       	1021440     	207.796517  	2.086567    	19.88     	925.426145
0.00076126     	409       	65440       	1047040     	205.110678  	2.104849    	18.88     	954.846528
0.00074727     	419       	67040       	1072640     	205.704342  	2.117115    	20.36     	937.027988
0.00073303     	429       	68640       	1098240     	203.606547  	2.129922    	19.59     	928.406213
0.00071857     	439       	70240       	1123840     	203.154452  	2.178289    	19.16     	944.733091
0.00070391     	449       	71840       	1149440     	201.658022  	2.098134    	19.84     	940.804304
0.00068906     	459       	73440       	1175040     	200.603025  	2.168555    	19.25     	902.276833
0.00067404     	469       	75040       	1200640     	201.439290  	2.182087    	20.27     	939.886028
0.00065886     	479       	76640       	1226240     	199.623499  	2.148091    	19.54     	948.812346
0.00064356     	489       	78240       	1251840     	200.257974  	2.212179    	19.11     	907.560489
0.00062814     	499       	79840       	1277440     	199.705307  	2.144673    	18.84     	879.084244
0.00061263     	509       	81440       	1303040     	197.302929  	2.185011    	19.88     	943.093611
0.00059704     	519       	83040       	1328640     	197.058478  	2.177860    	20.55     	1096.231664
0.00058139     	529       	84640       	1354240     	195.300308  	2.280627    	18.88     	931.830657
0.00056570     	539       	86240       	1379840     	194.754375  	2.283381    	19.98     	933.231412
0.00055000     	549       	87840       	1405440     	194.429124  	2.216597    	20.13     	917.627776
0.00053430     	559       	89440       	1431040     	192.603979  	2.206857    	19.88     	916.824468
0.00051861     	569       	91040       	1456640     	192.494847  	2.223886    	20.59     	933.589270
0.00050296     	579       	92640       	1482240     	191.450833  	2.221759    	20.22     	920.692814
0.00048737     	589       	94240       	1507840     	190.397741  	2.264767    	20.27     	1064.169275
0.00047186     	599       	95840       	1533440     	190.568996  	2.210265    	19.82     	880.544383
0.00045644     	609       	97440       	1559040     	188.919841  	2.287437    	20.34     	917.048808
0.00044114     	619       	99040       	1584640     	188.300023  	2.317814    	19.02     	930.421364
0.00042596     	629       	100640      	1610240     	187.709728  	2.215252    	19.83     	1692.782778
0.00041094     	639       	102240      	1635840     	186.152099  	2.313376    	19.60     	1522.441261
0.00039609     	649       	103840      	1661440     	184.979827  	2.427625    	19.71     	922.524252
0.00038143     	659       	105440      	1687040     	183.952024  	2.352449    	20.12     	937.059387
0.00036697     	669       	107040      	1712640     	183.098636  	2.359429    	19.79     	916.243033
0.00035273     	679       	108640      	1738240     	182.663713  	2.363650    	20.03     	926.649640
0.00033874     	689       	110240      	1763840     	182.688744  	2.304326    	19.26     	919.065892
0.00032500     	699       	111840      	1789440     	181.880182  	2.416084    	20.35     	929.865320
0.00031154     	709       	113440      	1815040     	180.248149  	2.345279    	20.41     	910.727337
0.00029836     	719       	115040      	1840640     	179.384683  	2.423556    	18.48     	927.832219
0.00028550     	729       	116640      	1866240     	178.715486  	2.374750    	20.15     	933.313506
0.00027295     	739       	118240      	1891840     	177.993868  	2.376189    	19.51     	918.988003
0.00026075     	749       	119840      	1917440     	176.692160  	2.394311    	19.62     	915.515970
0.00024889     	759       	121440      	1943040     	175.913847  	2.480177    	21.11     	572.078397
0.00023740     	769       	123040      	1968640     	176.489705  	2.462818    	20.31     	352.176041
0.00022630     	779       	124640      	1994240     	174.041986  	2.357545    	19.72     	357.837057
0.00021558     	789       	126240      	2019840     	174.159592  	2.373113    	20.50     	371.462113
0.00020528     	799       	127840      	2045440     	173.402582  	2.435305    	20.09     	369.858424
0.00019540     	809       	129440      	2071040     	172.332660  	2.435680    	20.32     	358.644120
0.00018594     	819       	131040      	2096640     	172.142919  	2.426853    	19.62     	354.690955
0.00017693     	829       	132640      	2122240     	170.926277  	2.502337    	20.26     	353.765251
0.00016838     	839       	134240      	2147840     	171.276526  	2.405282    	20.39     	354.190402
0.00016029     	849       	135840      	2173440     	169.824120  	2.497961    	20.38     	360.558367
0.00015267     	859       	137440      	2199040     	168.742414  	2.492594    	20.45     	360.508377
0.00014554     	869       	139040      	2224640     	169.315460  	2.515309    	20.15     	357.065190
0.00013890     	879       	140640      	2250240     	168.635596  	2.500795    	19.65     	355.126600
0.00013277     	889       	142240      	2275840     	168.008102  	2.521486    	20.76     	360.817519
0.00012714     	899       	143840      	2301440     	167.700568  	2.485219    	20.46     	368.044868
0.00012202     	909       	145440      	2327040     	166.480212  	2.511774    	19.78     	371.166694
0.00011743     	919       	147040      	2352640     	166.206760  	2.514449    	19.71     	361.473816
0.00011337     	929       	148640      	2378240     	166.367417  	2.480503    	20.84     	353.044863
0.00010983     	939       	150240      	2403840     	166.237386  	2.492429    	20.52     	355.418870
0.00010684     	949       	151840      	2429440     	165.126355  	2.531663    	19.78     	361.682096
0.00010438     	959       	153440      	2455040     	165.327051  	2.568952    	19.44     	357.366562
0.00010247     	969       	155040      	2480640     	164.931412  	2.546272    	19.46     	360.583532
0.00010110     	979       	156640      	2506240     	164.681910  	2.589401    	19.62     	365.776465
0.00010027     	989       	158240      	2531840     	164.444367  	2.576272    	19.85     	360.640039
0.00010000     	999       	159840      	2557440     	164.099003  	2.579342    	19.40     	362.486063
