Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	254.150417  	1.711736    	19.12     	524.905547
0.00020000     	19        	3040        	48640       	250.587355  	1.715358    	18.22     	545.426488
0.00030000     	29        	4640        	74240       	246.317725  	1.776120    	18.86     	588.947726
0.00040000     	39        	6240        	99840       	243.268119  	1.747550    	19.72     	1059.921912
0.00050000     	49        	7840        	125440      	240.718491  	1.758939    	19.84     	1398.952982
0.00060000     	59        	9440        	151040      	238.582555  	1.849288    	19.28     	1430.453731
0.00070000     	69        	11040       	176640      	234.796882  	1.836571    	21.33     	1475.048462
0.00080000     	79        	12640       	202240      	227.500399  	1.790183    	22.20     	1427.922373
0.00090000     	89        	14240       	227840      	216.775840  	1.637016    	28.63     	1435.699143
0.00100000     	99        	15840       	253440      	205.244920  	1.632453    	29.20     	1428.482422
0.00099973     	109       	17440       	279040      	195.509698  	1.601005    	31.02     	1422.395211
0.00099890     	119       	19040       	304640      	187.543433  	1.710706    	30.57     	1424.026059
0.00099753     	129       	20640       	330240      	177.706930  	1.575494    	35.30     	1444.997044
0.00099562     	139       	22240       	355840      	170.407097  	1.593741    	36.25     	1424.546621
0.00099316     	149       	23840       	381440      	165.237500  	1.521775    	38.17     	1440.159290
0.00099017     	159       	25440       	407040      	159.013512  	1.533132    	37.56     	1424.718643
0.00098663     	169       	27040       	432640      	152.896390  	1.569994    	37.94     	1436.985784
0.00098257     	179       	28640       	458240      	145.777070  	1.517849    	39.57     	1407.092980
0.00097798     	189       	30240       	483840      	139.470487  	1.521102    	40.59     	1019.164802
0.00097286     	199       	31840       	509440      	133.879794  	1.534908    	40.23     	906.214429
0.00096723     	209       	33440       	535040      	130.367234  	1.520128    	40.23     	1080.876862
0.00096110     	219       	35040       	560640      	126.888986  	1.560583    	39.87     	903.428644
0.00095446     	229       	36640       	586240      	123.025307  	1.539704    	39.42     	902.665803
0.00094733     	239       	38240       	611840      	119.694323  	1.575891    	39.01     	909.478241
0.00093971     	249       	39840       	637440      	115.920552  	1.557667    	40.59     	903.338327
0.00093162     	259       	41440       	663040      	113.515403  	1.573389    	40.64     	917.356063
0.00092307     	269       	43040       	688640      	110.777787  	1.524923    	42.80     	929.656499
0.00091406     	279       	44640       	714240      	108.150176  	1.607094    	39.92     	909.460564
0.00090460     	289       	46240       	739840      	104.671287  	1.559947    	41.54     	910.451757
0.00089472     	299       	47840       	765440      	103.569385  	1.611428    	39.31     	895.584688
0.00088442     	309       	49440       	791040      	101.815082  	1.592646    	41.42     	895.721835
0.00087370     	319       	51040       	816640      	100.107259  	1.508805    	42.26     	905.748690
0.00086260     	329       	52640       	842240      	97.361351   	1.534389    	42.52     	877.241245
0.00085111     	339       	54240       	867840      	95.651074   	1.550489    	42.23     	895.027774
0.00083925     	349       	55840       	893440      	94.358200   	1.610104    	41.60     	892.622283
0.00082705     	359       	57440       	919040      	92.016845   	1.586715    	42.73     	895.480930
0.00081450     	369       	59040       	944640      	91.450224   	1.603583    	41.85     	902.279986
0.00080164     	379       	60640       	970240      	89.269510   	1.573385    	42.65     	898.444532
0.00078846     	389       	62240       	995840      	89.052466   	1.553904    	41.55     	896.239532
0.00077500     	399       	63840       	1021440     	87.289543   	1.549514    	42.44     	892.744135
0.00076126     	409       	65440       	1047040     	85.790641   	1.536242    	43.34     	998.666329
0.00074727     	419       	67040       	1072640     	84.647216   	1.520403    	43.77     	903.763866
0.00073303     	429       	68640       	1098240     	83.323133   	1.553640    	44.04     	900.471983
0.00071857     	439       	70240       	1123840     	82.549617   	1.564115    	42.05     	896.105543
0.00070391     	449       	71840       	1149440     	81.195845   	1.515341    	44.16     	904.394281
0.00068906     	459       	73440       	1175040     	79.008201   	1.508696    	44.32     	904.684904
0.00067404     	469       	75040       	1200640     	78.706649   	1.530332    	43.55     	902.473527
