Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	252.335240  	1.724512    	17.88     	3303.357081
0.00020000     	19        	3040        	48640       	244.496267  	1.807566    	17.53     	3303.314775
0.00030000     	29        	4640        	74240       	239.539795  	1.733631    	19.91     	3441.380021
0.00040000     	39        	6240        	99840       	235.333303  	1.816584    	19.37     	3483.383376
0.00050000     	49        	7840        	125440      	231.978616  	1.794712    	20.56     	2925.410718
0.00060000     	59        	9440        	151040      	227.869249  	1.816693    	19.99     	3043.595290
0.00070000     	69        	11040       	176640      	222.917468  	1.848495    	20.31     	2993.964141
0.00080000     	79        	12640       	202240      	218.044746  	1.805065    	21.00     	3057.699240
0.00090000     	89        	14240       	227840      	212.322606  	1.807594    	22.04     	2863.328318
0.00100000     	99        	15840       	253440      	200.210445  	1.644905    	28.48     	3144.487367
0.00099973     	109       	17440       	279040      	192.804175  	1.692548    	29.48     	2946.479677
0.00099890     	119       	19040       	304640      	185.114614  	1.577314    	31.52     	2848.312331
0.00099753     	129       	20640       	330240      	181.620317  	1.641294    	32.77     	2896.308321
0.00099562     	139       	22240       	355840      	174.107636  	1.658207    	33.27     	3215.623991
0.00099316     	149       	23840       	381440      	170.139140  	1.567822    	35.91     	2910.884492
0.00099017     	159       	25440       	407040      	170.324931  	1.591085    	34.36     	2510.266925
0.00098663     	169       	27040       	432640      	173.188289  	1.546392    	35.17     	2920.642623
0.00098257     	179       	28640       	458240      	169.187302  	1.582006    	35.15     	3014.852061
0.00097798     	189       	30240       	483840      	170.438715  	1.583499    	35.90     	2719.764667
0.00097286     	199       	31840       	509440      	162.923656  	1.529009    	36.98     	2910.600682
0.00096723     	209       	33440       	535040      	164.968392  	1.504826    	40.01     	2710.605562
0.00096110     	219       	35040       	560640      	155.988030  	1.539299    	37.30     	2623.007310
0.00095446     	229       	36640       	586240      	155.170370  	1.556403    	34.66     	2566.368093
0.00094733     	239       	38240       	611840      	157.229256  	1.592457    	35.30     	2679.866952
0.00093971     	249       	39840       	637440      	153.710706  	1.517823    	37.10     	2899.313217
