Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00029882     	4         	300         	4800        	121.297854  	1.627304    	19.00     	839.166045
0.00029406     	9         	675         	10800       	120.414371  	1.685046    	19.43     	733.469793
0.00028577     	14        	1050        	16800       	119.238620  	1.678844    	17.32     	867.598530
0.00027415     	19        	1425        	22800       	118.831020  	1.654684    	18.75     	747.201507
0.00025948     	24        	1800        	28800       	117.860382  	1.726401    	17.20     	683.577231
0.00024213     	29        	2175        	34800       	117.576268  	1.704672    	18.55     	660.482323
0.00022252     	34        	2550        	40800       	117.095478  	1.698135    	19.32     	728.973115
0.00020114     	39        	2925        	46800       	116.667238  	1.781445    	17.07     	739.993278
0.00017851     	44        	3300        	52800       	116.313634  	1.735873    	18.20     	782.682021
0.00015520     	49        	3675        	58800       	116.288821  	1.699009    	17.93     	861.688479
0.00013176     	54        	4050        	64800       	115.999978  	1.777530    	18.82     	860.578070
0.00010879     	59        	4425        	70800       	115.440020  	1.772583    	17.75     	687.589596
0.00008685     	64        	4800        	76800       	115.329888  	1.820131    	17.43     	682.505004
0.00006647     	69        	5175        	82800       	114.919080  	1.791006    	18.38     	760.820534
0.00004816     	74        	5550        	88800       	114.520590  	1.789673    	17.43     	696.810950
0.00003237     	79        	5925        	94800       	114.035678  	1.816170    	17.02     	689.369354
0.00001949     	84        	6300        	100800      	113.974739  	1.826979    	17.57     	826.255000
0.00000984     	89        	6675        	106800      	113.760181  	1.801656    	17.88     	771.278879
0.00000365     	94        	7050        	112800      	113.649574  	1.834676    	16.85     	826.877564
0.00000107     	99        	7425        	118800      	113.233617  	1.827131    	17.57     	825.885679
