Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	127.269292  	1.696431    	18.86     	1081.195855
0.00020000     	19        	1520        	48640       	125.164531  	1.800331    	18.73     	1144.139815
0.00030000     	29        	2320        	74240       	123.754890  	1.719907    	18.66     	1158.314265
0.00040000     	39        	3120        	99840       	122.067047  	1.757387    	19.62     	1122.119237
0.00050000     	49        	3920        	125440      	120.489914  	1.794020    	19.05     	1134.363815
0.00060000     	59        	4720        	151040      	119.308353  	1.842890    	18.52     	1135.637556
0.00070000     	69        	5520        	176640      	118.506631  	1.849081    	18.52     	1145.495346
0.00080000     	79        	6320        	202240      	118.250852  	1.870623    	18.39     	1140.163175
0.00090000     	89        	7120        	227840      	117.139954  	1.865534    	18.06     	1112.841030
0.00100000     	99        	7920        	253440      	116.353390  	1.903317    	18.14     	1107.431735
0.00099973     	109       	8720        	279040      	116.176293  	1.873782    	17.80     	1151.859261
0.00099890     	119       	9520        	304640      	115.062833  	1.873961    	19.57     	1145.152275
0.00099753     	129       	10320       	330240      	114.161641  	1.842142    	17.70     	1149.398815
0.00099562     	139       	11120       	355840      	113.772186  	1.852405    	19.30     	1126.292416
0.00099316     	149       	11920       	381440      	113.118638  	2.016758    	18.80     	1135.581281
0.00099017     	159       	12720       	407040      	113.105246  	1.903169    	18.85     	1152.540288
0.00098663     	169       	13520       	432640      	112.868154  	1.832894    	19.74     	1122.247900
0.00098257     	179       	14320       	458240      	112.394378  	2.019144    	18.30     	1143.910242
0.00097798     	189       	15120       	483840      	112.477186  	1.956742    	19.55     	1136.377096
0.00097286     	199       	15920       	509440      	112.545240  	1.880262    	19.26     	1156.667528
0.00096723     	209       	16720       	535040      	112.202219  	1.934911    	18.82     	1135.511909
0.00096110     	219       	17520       	560640      	112.123293  	1.933539    	18.25     	1142.776067
0.00095446     	229       	18320       	586240      	111.967248  	1.872284    	17.50     	1155.733432
0.00094733     	239       	19120       	611840      	111.575116  	1.953204    	19.55     	1151.427348
0.00093971     	249       	19920       	637440      	111.170427  	1.970574    	18.51     	1156.477404
0.00093162     	259       	20720       	663040      	109.976589  	1.890329    	18.59     	1163.566599
0.00092307     	269       	21520       	688640      	109.369160  	1.964698    	19.77     	1156.054461
0.00091406     	279       	22320       	714240      	108.985357  	1.973067    	17.52     	1164.505178
0.00090460     	289       	23120       	739840      	108.658770  	1.951838    	19.02     	1171.714828
0.00089472     	299       	23920       	765440      	107.946617  	1.999296    	18.52     	1154.181737
0.00088442     	309       	24720       	791040      	107.691436  	1.978485    	19.36     	1158.563550
0.00087370     	319       	25520       	816640      	107.395256  	2.019586    	18.30     	1158.536593
0.00086260     	329       	26320       	842240      	107.307252  	1.953420    	19.22     	1158.477011
0.00085111     	339       	27120       	867840      	107.247617  	1.997613    	18.16     	1162.763144
0.00083925     	349       	27920       	893440      	107.215368  	1.973166    	19.68     	1176.208143
0.00082705     	359       	28720       	919040      	106.931000  	1.968340    	19.59     	1179.420954
0.00081450     	369       	29520       	944640      	106.609724  	2.090145    	19.45     	1154.010478
0.00080164     	379       	30320       	970240      	106.769446  	2.028646    	18.69     	1115.052769
0.00078846     	389       	31120       	995840      	106.355995  	2.066721    	17.49     	1101.126953
0.00077500     	399       	31920       	1021440     	105.786555  	2.042705    	19.09     	1088.271895
0.00076126     	409       	32720       	1047040     	105.536372  	2.039406    	18.89     	1084.851544
0.00074727     	419       	33520       	1072640     	105.906627  	1.981833    	20.14     	1087.080680
0.00073303     	429       	34320       	1098240     	106.078279  	2.043271    	18.21     	1076.500660
0.00071857     	439       	35120       	1123840     	105.589158  	2.082503    	18.52     	1083.583034
0.00070391     	449       	35920       	1149440     	105.526723  	2.039557    	18.26     	1080.838744
0.00068906     	459       	36720       	1175040     	105.195787  	1.980710    	19.20     	1052.424436
0.00067404     	469       	37520       	1200640     	104.929141  	2.039360    	20.45     	1067.442827
0.00065886     	479       	38320       	1226240     	104.699410  	2.096023    	19.42     	1086.100016
0.00064356     	489       	39120       	1251840     	104.265240  	2.099447    	18.38     	1067.636054
0.00062814     	499       	39920       	1277440     	103.884261  	2.185878    	17.26     	1069.873308
0.00061263     	509       	40720       	1303040     	104.279446  	2.045166    	19.18     	1060.710373
0.00059704     	519       	41520       	1328640     	104.062503  	2.045800    	19.39     	1068.738112
0.00058139     	529       	42320       	1354240     	104.157462  	2.167552    	18.95     	1078.172605
0.00056570     	539       	43120       	1379840     	103.784952  	2.057156    	19.46     	1074.250953
0.00055000     	549       	43920       	1405440     	103.519274  	2.082216    	19.70     	1092.476109
0.00053430     	559       	44720       	1431040     	103.673498  	2.090498    	19.22     	1077.904369
0.00051861     	569       	45520       	1456640     	103.536059  	2.120572    	19.16     	1067.951619
0.00050296     	579       	46320       	1482240     	103.864468  	2.123896    	18.26     	1073.508403
0.00048737     	589       	47120       	1507840     	102.551439  	2.208819    	18.72     	1092.812462
0.00047186     	599       	47920       	1533440     	102.787736  	2.155654    	18.92     	1087.999129
0.00045644     	609       	48720       	1559040     	102.412478  	2.055634    	19.95     	1108.960271
0.00044114     	619       	49520       	1584640     	101.857467  	2.133518    	19.02     	1094.483826
0.00042596     	629       	50320       	1610240     	102.284551  	2.206103    	18.88     	1095.781605
0.00041094     	639       	51120       	1635840     	102.188986  	2.208493    	19.02     	1097.114525
0.00039609     	649       	51920       	1661440     	101.909243  	2.081082    	18.39     	1100.338467
0.00038143     	659       	52720       	1687040     	102.406421  	2.026189    	18.87     	1110.181747
0.00036697     	669       	53520       	1712640     	102.030839  	2.115482    	18.80     	1108.963915
0.00035273     	679       	54320       	1738240     	102.152455  	2.200108    	18.66     	1099.597816
0.00033874     	689       	55120       	1763840     	101.082590  	2.105126    	19.20     	1101.175467
0.00032500     	699       	55920       	1789440     	100.340108  	2.224195    	19.02     	1101.437582
0.00031154     	709       	56720       	1815040     	99.650056   	2.238249    	18.98     	1099.789330
0.00029836     	719       	57520       	1840640     	100.169026  	2.267591    	18.03     	1087.482300
0.00028550     	729       	58320       	1866240     	99.797472   	2.238675    	18.58     	1101.574455
0.00027295     	739       	59120       	1891840     	99.950013   	2.208064    	18.87     	1118.535267
0.00026075     	749       	59920       	1917440     	99.530205   	2.219159    	18.21     	1101.037544
0.00024889     	759       	60720       	1943040     	99.313701   	2.222827    	19.45     	1103.559240
0.00023740     	769       	61520       	1968640     	99.079465   	2.235537    	18.34     	1120.576220
0.00022630     	779       	62320       	1994240     	98.379237   	2.208785    	18.22     	874.010206
0.00021558     	789       	63120       	2019840     	98.535511   	2.249166    	18.99     	726.205671
0.00020528     	799       	63920       	2045440     	98.003486   	2.277220    	18.28     	707.759572
0.00019540     	809       	64720       	2071040     	97.594927   	2.332849    	18.34     	730.405700
0.00018594     	819       	65520       	2096640     	97.240292   	2.249145    	19.93     	716.229263
0.00017693     	829       	66320       	2122240     	97.116723   	2.274073    	18.83     	718.684793
0.00016838     	839       	67120       	2147840     	96.860264   	2.296761    	18.23     	723.722548
0.00016029     	849       	67920       	2173440     	96.484378   	2.324235    	19.26     	704.077227
0.00015267     	859       	68720       	2199040     	96.261074   	2.319599    	19.12     	728.128215
0.00014554     	869       	69520       	2224640     	96.083414   	2.322549    	18.78     	695.381467
0.00013890     	879       	70320       	2250240     	95.990430   	2.380269    	18.67     	700.896402
0.00013277     	889       	71120       	2275840     	95.741732   	2.331166    	18.30     	696.975995
0.00012714     	899       	71920       	2301440     	95.631016   	2.321013    	18.68     	401.333897
0.00012202     	909       	72720       	2327040     	95.569110   	2.312426    	18.23     	308.198596
0.00011743     	919       	73520       	2352640     	95.072168   	2.315155    	18.50     	308.518294
0.00011337     	929       	74320       	2378240     	94.933764   	2.333571    	18.62     	304.920723
0.00010983     	939       	75120       	2403840     	94.774244   	2.341425    	18.66     	300.807807
0.00010684     	949       	75920       	2429440     	94.463506   	2.313000    	19.77     	297.775707
0.00010438     	959       	76720       	2455040     	94.563696   	2.340732    	18.84     	297.614489
0.00010247     	969       	77520       	2480640     	94.528719   	2.348604    	18.13     	307.793474
0.00010110     	979       	78320       	2506240     	94.681519   	2.355261    	18.49     	311.053428
0.00010027     	989       	79120       	2531840     	94.229908   	2.367015    	18.48     	306.444365
0.00010000     	999       	79920       	2557440     	93.985283   	2.337740    	18.72     	299.848922
