Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	505.239431  	1.716612    	19.11     	1143.369001
0.00020000     	19        	6080        	48640       	490.935457  	1.761527    	18.66     	1096.654180
0.00030000     	29        	9280        	74240       	484.526394  	1.726554    	20.30     	1183.656656
0.00040000     	39        	12480       	99840       	477.943007  	1.772125    	19.18     	1108.401419
0.00050000     	49        	15680       	125440      	474.739297  	1.767193    	20.46     	1118.476747
0.00060000     	59        	18880       	151040      	469.373792  	1.846897    	19.16     	1130.433007
0.00070000     	69        	22080       	176640      	464.343635  	1.920354    	18.64     	1109.026667
0.00080000     	79        	25280       	202240      	457.860443  	1.925105    	17.87     	1133.567359
0.00090000     	89        	28480       	227840      	450.993714  	1.926793    	17.73     	1122.919637
0.00100000     	99        	31680       	253440      	443.491242  	1.955063    	19.18     	1124.797912
0.00099973     	109       	34880       	279040      	437.424849  	1.942490    	20.24     	1145.148540
0.00099890     	119       	38080       	304640      	431.643048  	1.918690    	21.00     	1143.885160
0.00099753     	129       	41280       	330240      	427.672066  	1.986559    	19.54     	1152.164826
0.00099562     	139       	44480       	355840      	421.632995  	2.016669    	19.62     	1148.631020
0.00099316     	149       	47680       	381440      	414.290522  	2.055243    	19.34     	1129.968699
0.00099017     	159       	50880       	407040      	407.828589  	2.037984    	19.84     	1134.674308
0.00098663     	169       	54080       	432640      	403.984724  	2.081654    	20.57     	1175.287029
0.00098257     	179       	57280       	458240      	396.917635  	2.026348    	20.00     	1145.985327
0.00097798     	189       	60480       	483840      	395.610045  	2.086978    	20.86     	1136.140006
0.00097286     	199       	63680       	509440      	391.891364  	2.153051    	19.84     	1174.130759
0.00096723     	209       	66880       	535040      	386.295328  	2.133123    	20.93     	1138.546083
0.00096110     	219       	70080       	560640      	384.705558  	2.128907    	20.83     	1127.873067
0.00095446     	229       	73280       	586240      	382.173431  	2.133565    	21.16     	1127.578736
0.00094733     	239       	76480       	611840      	377.027472  	2.250383    	20.30     	1105.479486
0.00093971     	249       	79680       	637440      	372.655443  	2.117589    	21.67     	1135.504708
0.00093162     	259       	82880       	663040      	372.840440  	2.203361    	21.02     	1112.556426
0.00092307     	269       	86080       	688640      	368.592716  	2.141361    	21.62     	1119.801938
0.00091406     	279       	89280       	714240      	364.984520  	2.318271    	21.63     	1120.657508
0.00090460     	289       	92480       	739840      	365.084404  	2.230677    	20.59     	1116.082383
0.00089472     	299       	95680       	765440      	361.856509  	2.162862    	20.60     	1117.437317
0.00088442     	309       	98880       	791040      	358.718150  	2.231717    	21.59     	1125.307126
0.00087370     	319       	102080      	816640      	357.079196  	2.156152    	21.41     	1119.351781
0.00086260     	329       	105280      	842240      	356.091259  	2.184765    	22.49     	1116.657103
0.00085111     	339       	108480      	867840      	352.288725  	2.184749    	22.00     	1132.138107
0.00083925     	349       	111680      	893440      	350.405244  	2.260637    	22.67     	1100.482213
0.00082705     	359       	114880      	919040      	350.974312  	2.249515    	21.03     	1138.612043
0.00081450     	369       	118080      	944640      	346.231612  	2.197320    	21.33     	1144.822256
0.00080164     	379       	121280      	970240      	344.321036  	2.141120    	22.69     	1134.072615
0.00078846     	389       	124480      	995840      	342.233044  	2.232666    	22.77     	1174.357046
0.00077500     	399       	127680      	1021440     	340.916478  	2.230174    	21.80     	1141.254974
0.00076126     	409       	130880      	1047040     	340.043868  	2.264567    	22.80     	1150.148538
0.00074727     	419       	134080      	1072640     	337.779695  	2.239119    	21.49     	1162.146293
0.00073303     	429       	137280      	1098240     	336.056088  	2.226211    	21.10     	1142.201091
0.00071857     	439       	140480      	1123840     	334.236049  	2.290449    	21.31     	1160.466531
0.00070391     	449       	143680      	1149440     	333.487722  	2.186289    	22.52     	1153.860406
0.00068906     	459       	146880      	1175040     	330.011212  	2.270617    	23.06     	1152.996339
0.00067404     	469       	150080      	1200640     	327.557670  	2.332743    	21.13     	1132.110298
0.00065886     	479       	153280      	1226240     	326.928571  	2.295551    	22.35     	1157.308012
0.00064356     	489       	156480      	1251840     	324.992763  	2.284739    	21.94     	1120.835463
0.00062814     	499       	159680      	1277440     	320.813791  	2.226858    	21.81     	1122.842456
0.00061263     	509       	162880      	1303040     	320.333350  	2.244399    	21.01     	1125.310214
0.00059704     	519       	166080      	1328640     	317.322469  	2.210695    	22.56     	1100.563893
0.00058139     	529       	169280      	1354240     	315.732041  	2.289411    	21.98     	1167.656226
0.00056570     	539       	172480      	1379840     	315.047417  	2.229952    	23.12     	1120.331667
