Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	252.136986  	1.693995    	18.91     	1659.087772
0.00020000     	19        	3040        	48640       	244.644228  	1.697845    	20.65     	2314.610489
0.00030000     	29        	4640        	74240       	240.657960  	1.806503    	17.68     	2314.355664
0.00040000     	39        	6240        	99840       	236.290482  	1.748229    	19.90     	2318.128791
0.00050000     	49        	7840        	125440      	232.768416  	1.794557    	20.96     	2315.933025
0.00060000     	59        	9440        	151040      	227.874656  	1.777476    	22.58     	2322.726839
0.00070000     	69        	11040       	176640      	219.558212  	1.712545    	24.77     	2312.296632
0.00080000     	79        	12640       	202240      	207.181963  	1.596026    	31.12     	2314.685571
0.00090000     	89        	14240       	227840      	191.012292  	1.525510    	35.45     	2315.850852
0.00100000     	99        	15840       	253440      	177.775025  	1.550522    	37.30     	2268.595165
0.00099973     	109       	17440       	279040      	168.050757  	1.547865    	36.88     	2309.207019
0.00099890     	119       	19040       	304640      	158.993542  	1.457124    	40.18     	2309.593474
0.00099753     	129       	20640       	330240      	151.883135  	1.469373    	40.68     	2305.576162
0.00099562     	139       	22240       	355840      	150.689384  	1.490252    	40.15     	2287.404059
0.00099316     	149       	23840       	381440      	145.463002  	1.440403    	42.59     	2300.074060
0.00099017     	159       	25440       	407040      	140.447650  	1.507765    	41.23     	2308.185515
0.00098663     	169       	27040       	432640      	139.584099  	1.413160    	42.94     	2852.505697
0.00098257     	179       	28640       	458240      	135.321339  	1.473122    	42.18     	2203.309859
0.00097798     	189       	30240       	483840      	132.497024  	1.455884    	40.49     	2308.424364
0.00097286     	199       	31840       	509440      	134.741646  	1.495204    	39.30     	2320.648758
0.00096723     	209       	33440       	535040      	131.317439  	1.486983    	39.84     	2320.392883
0.00096110     	219       	35040       	560640      	128.902350  	1.451153    	42.98     	2321.173389
0.00095446     	229       	36640       	586240      	122.718502  	1.516269    	40.16     	2323.810685
0.00094733     	239       	38240       	611840      	120.239893  	1.465403    	42.48     	2329.737431
0.00093971     	249       	39840       	637440      	118.445135  	1.495788    	40.86     	2326.153463
0.00093162     	259       	41440       	663040      	120.467445  	1.434614    	43.29     	2316.843509
0.00092307     	269       	43040       	688640      	119.231105  	1.452800    	42.60     	2319.849255
0.00091406     	279       	44640       	714240      	119.533026  	1.505988    	41.90     	2324.106965
0.00090460     	289       	46240       	739840      	148.428065  	1.837665    	23.59     	2336.712163
0.00089472     	299       	47840       	765440      	150.424198  	1.518360    	40.66     	2324.951815
0.00088442     	309       	49440       	791040      	127.695716  	1.520244    	40.88     	2328.713702
0.00087370     	319       	51040       	816640      	124.176138  	1.447469    	42.75     	2324.987030
0.00086260     	329       	52640       	842240      	117.754250  	1.479230    	43.27     	2318.096133
0.00085111     	339       	54240       	867840      	123.908714  	1.482944    	41.73     	2319.552852
0.00083925     	349       	55840       	893440      	115.973142  	1.497466    	42.57     	2328.007555
0.00082705     	359       	57440       	919040      	112.986949  	1.524045    	40.83     	2282.524305
0.00081450     	369       	59040       	944640      	118.785381  	1.521430    	40.08     	2308.976635
0.00080164     	379       	60640       	970240      	113.934393  	1.525739    	42.51     	2324.078922
0.00078846     	389       	62240       	995840      	112.632530  	1.495328    	41.91     	2325.750983
0.00077500     	399       	63840       	1021440     	112.250390  	1.484680    	42.47     	2321.547282
0.00076126     	409       	65440       	1047040     	111.147003  	1.435954    	44.70     	2376.181312
0.00074727     	419       	67040       	1072640     	110.253594  	1.488170    	42.92     	2321.282746
0.00073303     	429       	68640       	1098240     	109.477357  	1.515165    	41.21     	2198.283133
0.00071857     	439       	70240       	1123840     	110.011809  	1.493340    	41.75     	2351.209337
0.00070391     	449       	71840       	1149440     	107.374684  	1.458634    	44.57     	2327.389805
0.00068906     	459       	73440       	1175040     	105.137562  	1.501219    	42.09     	2314.416139
0.00067404     	469       	75040       	1200640     	103.949865  	1.512231    	41.98     	2371.913406
0.00065886     	479       	76640       	1226240     	103.768860  	1.463197    	42.82     	2580.771239
0.00064356     	489       	78240       	1251840     	105.450467  	1.526793    	42.30     	2320.709220
0.00062814     	499       	79840       	1277440     	104.981656  	1.464877    	44.04     	2291.978499
0.00061263     	509       	81440       	1303040     	101.321524  	1.500784    	42.98     	2301.647338
0.00059704     	519       	83040       	1328640     	101.176412  	1.429128    	45.19     	2305.409056
0.00058139     	529       	84640       	1354240     	100.178852  	1.490191    	43.09     	2308.402028
0.00056570     	539       	86240       	1379840     	98.480238   	1.497504    	42.20     	2309.792589
0.00055000     	549       	87840       	1405440     	97.740304   	1.536283    	41.94     	2302.664795
0.00053430     	559       	89440       	1431040     	97.284303   	1.494729    	44.15     	2314.846569
0.00051861     	569       	91040       	1456640     	97.036588   	1.530379    	41.71     	2315.861190
0.00050296     	579       	92640       	1482240     	95.256662   	1.489760    	43.83     	2333.521878
0.00048737     	589       	94240       	1507840     	94.152757   	1.495874    	43.00     	2337.101160
0.00047186     	599       	95840       	1533440     	93.638973   	1.508431    	43.62     	2330.112496
0.00045644     	609       	97440       	1559040     	93.569075   	1.444608    	44.55     	2330.311968
0.00044114     	619       	99040       	1584640     	92.558387   	1.488005    	43.88     	2331.963608
0.00042596     	629       	100640      	1610240     	91.809946   	1.489801    	43.21     	2329.417137
0.00041094     	639       	102240      	1635840     	90.856608   	1.497108    	44.72     	2326.815529
0.00039609     	649       	103840      	1661440     	90.628418   	1.463957    	43.85     	2326.555133
0.00038143     	659       	105440      	1687040     	89.235767   	1.455259    	44.17     	2326.627882
0.00036697     	669       	107040      	1712640     	88.424397   	1.468715    	44.40     	2328.611295
0.00035273     	679       	108640      	1738240     	88.580877   	1.504291    	43.77     	2328.677555
0.00033874     	689       	110240      	1763840     	88.522243   	1.490017    	44.62     	2327.045217
0.00032500     	699       	111840      	1789440     	88.063054   	1.458610    	44.99     	2331.550108
0.00031154     	709       	113440      	1815040     	86.794608   	1.481438    	43.99     	2328.310680
0.00029836     	719       	115040      	1840640     	86.696465   	1.464796    	44.81     	2327.605581
0.00028550     	729       	116640      	1866240     	85.955859   	1.482048    	43.66     	2329.853208
0.00027295     	739       	118240      	1891840     	85.604198   	1.475125    	44.48     	2326.751686
0.00026075     	749       	119840      	1917440     	84.304058   	1.513142    	44.40     	2327.087437
0.00024889     	759       	121440      	1943040     	84.966057   	1.497479    	43.59     	2334.975535
0.00023740     	769       	123040      	1968640     	84.667138   	1.517898    	44.07     	2331.575922
0.00022630     	779       	124640      	1994240     	82.871451   	1.493058    	44.41     	2327.716071
0.00021558     	789       	126240      	2019840     	83.764055   	1.483806    	43.82     	2327.609046
0.00020528     	799       	127840      	2045440     	82.630203   	1.522097    	43.38     	2329.242223
0.00019540     	809       	129440      	2071040     	82.109354   	1.466854    	44.71     	2333.094923
0.00018594     	819       	131040      	2096640     	81.792315   	1.497065    	44.89     	2329.822024
0.00017693     	829       	132640      	2122240     	81.079297   	1.512544    	42.75     	2327.119061
0.00016838     	839       	134240      	2147840     	81.169439   	1.483817    	45.16     	2328.856572
0.00016029     	849       	135840      	2173440     	80.831275   	1.498720    	43.97     	2332.851677
0.00015267     	859       	137440      	2199040     	79.950803   	1.507940    	43.63     	2327.607772
0.00014554     	869       	139040      	2224640     	79.353691   	1.502956    	44.12     	2325.548828
0.00013890     	879       	140640      	2250240     	80.335531   	1.498826    	43.80     	2327.137277
0.00013277     	889       	142240      	2275840     	79.704440   	1.483565    	44.33     	2324.671064
0.00012714     	899       	143840      	2301440     	79.135023   	1.492711    	45.54     	2320.360161
0.00012202     	909       	145440      	2327040     	78.679831   	1.506608    	44.39     	2330.475924
0.00011743     	919       	147040      	2352640     	78.777695   	1.493868    	44.74     	2330.969803
0.00011337     	929       	148640      	2378240     	78.680892   	1.519678    	44.33     	2335.032097
0.00010983     	939       	150240      	2403840     	78.957631   	1.505360    	44.28     	2330.712243
0.00010684     	949       	151840      	2429440     	77.572794   	1.476325    	45.16     	2328.815129
0.00010438     	959       	153440      	2455040     	78.147750   	1.507035    	45.01     	2324.761519
0.00010247     	969       	155040      	2480640     	77.887808   	1.485361    	45.27     	2326.003320
0.00010110     	979       	156640      	2506240     	78.748134   	1.488477    	45.19     	1997.336800
0.00010027     	989       	158240      	2531840     	77.778304   	1.517019    	44.18     	1797.588265
0.00010000     	999       	159840      	2557440     	77.667872   	1.525850    	43.12     	1800.176238
