Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	252.226741  	1.717945    	18.62     	2244.239835
0.00020000     	19        	3040        	48640       	245.059164  	1.720311    	20.72     	2582.835431
0.00030000     	29        	4640        	74240       	241.940642  	1.789091    	18.18     	2582.784213
0.00040000     	39        	6240        	99840       	239.817367  	1.754869    	19.53     	2574.173125
0.00050000     	49        	7840        	125440      	239.376302  	1.762204    	18.38     	2574.889826
0.00060000     	59        	9440        	151040      	239.450513  	1.781086    	18.49     	2570.260654
0.00070000     	69        	11040       	176640      	238.568273  	1.774675    	19.42     	2581.284038
0.00080000     	79        	12640       	202240      	236.793127  	1.792455    	18.67     	2584.765825
0.00090000     	89        	14240       	227840      	231.838442  	1.833918    	19.23     	2517.648467
0.00100000     	99        	15840       	253440      	229.428755  	1.935613    	19.09     	2537.988301
0.00099973     	109       	17440       	279040      	227.982928  	1.936866    	18.34     	2572.424518
0.00099890     	119       	19040       	304640      	226.362227  	1.818067    	20.29     	2534.550774
0.00099753     	129       	20640       	330240      	226.633559  	1.854658    	18.62     	2533.588255
0.00099562     	139       	22240       	355840      	227.428119  	1.830575    	19.32     	2542.555136
0.00099316     	149       	23840       	381440      	227.373501  	1.871503    	19.12     	2876.316938
0.00099017     	159       	25440       	407040      	224.794359  	1.839227    	20.59     	2371.822585
0.00098663     	169       	27040       	432640      	227.474517  	1.844190    	19.72     	2568.090818
0.00098257     	179       	28640       	458240      	228.481432  	1.923916    	19.06     	2606.697873
0.00097798     	189       	30240       	483840      	231.502720  	1.775901    	19.13     	2606.378306
0.00097286     	199       	31840       	509440      	230.043721  	1.925686    	18.01     	2610.719674
0.00096723     	209       	33440       	535040      	230.790787  	1.880821    	19.34     	2617.741516
0.00096110     	219       	35040       	560640      	230.380964  	1.862632    	19.91     	2612.233333
0.00095446     	229       	36640       	586240      	229.064283  	1.904902    	18.87     	2601.708453
0.00094733     	239       	38240       	611840      	227.637790  	1.909419    	19.22     	2601.660209
0.00093971     	249       	39840       	637440      	225.040357  	1.925438    	19.04     	2606.256111
0.00093162     	259       	41440       	663040      	223.362690  	1.963443    	17.57     	2610.139329
0.00092307     	269       	43040       	688640      	226.671974  	1.909303    	19.55     	2616.035320
0.00091406     	279       	44640       	714240      	228.372881  	1.912347    	19.13     	2612.021846
0.00090460     	289       	46240       	739840      	225.649100  	1.957101    	19.74     	2605.223126
0.00089472     	299       	47840       	765440      	226.503483  	1.915097    	18.55     	2600.782881
0.00088442     	309       	49440       	791040      	225.888480  	1.888783    	17.98     	2572.201913
0.00087370     	319       	51040       	816640      	227.076001  	1.979469    	19.87     	2518.215366
0.00086260     	329       	52640       	842240      	224.632354  	1.941107    	18.93     	2560.808878
0.00085111     	339       	54240       	867840      	224.735439  	1.892391    	20.30     	2607.988171
0.00083925     	349       	55840       	893440      	224.444378  	1.895844    	19.44     	2612.376827
0.00082705     	359       	57440       	919040      	222.286198  	1.916129    	19.41     	2603.070797
0.00081450     	369       	59040       	944640      	223.932244  	1.875539    	18.40     	2693.866948
0.00080164     	379       	60640       	970240      	225.859477  	1.897569    	19.38     	2446.695306
0.00078846     	389       	62240       	995840      	225.208516  	1.954956    	19.61     	2572.751589
0.00077500     	399       	63840       	1021440     	223.360027  	1.939996    	18.76     	2562.829674
0.00076126     	409       	65440       	1047040     	225.025986  	1.917080    	19.24     	2560.835436
0.00074727     	419       	67040       	1072640     	223.958097  	1.908437    	18.97     	2595.172913
0.00073303     	429       	68640       	1098240     	221.438553  	1.936806    	18.95     	2790.414600
0.00071857     	439       	70240       	1123840     	222.160833  	1.947410    	18.26     	2589.996640
0.00070391     	449       	71840       	1149440     	220.640794  	1.984061    	18.87     	2579.814645
0.00068906     	459       	73440       	1175040     	221.463343  	1.908186    	18.90     	2578.427612
0.00067404     	469       	75040       	1200640     	221.252009  	1.995575    	19.45     	2561.159892
0.00065886     	479       	76640       	1226240     	222.101821  	1.871933    	18.82     	2563.513382
0.00064356     	489       	78240       	1251840     	221.174383  	2.038603    	18.88     	2554.013523
0.00062814     	499       	79840       	1277440     	219.007870  	2.034751    	18.15     	2578.754202
0.00061263     	509       	81440       	1303040     	218.555816  	2.020686    	18.95     	2586.279333
0.00059704     	519       	83040       	1328640     	218.650252  	1.950939    	19.27     	2620.147864
0.00058139     	529       	84640       	1354240     	219.006073  	2.022878    	19.39     	2624.755123
0.00056570     	539       	86240       	1379840     	217.921343  	1.936485    	19.78     	2619.377105
0.00055000     	549       	87840       	1405440     	216.854785  	1.970532    	18.93     	2622.523654
0.00053430     	559       	89440       	1431040     	216.274274  	2.034418    	18.92     	2624.501176
0.00051861     	569       	91040       	1456640     	217.887618  	2.034903    	19.45     	2629.925055
0.00050296     	579       	92640       	1482240     	218.253949  	1.955912    	19.02     	2631.507980
0.00048737     	589       	94240       	1507840     	216.885577  	1.943382    	18.48     	2619.753697
0.00047186     	599       	95840       	1533440     	218.031229  	2.006436    	19.41     	2613.942040
0.00045644     	609       	97440       	1559040     	217.371926  	1.970138    	20.30     	2623.500657
0.00044114     	619       	99040       	1584640     	215.778183  	1.981483    	19.66     	2620.268940
0.00042596     	629       	100640      	1610240     	215.144264  	2.019499    	18.67     	2624.569324
0.00041094     	639       	102240      	1635840     	215.381852  	2.052041    	19.34     	2623.031034
0.00039609     	649       	103840      	1661440     	217.050608  	1.997694    	19.16     	2622.481989
0.00038143     	659       	105440      	1687040     	214.523202  	1.975416    	19.52     	2622.051369
0.00036697     	669       	107040      	1712640     	212.687889  	2.059240    	18.41     	2605.488644
0.00035273     	679       	108640      	1738240     	212.820107  	2.068307    	18.38     	2624.430778
0.00033874     	689       	110240      	1763840     	212.333325  	2.065864    	18.48     	2620.477900
0.00032500     	699       	111840      	1789440     	211.996820  	2.045743    	19.56     	2622.975719
0.00031154     	709       	113440      	1815040     	212.504965  	2.019020    	19.05     	2628.921086
0.00029836     	719       	115040      	1840640     	211.441105  	2.107014    	19.39     	2628.283027
0.00028550     	729       	116640      	1866240     	210.776428  	2.077218    	19.09     	2609.536553
0.00027295     	739       	118240      	1891840     	210.727719  	2.072906    	20.48     	2625.873242
0.00026075     	749       	119840      	1917440     	209.336343  	2.086470    	19.11     	2622.020003
0.00024889     	759       	121440      	1943040     	209.010613  	2.083437    	19.78     	2619.132473
0.00023740     	769       	123040      	1968640     	208.636625  	2.054956    	19.42     	2620.277665
0.00022630     	779       	124640      	1994240     	207.837204  	2.045523    	19.31     	2624.324761
0.00021558     	789       	126240      	2019840     	208.391785  	2.059408    	19.57     	2609.642037
0.00020528     	799       	127840      	2045440     	206.780781  	2.064148    	18.69     	2609.966865
0.00019540     	809       	129440      	2071040     	206.839285  	2.051480    	20.13     	2612.718216
0.00018594     	819       	131040      	2096640     	206.457086  	2.110764    	19.18     	2604.186927
0.00017693     	829       	132640      	2122240     	205.956831  	2.103128    	19.12     	2622.000996
0.00016838     	839       	134240      	2147840     	206.893547  	2.115631    	18.88     	2625.032000
0.00016029     	849       	135840      	2173440     	205.666279  	2.074542    	19.80     	2611.289817
0.00015267     	859       	137440      	2199040     	205.368711  	2.089746    	19.98     	2620.719772
0.00014554     	869       	139040      	2224640     	204.279283  	2.062095    	19.62     	2582.779312
0.00013890     	879       	140640      	2250240     	204.431815  	2.068310    	20.13     	2024.303931
0.00013277     	889       	142240      	2275840     	203.723437  	2.137421    	19.49     	2026.762464
0.00012714     	899       	143840      	2301440     	203.528525  	2.090049    	19.15     	1762.567968
0.00012202     	909       	145440      	2327040     	203.129832  	2.118649    	18.53     	1525.537462
0.00011743     	919       	147040      	2352640     	203.253686  	2.105088    	19.39     	1522.536291
0.00011337     	929       	148640      	2378240     	202.288594  	2.128609    	19.32     	1678.992411
0.00010983     	939       	150240      	2403840     	202.127277  	2.132999    	19.95     	1608.411940
0.00010684     	949       	151840      	2429440     	202.209745  	2.109362    	19.30     	1501.583758
0.00010438     	959       	153440      	2455040     	202.174769  	2.127797    	19.46     	1426.807316
0.00010247     	969       	155040      	2480640     	201.328243  	2.098135    	20.11     	1079.990846
0.00010110     	979       	156640      	2506240     	201.610533  	2.095173    	19.52     	1063.528158
0.00010027     	989       	158240      	2531840     	200.817583  	2.117160    	18.84     	852.228692
0.00010000     	999       	159840      	2557440     	201.481436  	2.077334    	18.87     	738.550314
