Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	126.375175  	1.690954    	19.50     	917.311057
0.00020000     	19        	1520        	48640       	122.241595  	1.700697    	19.42     	1226.675056
0.00030000     	29        	2320        	74240       	120.180034  	1.823614    	18.42     	1222.719947
0.00040000     	39        	3120        	99840       	117.780368  	1.782274    	19.23     	1233.615013
0.00050000     	49        	3920        	125440      	114.018275  	1.703584    	25.30     	1239.948482
0.00060000     	59        	4720        	151040      	105.901285  	1.599071    	31.13     	1236.562847
0.00070000     	69        	5520        	176640      	98.693297   	1.543211    	33.59     	1233.723130
0.00080000     	79        	6320        	202240      	92.559340   	1.494266    	37.14     	1238.328680
0.00090000     	89        	7120        	227840      	86.764828   	1.447859    	40.21     	1242.048557
0.00100000     	99        	7920        	253440      	82.112865   	1.497311    	40.01     	1243.457867
0.00099973     	109       	8720        	279040      	77.554395   	1.442928    	40.59     	1233.990422
0.00099890     	119       	9520        	304640      	73.437885   	1.414707    	41.72     	1233.630034
0.00099753     	129       	10320       	330240      	70.271912   	1.459011    	40.86     	1237.940487
0.00099562     	139       	11120       	355840      	67.092301   	1.452494    	41.57     	1242.192920
0.00099316     	149       	11920       	381440      	65.474351   	1.515934    	40.94     	1230.826120
0.00099017     	159       	12720       	407040      	62.874058   	1.511580    	39.66     	1222.499573
0.00098663     	169       	13520       	432640      	61.137302   	1.514234    	40.16     	1153.721894
0.00098257     	179       	14320       	458240      	59.044888   	1.519754    	41.64     	1229.589405
0.00097798     	189       	15120       	483840      	57.574745   	1.448073    	41.52     	1233.163400
0.00097286     	199       	15920       	509440      	56.414565   	1.488224    	43.08     	1229.411871
0.00096723     	209       	16720       	535040      	54.385897   	1.558813    	41.81     	1242.862996
0.00096110     	219       	17520       	560640      	53.433646   	1.453728    	43.79     	1236.022445
0.00095446     	229       	18320       	586240      	52.740536   	1.491820    	42.66     	1223.082504
0.00094733     	239       	19120       	611840      	51.277256   	1.514042    	42.38     	1215.515033
0.00093971     	249       	19920       	637440      	50.064781   	1.487985    	42.37     	1215.469294
0.00093162     	259       	20720       	663040      	49.614658   	1.524744    	42.06     	1228.232864
0.00092307     	269       	21520       	688640      	49.331054   	1.553222    	41.97     	1230.615725
0.00091406     	279       	22320       	714240      	48.274118   	1.497524    	42.12     	1222.538670
0.00090460     	289       	23120       	739840      	46.968159   	1.510933    	42.89     	1225.988066
0.00089472     	299       	23920       	765440      	47.304948   	1.507283    	43.45     	1384.364817
0.00088442     	309       	24720       	791040      	45.817973   	1.486326    	43.31     	1578.445843
0.00087370     	319       	25520       	816640      	45.623416   	1.524659    	42.81     	1330.912278
0.00086260     	329       	26320       	842240      	45.109623   	1.454883    	44.15     	1241.384319
0.00085111     	339       	27120       	867840      	44.143792   	1.522221    	41.88     	1239.181328
0.00083925     	349       	27920       	893440      	44.572817   	1.518443    	43.20     	1233.995664
0.00082705     	359       	28720       	919040      	43.484748   	1.524297    	43.93     	1234.503387
0.00081450     	369       	29520       	944640      	43.239569   	1.528000    	41.62     	1234.082579
0.00080164     	379       	30320       	970240      	42.864008   	1.580709    	41.27     	1236.197017
0.00078846     	389       	31120       	995840      	42.085441   	1.533314    	42.09     	1239.051604
0.00077500     	399       	31920       	1021440     	41.808083   	1.547002    	41.84     	1248.192145
0.00076126     	409       	32720       	1047040     	41.296206   	1.496016    	43.02     	1247.520107
0.00074727     	419       	33520       	1072640     	41.210960   	1.507808    	42.91     	1236.073897
0.00073303     	429       	34320       	1098240     	40.727129   	1.500802    	43.77     	1237.240355
0.00071857     	439       	35120       	1123840     	40.021283   	1.563665    	41.72     	1235.575707
0.00070391     	449       	35920       	1149440     	40.024683   	1.565358    	41.81     	1235.567516
0.00068906     	459       	36720       	1175040     	39.396638   	1.521639    	44.46     	1237.325876
0.00067404     	469       	37520       	1200640     	38.911712   	1.519726    	43.09     	1234.899343
0.00065886     	479       	38320       	1226240     	38.300326   	1.589222    	41.42     	1236.204540
0.00064356     	489       	39120       	1251840     	38.444351   	1.507339    	44.81     	1237.966575
0.00062814     	499       	39920       	1277440     	37.964387   	1.503225    	43.54     	1242.677926
0.00061263     	509       	40720       	1303040     	37.506445   	1.539777    	42.88     	1253.978035
0.00059704     	519       	41520       	1328640     	38.240319   	1.530321    	43.06     	1243.411033
0.00058139     	529       	42320       	1354240     	36.853916   	1.524593    	43.17     	1237.017666
0.00056570     	539       	43120       	1379840     	36.169719   	1.552208    	43.05     	1240.179242
0.00055000     	549       	43920       	1405440     	36.003409   	1.523697    	44.02     	1236.771427
0.00053430     	559       	44720       	1431040     	35.707409   	1.559914    	42.26     	1239.350774
0.00051861     	569       	45520       	1456640     	35.329124   	1.552705    	42.05     	1234.565359
0.00050296     	579       	46320       	1482240     	34.881704   	1.573489    	43.11     	1236.668525
0.00048737     	589       	47120       	1507840     	34.789954   	1.522173    	42.67     	1237.752098
0.00047186     	599       	47920       	1533440     	34.160876   	1.576865    	43.34     	1238.974604
0.00045644     	609       	48720       	1559040     	33.882378   	1.521721    	43.34     	1242.180477
0.00044114     	619       	49520       	1584640     	33.743508   	1.554743    	43.16     	1249.273197
0.00042596     	629       	50320       	1610240     	33.239704   	1.547714    	43.84     	1297.507562
0.00041094     	639       	51120       	1635840     	32.541994   	1.536479    	43.75     	1175.915678
0.00039609     	649       	51920       	1661440     	32.692684   	1.519327    	42.93     	1204.635109
0.00038143     	659       	52720       	1687040     	32.168355   	1.553888    	44.05     	1212.940330
0.00036697     	669       	53520       	1712640     	31.902880   	1.539179    	43.92     	1227.754492
0.00035273     	679       	54320       	1738240     	31.688294   	1.551075    	43.84     	1227.262264
0.00033874     	689       	55120       	1763840     	31.305153   	1.550461    	43.59     	1235.650710
0.00032500     	699       	55920       	1789440     	31.584909   	1.498020    	44.48     	1234.766256
0.00031154     	709       	56720       	1815040     	31.316005   	1.531844    	43.23     	1240.595207
0.00029836     	719       	57520       	1840640     	30.674937   	1.514360    	44.57     	1247.536144
0.00028550     	729       	58320       	1866240     	30.281430   	1.541637    	43.81     	1251.312776
0.00027295     	739       	59120       	1891840     	30.376869   	1.556452    	44.01     	1240.070359
0.00026075     	749       	59920       	1917440     	30.060014   	1.571767    	44.05     	1231.459121
0.00024889     	759       	60720       	1943040     	29.836316   	1.564247    	43.12     	1174.333206
0.00023740     	769       	61520       	1968640     	29.949237   	1.553619    	44.06     	1128.425567
0.00022630     	779       	62320       	1994240     	29.398257   	1.555051    	44.29     	1382.759044
0.00021558     	789       	63120       	2019840     	29.314184   	1.573796    	43.73     	1203.573417
0.00020528     	799       	63920       	2045440     	29.116974   	1.557382    	43.80     	1243.339429
0.00019540     	809       	64720       	2071040     	29.033638   	1.577173    	43.75     	1222.826854
0.00018594     	819       	65520       	2096640     	28.479684   	1.569258    	43.54     	1198.940363
0.00017693     	829       	66320       	2122240     	28.587191   	1.566751    	43.27     	1228.899663
0.00016838     	839       	67120       	2147840     	28.464638   	1.573083    	44.52     	1235.299430
0.00016029     	849       	67920       	2173440     	28.357351   	1.566628    	44.30     	1224.926335
0.00015267     	859       	68720       	2199040     	27.725567   	1.588139    	43.94     	1188.456181
0.00014554     	869       	69520       	2224640     	27.720662   	1.586896    	43.20     	1282.014684
0.00013890     	879       	70320       	2250240     	28.341393   	1.573739    	43.70     	1223.478213
0.00013277     	889       	71120       	2275840     	27.761248   	1.571045    	44.13     	1389.048897
0.00012714     	899       	71920       	2301440     	27.587702   	1.559413    	44.54     	1237.459173
0.00012202     	909       	72720       	2327040     	27.188983   	1.586760    	42.56     	1266.016326
0.00011743     	919       	73520       	2352640     	27.248843   	1.582876    	43.52     	1232.983624
0.00011337     	929       	74320       	2378240     	26.990420   	1.587712    	44.97     	1225.701641
0.00010983     	939       	75120       	2403840     	27.190224   	1.577425    	44.12     	1225.663887
0.00010684     	949       	75920       	2429440     	27.096671   	1.593277    	43.33     	1227.579377
0.00010438     	959       	76720       	2455040     	27.038013   	1.591894    	44.06     	1220.366406
0.00010247     	969       	77520       	2480640     	26.819209   	1.579585    	43.98     	1220.836076
0.00010110     	979       	78320       	2506240     	27.024157   	1.578296    	44.45     	1223.774485
0.00010027     	989       	79120       	2531840     	26.991839   	1.592869    	43.58     	1230.393237
0.00010000     	999       	79920       	2557440     	27.060737   	1.592142    	42.88     	1229.266702
