Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	127.112535  	1.680531    	20.51     	654.937205
0.00020000     	19        	1520        	48640       	124.802235  	1.719820    	18.96     	990.002973
0.00030000     	29        	2320        	74240       	123.426629  	1.719022    	20.02     	1005.526633
0.00040000     	39        	3120        	99840       	121.786348  	1.772366    	19.28     	1004.149182
0.00050000     	49        	3920        	125440      	120.385614  	1.807708    	19.23     	997.185072
0.00060000     	59        	4720        	151040      	118.628480  	1.832740    	19.26     	1013.012343
0.00070000     	69        	5520        	176640      	115.549524  	1.790375    	20.59     	1007.620389
0.00080000     	79        	6320        	202240      	114.140269  	1.824212    	21.52     	1001.290535
0.00090000     	89        	7120        	227840      	113.708804  	1.827750    	20.12     	986.515888
0.00100000     	99        	7920        	253440      	111.878624  	1.825582    	21.17     	994.028881
0.00099973     	109       	8720        	279040      	111.270473  	1.813576    	19.72     	997.261044
0.00099890     	119       	9520        	304640      	111.658359  	1.925371    	20.55     	982.477661
0.00099753     	129       	10320       	330240      	112.047029  	1.831359    	20.47     	1000.858296
0.00099562     	139       	11120       	355840      	112.610137  	1.940043    	19.18     	1011.620134
0.00099316     	149       	11920       	381440      	112.354654  	1.895852    	20.31     	1013.763958
0.00099017     	159       	12720       	407040      	112.288739  	1.929262    	18.98     	999.334905
0.00098663     	169       	13520       	432640      	112.420044  	1.910693    	20.05     	986.660860
0.00098257     	179       	14320       	458240      	112.022281  	2.023732    	19.93     	994.770580
0.00097798     	189       	15120       	483840      	112.266028  	1.971823    	18.73     	978.029128
0.00097286     	199       	15920       	509440      	112.142548  	1.880089    	18.64     	988.916943
0.00096723     	209       	16720       	535040      	112.283119  	1.875354    	18.03     	1003.910586
0.00096110     	219       	17520       	560640      	111.904957  	1.995648    	19.59     	1003.037661
0.00095446     	229       	18320       	586240      	112.274320  	1.916879    	18.12     	1014.582669
0.00094733     	239       	19120       	611840      	112.525983  	1.875070    	17.12     	1005.143503
0.00093971     	249       	19920       	637440      	112.479762  	1.898321    	19.39     	1007.962640
0.00093162     	259       	20720       	663040      	111.912176  	1.969417    	18.60     	1004.427722
0.00092307     	269       	21520       	688640      	112.405305  	1.879238    	19.01     	1004.585065
0.00091406     	279       	22320       	714240      	112.331837  	1.912625    	17.11     	994.915271
0.00090460     	289       	23120       	739840      	111.800740  	1.872088    	19.68     	1007.577940
0.00089472     	299       	23920       	765440      	111.028225  	1.919369    	18.64     	1016.010686
0.00088442     	309       	24720       	791040      	110.752789  	1.972585    	19.33     	1014.919107
0.00087370     	319       	25520       	816640      	110.784437  	1.945141    	18.48     	988.186790
0.00086260     	329       	26320       	842240      	112.347894  	1.946460    	19.47     	993.785880
0.00085111     	339       	27120       	867840      	111.358148  	1.930425    	17.83     	1006.877656
0.00083925     	349       	27920       	893440      	111.063659  	1.952966    	17.88     	1004.483668
