Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	252.666820  	1.694212    	19.19     	1492.654598
0.00020000     	19        	3040        	48640       	245.010820  	1.751395    	17.94     	1559.455320
0.00030000     	29        	4640        	74240       	241.805005  	1.702590    	21.17     	1512.764265
0.00040000     	39        	6240        	99840       	238.708006  	1.798165    	18.52     	1515.813311
0.00050000     	49        	7840        	125440      	236.617852  	1.776363    	21.73     	1512.562347
0.00060000     	59        	9440        	151040      	232.182306  	1.788345    	20.73     	1505.704350
0.00070000     	69        	11040       	176640      	229.332389  	1.875552    	19.79     	1521.084169
0.00080000     	79        	12640       	202240      	226.388648  	1.885885    	19.47     	1510.813599
0.00090000     	89        	14240       	227840      	223.458485  	1.959628    	18.70     	1505.327733
0.00100000     	99        	15840       	253440      	220.961184  	1.944426    	19.16     	1517.305801
0.00099973     	109       	17440       	279040      	218.193848  	1.976564    	20.04     	1497.457794
0.00099890     	119       	19040       	304640      	214.350718  	1.955513    	20.54     	1515.952632
0.00099753     	129       	20640       	330240      	211.555399  	2.004198    	19.59     	1508.605242
0.00099562     	139       	22240       	355840      	208.472898  	2.027883    	20.35     	1511.654932
0.00099316     	149       	23840       	381440      	205.743054  	2.027332    	20.15     	1498.716451
0.00099017     	159       	25440       	407040      	202.909177  	2.100377    	19.52     	2507.975480
0.00098663     	169       	27040       	432640      	201.337548  	2.106632    	20.39     	1366.037822
0.00098257     	179       	28640       	458240      	198.401929  	2.109223    	20.18     	1512.212813
0.00097798     	189       	30240       	483840      	198.083982  	2.091413    	20.57     	1505.859275
0.00097286     	199       	31840       	509440      	196.110075  	2.216523    	19.55     	1516.715367
0.00096723     	209       	33440       	535040      	193.207069  	2.169577    	19.95     	1498.406702
0.00096110     	219       	35040       	560640      	191.282367  	2.157278    	21.41     	1519.810593
0.00095446     	229       	36640       	586240      	189.914445  	2.198014    	21.51     	1494.537746
0.00094733     	239       	38240       	611840      	188.457091  	2.266094    	20.52     	1516.237683
0.00093971     	249       	39840       	637440      	187.258470  	2.151967    	20.91     	1489.351540
0.00093162     	259       	41440       	663040      	186.621425  	2.182549    	20.34     	1515.114830
0.00092307     	269       	43040       	688640      	184.331950  	2.161052    	21.86     	1621.931804
0.00091406     	279       	44640       	714240      	183.257936  	2.192431    	22.07     	1528.251432
0.00090460     	289       	46240       	739840      	181.505455  	2.198370    	21.45     	1509.642121
