Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	254.355195  	1.733055    	18.84     	1149.647138
0.00020000     	19        	3040        	48640       	250.310788  	1.713969    	19.21     	1156.906107
0.00030000     	29        	4640        	74240       	246.539623  	1.794505    	18.86     	1150.971365
0.00040000     	39        	6240        	99840       	243.175981  	1.839756    	19.95     	1192.300724
0.00050000     	49        	7840        	125440      	240.081275  	1.829335    	19.95     	1173.923341
0.00060000     	59        	9440        	151040      	238.358690  	1.792754    	20.55     	1166.313555
0.00070000     	69        	11040       	176640      	236.183512  	1.913693    	18.42     	1157.775019
0.00080000     	79        	12640       	202240      	234.018293  	1.838812    	19.34     	1161.510956
0.00090000     	89        	14240       	227840      	231.790359  	1.888714    	19.34     	1152.616698
0.00100000     	99        	15840       	253440      	230.049729  	1.895223    	19.27     	1160.787744
0.00099973     	109       	17440       	279040      	227.715487  	1.987684    	19.02     	1158.432553
0.00099890     	119       	19040       	304640      	224.940052  	1.987204    	18.27     	1191.197216
0.00099753     	129       	20640       	330240      	222.061986  	1.972582    	19.20     	1152.857181
0.00099562     	139       	22240       	355840      	219.731574  	2.055363    	17.89     	1157.832019
0.00099316     	149       	23840       	381440      	218.519226  	1.979215    	17.73     	1153.647175
0.00099017     	159       	25440       	407040      	215.888230  	2.052830    	19.09     	1175.774842
0.00098663     	169       	27040       	432640      	214.216711  	2.102100    	18.66     	1155.847979
0.00098257     	179       	28640       	458240      	212.669477  	2.035359    	19.73     	1052.306054
0.00097798     	189       	30240       	483840      	211.535898  	2.151058    	19.30     	764.360687
0.00097286     	199       	31840       	509440      	209.603250  	2.193852    	19.29     	758.006298
0.00096723     	209       	33440       	535040      	207.959864  	2.070130    	20.34     	957.542886
0.00096110     	219       	35040       	560640      	207.980518  	2.148561    	20.59     	780.435950
0.00095446     	229       	36640       	586240      	207.423346  	2.114375    	20.12     	773.914029
0.00094733     	239       	38240       	611840      	206.350524  	2.104549    	19.87     	764.258424
0.00093971     	249       	39840       	637440      	204.795732  	2.026962    	19.79     	760.111591
0.00093162     	259       	41440       	663040      	204.304962  	2.177255    	19.43     	761.759356
