Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	256.592007  	1.658166    	21.27     	3447.933273
0.00020000     	19        	3040        	48640       	252.576713  	1.713251    	17.84     	3478.100225
0.00030000     	29        	4640        	74240       	248.787188  	1.768569    	17.43     	3321.151094
0.00040000     	39        	6240        	99840       	244.630802  	1.803730    	16.77     	3291.288876
0.00050000     	49        	7840        	125440      	243.056825  	1.794274    	18.54     	2764.554543
0.00060000     	59        	9440        	151040      	239.848171  	1.824241    	18.54     	3076.872299
0.00070000     	69        	11040       	176640      	237.381104  	1.814258    	19.55     	2800.987021
0.00080000     	79        	12640       	202240      	232.659946  	1.781113    	20.42     	2409.056199
0.00090000     	89        	14240       	227840      	226.138712  	1.805457    	21.98     	2555.732116
0.00100000     	99        	15840       	253440      	217.728331  	1.732288    	27.84     	2472.257000
0.00099973     	109       	17440       	279040      	209.847721  	1.633320    	29.61     	2441.123821
0.00099890     	119       	19040       	304640      	201.077138  	1.565709    	32.37     	2580.286360
0.00099753     	129       	20640       	330240      	192.332348  	1.577419    	33.91     	2483.927214
0.00099562     	139       	22240       	355840      	179.759808  	1.561160    	36.94     	2646.249232
0.00099316     	149       	23840       	381440      	168.942327  	1.506491    	37.12     	2524.998572
0.00099017     	159       	25440       	407040      	160.764587  	1.493191    	39.12     	2284.050728
0.00098663     	169       	27040       	432640      	151.428479  	1.535778    	37.30     	2472.451953
0.00098257     	179       	28640       	458240      	141.130829  	1.483818    	39.91     	2265.425396
0.00097798     	189       	30240       	483840      	131.871797  	1.534228    	38.34     	2682.513448
0.00097286     	199       	31840       	509440      	123.599345  	1.505697    	39.94     	2686.435465
0.00096723     	209       	33440       	535040      	115.629354  	1.478418    	41.38     	2308.755258
0.00096110     	219       	35040       	560640      	107.991524  	1.462492    	42.28     	2549.921191
0.00095446     	229       	36640       	586240      	101.041902  	1.484434    	41.11     	2452.766149
0.00094733     	239       	38240       	611840      	92.596490   	1.463810    	43.97     	2329.822000
0.00093971     	249       	39840       	637440      	87.262387   	1.392502    	45.94     	2317.463560
