Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	127.136629  	1.705805    	19.12     	1597.199418
0.00020000     	19        	1520        	48640       	125.308484  	1.694874    	18.79     	1549.000458
0.00030000     	29        	2320        	74240       	123.370624  	1.815290    	18.21     	1507.331004
0.00040000     	39        	3120        	99840       	121.854290  	1.818907    	19.89     	1560.056333
0.00050000     	49        	3920        	125440      	120.347913  	1.764830    	19.15     	1542.833337
0.00060000     	59        	4720        	151040      	119.338404  	1.807343    	18.73     	2085.850813
0.00070000     	69        	5520        	176640      	119.049383  	1.854031    	18.84     	2041.054736
0.00080000     	79        	6320        	202240      	117.661926  	1.894371    	17.98     	1525.692112
0.00090000     	89        	7120        	227840      	116.935040  	1.861247    	19.34     	2655.350436
0.00100000     	99        	7920        	253440      	115.601507  	1.846001    	19.30     	1806.512740
0.00099973     	109       	8720        	279040      	115.099919  	1.885415    	18.31     	1275.030007
0.00099890     	119       	9520        	304640      	113.925956  	1.933449    	20.09     	2638.570519
0.00099753     	129       	10320       	330240      	113.041453  	1.927749    	18.12     	1222.345219
0.00099562     	139       	11120       	355840      	112.110486  	1.930625    	19.07     	1659.602184
0.00099316     	149       	11920       	381440      	111.866245  	1.889018    	18.05     	1613.957314
0.00099017     	159       	12720       	407040      	110.768515  	1.959776    	17.89     	1532.840171
0.00098663     	169       	13520       	432640      	110.403564  	2.009407    	18.92     	2967.757516
0.00098257     	179       	14320       	458240      	109.766832  	1.994933    	19.54     	1394.177673
0.00097798     	189       	15120       	483840      	109.032082  	2.036732    	19.22     	1570.773778
0.00097286     	199       	15920       	509440      	107.469081  	2.040590    	19.36     	1482.897939
0.00096723     	209       	16720       	535040      	106.971135  	1.981357    	21.41     	2421.308623
0.00096110     	219       	17520       	560640      	106.193466  	2.069821    	19.44     	2620.789015
0.00095446     	229       	18320       	586240      	104.967119  	2.107717    	20.07     	1220.214321
0.00094733     	239       	19120       	611840      	103.205525  	2.064649    	19.91     	1928.742053
0.00093971     	249       	19920       	637440      	101.969841  	1.913834    	22.97     	1616.033955
0.00093162     	259       	20720       	663040      	100.224376  	1.987519    	23.34     	1522.528352
0.00092307     	269       	21520       	688640      	98.053345   	1.967905    	24.16     	1740.517725
0.00091406     	279       	22320       	714240      	96.635180   	2.040733    	22.53     	1539.016112
0.00090460     	289       	23120       	739840      	95.334387   	1.955310    	24.12     	1570.669607
0.00089472     	299       	23920       	765440      	94.400444   	2.016589    	23.02     	1409.926682
0.00088442     	309       	24720       	791040      	92.745785   	1.956285    	24.27     	1613.221915
0.00087370     	319       	25520       	816640      	92.318371   	2.046213    	23.51     	1561.289731
0.00086260     	329       	26320       	842240      	90.451950   	1.960864    	24.47     	1529.117036
0.00085111     	339       	27120       	867840      	89.790382   	1.958870    	24.20     	1441.703892
0.00083925     	349       	27920       	893440      	88.194187   	1.939815    	26.69     	1609.278953
0.00082705     	359       	28720       	919040      	87.128201   	1.963416    	26.62     	1592.777460
0.00081450     	369       	29520       	944640      	86.785537   	1.959254    	26.63     	1578.213210
0.00080164     	379       	30320       	970240      	85.356214   	1.929228    	26.57     	1598.693686
0.00078846     	389       	31120       	995840      	84.975934   	1.875292    	27.12     	1582.987049
0.00077500     	399       	31920       	1021440     	84.206737   	1.867000    	27.25     	1571.125962
0.00076126     	409       	32720       	1047040     	83.289854   	1.882488    	28.45     	1579.686552
0.00074727     	419       	33520       	1072640     	82.001941   	1.833112    	27.54     	1591.657446
0.00073303     	429       	34320       	1098240     	81.404804   	1.861423    	28.46     	1553.324436
0.00071857     	439       	35120       	1123840     	80.636246   	1.849376    	28.77     	1562.328442
0.00070391     	449       	35920       	1149440     	79.201565   	1.893554    	29.98     	2349.289071
0.00068906     	459       	36720       	1175040     	77.920584   	1.928085    	29.62     	998.237113
0.00067404     	469       	37520       	1200640     	77.728262   	1.826440    	30.86     	1762.947399
0.00065886     	479       	38320       	1226240     	76.795693   	1.803803    	30.19     	2694.462111
0.00064356     	489       	39120       	1251840     	76.561106   	1.810299    	29.96     	2044.401432
0.00062814     	499       	39920       	1277440     	75.237265   	1.830428    	30.55     	890.289545
0.00061263     	509       	40720       	1303040     	75.092157   	1.795301    	30.65     	1561.710779
0.00059704     	519       	41520       	1328640     	75.109612   	1.813482    	30.68     	1819.495548
0.00058139     	529       	42320       	1354240     	73.388084   	1.864037    	31.20     	1315.440248
0.00056570     	539       	43120       	1379840     	72.371417   	1.845635    	29.83     	1597.108085
0.00055000     	549       	43920       	1405440     	71.627907   	1.822902    	31.34     	1513.894167
0.00053430     	559       	44720       	1431040     	71.865894   	1.919940    	29.48     	1610.864379
0.00051861     	569       	45520       	1456640     	70.813120   	1.781120    	31.80     	1609.103592
0.00050296     	579       	46320       	1482240     	70.153548   	1.858382    	31.21     	1716.933324
0.00048737     	589       	47120       	1507840     	69.469526   	1.837789    	31.88     	1649.738033
0.00047186     	599       	47920       	1533440     	69.020411   	1.941341    	31.20     	1624.784047
0.00045644     	609       	48720       	1559040     	68.398337   	1.786381    	33.41     	1632.504905
0.00044114     	619       	49520       	1584640     	66.140606   	1.786943    	33.79     	1636.294481
0.00042596     	629       	50320       	1610240     	65.095437   	1.755980    	33.70     	1631.328031
0.00041094     	639       	51120       	1635840     	63.749015   	1.774581    	34.12     	1632.474487
0.00039609     	649       	51920       	1661440     	63.586687   	1.725886    	34.78     	1634.445232
0.00038143     	659       	52720       	1687040     	62.866636   	1.757721    	34.99     	2518.654363
0.00036697     	669       	53520       	1712640     	62.021122   	1.748943    	34.88     	1636.238220
0.00035273     	679       	54320       	1738240     	61.707341   	1.757978    	35.88     	1624.667538
0.00033874     	689       	55120       	1763840     	60.712576   	1.784514    	35.19     	1426.018454
0.00032500     	699       	55920       	1789440     	60.480886   	1.759957    	33.66     	1263.851973
0.00031154     	709       	56720       	1815040     	59.690272   	1.767856    	34.50     	1277.315794
0.00029836     	719       	57520       	1840640     	59.395729   	1.751883    	35.35     	1304.959674
0.00028550     	729       	58320       	1866240     	59.239767   	1.784429    	35.06     	1298.512999
0.00027295     	739       	59120       	1891840     	58.160309   	1.781367    	35.25     	1301.472466
0.00026075     	749       	59920       	1917440     	57.858143   	1.802561    	35.38     	1323.550187
0.00024889     	759       	60720       	1943040     	57.194399   	1.765489    	35.63     	1348.202411
0.00023740     	769       	61520       	1968640     	56.754231   	1.788048    	36.01     	1348.129376
0.00022630     	779       	62320       	1994240     	56.426098   	1.803723    	34.19     	1339.126887
0.00021558     	789       	63120       	2019840     	55.971494   	1.784141    	34.98     	1349.447711
0.00020528     	799       	63920       	2045440     	55.130307   	1.793562    	34.70     	1347.931223
0.00019540     	809       	64720       	2071040     	55.437889   	1.819026    	35.05     	1336.593688
0.00018594     	819       	65520       	2096640     	55.489441   	1.755621    	35.05     	1340.034076
0.00017693     	829       	66320       	2122240     	54.365464   	1.801706    	35.21     	1130.053810
0.00016838     	839       	67120       	2147840     	53.919544   	1.777451    	36.05     	858.944644
0.00016029     	849       	67920       	2173440     	53.445459   	1.778730    	35.24     	883.706448
0.00015267     	859       	68720       	2199040     	53.554528   	1.760495    	35.19     	862.632197
0.00014554     	869       	69520       	2224640     	53.813736   	1.801460    	34.85     	848.999389
0.00013890     	879       	70320       	2250240     	52.924860   	1.857745    	34.68     	854.583581
0.00013277     	889       	71120       	2275840     	52.738549   	1.791724    	36.11     	849.890606
0.00012714     	899       	71920       	2301440     	52.500355   	1.808207    	36.61     	845.965342
0.00012202     	909       	72720       	2327040     	52.598814   	1.831819    	34.72     	853.310533
0.00011743     	919       	73520       	2352640     	52.189016   	1.776501    	36.12     	874.659877
0.00011337     	929       	74320       	2378240     	51.640953   	1.806085    	35.88     	872.046526
0.00010983     	939       	75120       	2403840     	51.593971   	1.834370    	34.81     	848.704824
0.00010684     	949       	75920       	2429440     	51.493250   	1.810051    	35.76     	842.130090
0.00010438     	959       	76720       	2455040     	51.016059   	1.797247    	36.16     	843.140363
0.00010247     	969       	77520       	2480640     	51.425531   	1.805424    	35.93     	841.911360
0.00010110     	979       	78320       	2506240     	51.258913   	1.845924    	35.59     	853.129820
0.00010027     	989       	79120       	2531840     	51.000452   	1.800869    	36.02     	872.429389
0.00010000     	999       	79920       	2557440     	51.012664   	1.819472    	35.20     	875.300399
