Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	504.730830  	1.705857    	17.76     	1960.189261
0.00020000     	19        	6080        	48640       	489.687441  	1.736843    	19.14     	1924.085970
0.00030000     	29        	9280        	74240       	481.943228  	1.764948    	18.52     	1949.987490
0.00040000     	39        	12480       	99840       	470.382221  	1.772192    	20.45     	1949.872803
0.00050000     	49        	15680       	125440      	451.039530  	1.650734    	28.11     	1938.024845
0.00060000     	59        	18880       	151040      	420.421976  	1.577510    	32.09     	1938.218403
0.00070000     	69        	22080       	176640      	391.874741  	1.520664    	34.81     	1943.472826
0.00080000     	79        	25280       	202240      	367.121673  	1.495709    	37.46     	1936.924399
0.00090000     	89        	28480       	227840      	347.618266  	1.437638    	40.70     	1932.592849
0.00100000     	99        	31680       	253440      	332.622968  	1.496913    	39.08     	1925.885657
0.00099973     	109       	34880       	279040      	319.750957  	1.483130    	38.97     	1939.213198
0.00099890     	119       	38080       	304640      	318.855607  	1.535302    	37.45     	1923.910943
0.00099753     	129       	41280       	330240      	317.344794  	1.503272    	36.85     	1949.157039
0.00099562     	139       	44480       	355840      	307.408947  	1.509952    	39.48     	1954.750600
0.00099316     	149       	47680       	381440      	304.245954  	1.528049    	37.47     	1952.073120
0.00099017     	159       	50880       	407040      	304.695451  	1.531860    	37.73     	1942.712687
0.00098663     	169       	54080       	432640      	303.999123  	1.520464    	38.09     	1954.452620
0.00098257     	179       	57280       	458240      	303.709753  	1.546277    	38.53     	1953.022162
0.00097798     	189       	60480       	483840      	310.142380  	1.527819    	38.13     	1945.481377
0.00097286     	199       	63680       	509440      	307.985752  	1.519339    	37.66     	1941.666472
0.00096723     	209       	66880       	535040      	304.458947  	1.587091    	39.16     	1955.940264
0.00096110     	219       	70080       	560640      	303.755022  	1.518205    	39.66     	1942.103895
0.00095446     	229       	73280       	586240      	301.791467  	1.513493    	40.34     	1923.040675
0.00094733     	239       	76480       	611840      	301.720584  	1.518751    	38.77     	1937.688093
0.00093971     	249       	79680       	637440      	308.270641  	1.588257    	35.95     	1939.916587
0.00093162     	259       	82880       	663040      	310.100443  	1.554407    	37.35     	1927.868637
0.00092307     	269       	86080       	688640      	312.163980  	1.592606    	37.80     	1929.172901
0.00091406     	279       	89280       	714240      	310.154944  	1.528421    	38.52     	1941.352386
0.00090460     	289       	92480       	739840      	307.384998  	1.576327    	39.52     	1938.634001
0.00089472     	299       	95680       	765440      	308.645650  	1.584678    	37.26     	1936.920848
0.00088442     	309       	98880       	791040      	310.723539  	1.560265    	38.40     	1933.936732
0.00087370     	319       	102080      	816640      	302.956446  	1.521412    	39.30     	1952.101590
0.00086260     	329       	105280      	842240      	299.623656  	1.507595    	40.18     	1926.884231
0.00085111     	339       	108480      	867840      	298.626922  	1.497719    	39.52     	1930.190365
0.00083925     	349       	111680      	893440      	296.395869  	1.592383    	38.52     	1939.014851
0.00082705     	359       	114880      	919040      	297.814906  	1.473088    	40.95     	1935.605458
0.00081450     	369       	118080      	944640      	294.710217  	1.492849    	40.08     	1927.811013
0.00080164     	379       	121280      	970240      	291.844144  	1.525630    	39.58     	1941.905946
0.00078846     	389       	124480      	995840      	288.517119  	1.489466    	39.05     	1935.006982
0.00077500     	399       	127680      	1021440     	287.377585  	1.523481    	39.88     	1931.118276
0.00076126     	409       	130880      	1047040     	285.598017  	1.526885    	40.89     	1918.074321
0.00074727     	419       	134080      	1072640     	286.546452  	1.505795    	39.62     	1934.910639
0.00073303     	429       	137280      	1098240     	289.050352  	1.554012    	39.64     	1934.369692
0.00071857     	439       	140480      	1123840     	287.471236  	1.586278    	37.61     	1923.027586
0.00070391     	449       	143680      	1149440     	285.490361  	1.522420    	40.52     	1919.129766
0.00068906     	459       	146880      	1175040     	287.859690  	1.516652    	39.87     	1943.654055
0.00067404     	469       	150080      	1200640     	286.305155  	1.541993    	38.82     	1940.710453
0.00065886     	479       	153280      	1226240     	279.651905  	1.511621    	37.72     	1927.164381
0.00064356     	489       	156480      	1251840     	282.609436  	1.504051    	40.07     	1942.437551
0.00062814     	499       	159680      	1277440     	279.222399  	1.516372    	39.05     	1939.278988
0.00061263     	509       	162880      	1303040     	278.250134  	1.505689    	40.45     	1933.073678
0.00059704     	519       	166080      	1328640     	279.013955  	1.529431    	40.55     	1948.732644
0.00058139     	529       	169280      	1354240     	275.181961  	1.524485    	39.41     	1933.057700
0.00056570     	539       	172480      	1379840     	272.102978  	1.497554    	40.04     	1924.095024
0.00055000     	549       	175680      	1405440     	268.782879  	1.478947    	41.44     	1939.306290
0.00053430     	559       	178880      	1431040     	267.967612  	1.533388    	41.03     	1957.332645
0.00051861     	569       	182080      	1456640     	267.374450  	1.529220    	39.97     	1931.529400
0.00050296     	579       	185280      	1482240     	264.760428  	1.527807    	39.06     	1931.628320
0.00048737     	589       	188480      	1507840     	264.727912  	1.532111    	38.87     	1780.862036
0.00047186     	599       	191680      	1533440     	265.454474  	1.542395    	40.42     	1595.119530
0.00045644     	609       	194880      	1559040     	263.826078  	1.506224    	41.13     	1590.408852
0.00044114     	619       	198080      	1584640     	261.360917  	1.512261    	40.40     	1591.077354
0.00042596     	629       	201280      	1610240     	259.219007  	1.505428    	40.96     	1602.916306
0.00041094     	639       	204480      	1635840     	255.263269  	1.556657    	40.40     	1605.502130
0.00039609     	649       	207680      	1661440     	252.590760  	1.490954    	40.64     	1603.867025
0.00038143     	659       	210880      	1687040     	252.961724  	1.493463    	41.02     	1590.552096
0.00036697     	669       	214080      	1712640     	251.003394  	1.439439    	41.89     	1599.048632
0.00035273     	679       	217280      	1738240     	249.379033  	1.499965    	40.59     	1593.935182
0.00033874     	689       	220480      	1763840     	247.993278  	1.492261    	41.79     	1585.841510
0.00032500     	699       	223680      	1789440     	246.667186  	1.492104    	42.33     	1588.678609
0.00031154     	709       	226880      	1815040     	246.456858  	1.450673    	43.04     	1586.357248
0.00029836     	719       	230080      	1840640     	243.668989  	1.481475    	41.85     	1605.054344
0.00028550     	729       	233280      	1866240     	241.986098  	1.495762    	41.22     	1603.990631
0.00027295     	739       	236480      	1891840     	240.499821  	1.495159    	41.65     	1592.223284
0.00026075     	749       	239680      	1917440     	239.345812  	1.492318    	42.62     	1591.469649
0.00024889     	759       	242880      	1943040     	239.275832  	1.488870    	42.16     	1591.178955
0.00023740     	769       	246080      	1968640     	239.725340  	1.506633    	41.51     	1586.702559
0.00022630     	779       	249280      	1994240     	233.820795  	1.451815    	43.06     	1612.138195
0.00021558     	789       	252480      	2019840     	235.823539  	1.490124    	42.04     	1622.796962
0.00020528     	799       	255680      	2045440     	233.913359  	1.496223    	42.34     	1605.452009
0.00019540     	809       	258880      	2071040     	233.487556  	1.500234    	42.00     	1603.872341
0.00018594     	819       	262080      	2096640     	231.011398  	1.527070    	41.38     	1615.030809
0.00017693     	829       	265280      	2122240     	230.723815  	1.452707    	42.90     	1601.988217
0.00016838     	839       	268480      	2147840     	230.524474  	1.457470    	43.70     	1599.485060
0.00016029     	849       	271680      	2173440     	228.515053  	1.494966    	43.07     	1594.665740
0.00015267     	859       	274880      	2199040     	228.931626  	1.454078    	43.45     	1604.379493
0.00014554     	869       	278080      	2224640     	226.404818  	1.506635    	42.56     	1595.393000
0.00013890     	879       	281280      	2250240     	226.583325  	1.490553    	42.39     	1595.162487
0.00013277     	889       	284480      	2275840     	227.176071  	1.473656    	43.29     	1588.238621
0.00012714     	899       	287680      	2301440     	224.990518  	1.507882    	43.36     	1598.574598
0.00012202     	909       	290880      	2327040     	223.796030  	1.506106    	42.12     	1595.920601
0.00011743     	919       	294080      	2352640     	222.596321  	1.506791    	42.94     	1599.023496
0.00011337     	929       	297280      	2378240     	224.126920  	1.502925    	42.75     	1534.810463
0.00010983     	939       	300480      	2403840     	223.655783  	1.507881    	42.56     	1524.521812
0.00010684     	949       	303680      	2429440     	220.548672  	1.483191    	44.57     	1502.637265
0.00010438     	959       	306880      	2455040     	222.111830  	1.495110    	43.43     	1530.506462
0.00010247     	969       	310080      	2480640     	220.747805  	1.465470    	43.23     	1583.029600
0.00010110     	979       	313280      	2506240     	222.036776  	1.484411    	43.70     	1577.706967
0.00010027     	989       	316480      	2531840     	219.334804  	1.496946    	42.62     	1583.709822
0.00010000     	999       	319680      	2557440     	220.047784  	1.515590    	42.41     	1475.368075
