Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	504.339640  	1.699958    	18.06     	1807.685738
0.00020000     	19        	6080        	48640       	490.111362  	1.721534    	20.37     	1798.228284
0.00030000     	29        	9280        	74240       	482.690339  	1.822671    	16.96     	1793.805651
0.00040000     	39        	12480       	99840       	473.816466  	1.799250    	18.55     	1786.098441
0.00050000     	49        	15680       	125440      	465.705072  	1.833147    	20.27     	1796.220316
0.00060000     	59        	18880       	151040      	455.988619  	1.833585    	20.85     	1783.324737
0.00070000     	69        	22080       	176640      	444.794057  	1.719882    	23.91     	1779.403792
0.00080000     	79        	25280       	202240      	423.225878  	1.600307    	30.48     	1776.420909
0.00090000     	89        	28480       	227840      	394.377913  	1.555015    	35.31     	1770.306752
0.00100000     	99        	31680       	253440      	369.530337  	1.493253    	37.62     	1783.209952
0.00099973     	109       	34880       	279040      	349.721322  	1.464897    	38.62     	1767.078343
0.00099890     	119       	38080       	304640      	332.206621  	1.524608    	36.18     	1784.592988
0.00099753     	129       	41280       	330240      	319.029951  	1.508486    	38.90     	1780.561358
0.00099562     	139       	44480       	355840      	316.619444  	1.417347    	41.77     	1792.222411
0.00099316     	149       	47680       	381440      	313.531252  	1.526376    	38.07     	1789.261610
0.00099017     	159       	50880       	407040      	318.294865  	1.554790    	37.67     	1779.004904
0.00098663     	169       	54080       	432640      	314.835467  	1.452541    	38.72     	1786.958679
0.00098257     	179       	57280       	458240      	305.310255  	1.496282    	39.74     	1773.007228
0.00097798     	189       	60480       	483840      	298.368038  	1.500862    	38.79     	1781.442079
0.00097286     	199       	63680       	509440      	294.486840  	1.514945    	39.38     	1782.353169
0.00096723     	209       	66880       	535040      	298.756105  	1.518069    	39.96     	1784.379115
0.00096110     	219       	70080       	560640      	294.197809  	1.473772    	40.09     	1785.997613
0.00095446     	229       	73280       	586240      	292.963183  	1.518257    	39.75     	1769.955987
0.00094733     	239       	76480       	611840      	288.883956  	1.546605    	39.35     	1785.344040
0.00093971     	249       	79680       	637440      	286.395579  	1.549040    	38.09     	1783.102100
0.00093162     	259       	82880       	663040      	286.155827  	1.501464    	39.49     	1789.306712
0.00092307     	269       	86080       	688640      	288.189653  	1.508551    	39.37     	1778.003343
0.00091406     	279       	89280       	714240      	291.591936  	1.467511    	39.77     	1766.661319
0.00090460     	289       	92480       	739840      	287.985256  	1.479760    	42.19     	1772.919361
0.00089472     	299       	95680       	765440      	285.075530  	1.542365    	39.21     	1779.472826
0.00088442     	309       	98880       	791040      	282.874522  	1.469413    	40.67     	1775.759623
0.00087370     	319       	102080      	816640      	282.884886  	1.560360    	39.06     	1778.936719
0.00086260     	329       	105280      	842240      	284.417401  	1.493891    	40.98     	1811.401909
0.00085111     	339       	108480      	867840      	279.129399  	1.463954    	41.52     	1763.947406
0.00083925     	349       	111680      	893440      	279.089747  	1.490245    	41.70     	1790.605289
0.00082705     	359       	114880      	919040      	275.140117  	1.531702    	39.79     	1826.433219
0.00081450     	369       	118080      	944640      	274.936156  	1.503143    	40.72     	1841.262288
0.00080164     	379       	121280      	970240      	272.878341  	1.505067    	41.06     	1876.707392
0.00078846     	389       	124480      	995840      	274.229534  	1.506245    	41.35     	1857.042187
0.00077500     	399       	127680      	1021440     	270.674700  	1.485727    	42.02     	1863.630979
0.00076126     	409       	130880      	1047040     	271.353265  	1.495646    	40.99     	1850.527876
0.00074727     	419       	134080      	1072640     	268.763045  	1.483858    	40.87     	1854.982729
0.00073303     	429       	137280      	1098240     	269.700160  	1.503373    	42.13     	1825.905139
0.00071857     	439       	140480      	1123840     	267.092842  	1.512808    	40.20     	1856.024196
0.00070391     	449       	143680      	1149440     	264.720219  	1.561735    	41.48     	1845.972752
0.00068906     	459       	146880      	1175040     	263.041223  	1.446173    	43.60     	1825.494182
0.00067404     	469       	150080      	1200640     	262.771948  	1.530216    	40.04     	1848.009117
0.00065886     	479       	153280      	1226240     	260.045818  	1.488628    	41.15     	1846.279783
0.00064356     	489       	156480      	1251840     	260.988448  	1.464090    	43.84     	1777.179700
0.00062814     	499       	159680      	1277440     	259.453449  	1.477642    	41.96     	1769.629405
0.00061263     	509       	162880      	1303040     	253.560290  	1.437845    	41.98     	1764.494827
0.00059704     	519       	166080      	1328640     	252.226138  	1.499327    	41.88     	1776.733620
0.00058139     	529       	169280      	1354240     	252.855295  	1.470021    	42.16     	1755.972238
0.00056570     	539       	172480      	1379840     	249.606406  	1.477071    	43.39     	1777.120661
0.00055000     	549       	175680      	1405440     	248.976479  	1.419665    	43.59     	1773.483521
0.00053430     	559       	178880      	1431040     	246.860741  	1.476249    	43.62     	1834.553711
0.00051861     	569       	182080      	1456640     	243.609607  	1.506843    	42.23     	1863.764011
0.00050296     	579       	185280      	1482240     	242.737756  	1.499478    	42.04     	1851.237131
