Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	504.190686  	1.703665    	18.83     	1858.966829
0.00020000     	19        	6080        	48640       	491.025741  	1.708865    	19.87     	1850.486010
0.00030000     	29        	9280        	74240       	485.405474  	1.729239    	19.23     	1847.859090
0.00040000     	39        	12480       	99840       	480.928860  	1.776465    	17.95     	1826.366585
0.00050000     	49        	15680       	125440      	480.508221  	1.778106    	18.97     	1836.489219
0.00060000     	59        	18880       	151040      	479.256386  	1.838164    	18.84     	1838.302991
0.00070000     	69        	22080       	176640      	469.599919  	1.801054    	19.30     	1827.040401
0.00080000     	79        	25280       	202240      	462.133478  	1.812379    	18.53     	1844.382869
0.00090000     	89        	28480       	227840      	460.248189  	1.766372    	21.21     	1833.450695
0.00100000     	99        	31680       	253440      	460.900343  	1.909642    	18.52     	1816.481215
0.00099973     	109       	34880       	279040      	457.745361  	1.832454    	19.65     	1838.674636
0.00099890     	119       	38080       	304640      	460.381267  	1.806769    	19.43     	1841.852230
0.00099753     	129       	41280       	330240      	460.568851  	1.847851    	17.88     	1831.863149
0.00099562     	139       	44480       	355840      	469.436588  	1.826021    	19.16     	1835.037659
0.00099316     	149       	47680       	381440      	468.662590  	1.847840    	18.82     	1843.504919
0.00099017     	159       	50880       	407040      	460.878345  	1.871044    	18.75     	1839.277267
0.00098663     	169       	54080       	432640      	463.556643  	1.811045    	19.50     	1861.966241
0.00098257     	179       	57280       	458240      	474.328973  	1.789690    	18.87     	1855.824338
0.00097798     	189       	60480       	483840      	473.668262  	1.766956    	18.84     	1847.344049
0.00097286     	199       	63680       	509440      	472.663312  	1.751969    	19.24     	1850.011428
0.00096723     	209       	66880       	535040      	470.881833  	1.777751    	20.02     	1834.087228
0.00096110     	219       	70080       	560640      	468.239127  	1.811019    	20.39     	1824.846533
0.00095446     	229       	73280       	586240      	462.443166  	1.845044    	17.69     	1835.408045
0.00094733     	239       	76480       	611840      	463.499169  	1.926303    	17.80     	1830.017935
0.00093971     	249       	79680       	637440      	471.031985  	1.782376    	18.80     	1840.187669
0.00093162     	259       	82880       	663040      	479.502550  	1.784325    	18.57     	1843.117147
0.00092307     	269       	86080       	688640      	476.300237  	1.791114    	19.21     	1836.831266
0.00091406     	279       	89280       	714240      	468.164975  	1.790736    	20.12     	1839.606573
0.00090460     	289       	92480       	739840      	464.752927  	1.864902    	19.71     	1838.208122
0.00089472     	299       	95680       	765440      	463.277201  	1.862033    	18.75     	1823.568566
0.00088442     	309       	98880       	791040      	462.820684  	1.887237    	19.27     	1834.029595
0.00087370     	319       	102080      	816640      	462.807104  	1.840685    	17.80     	1834.691851
0.00086260     	329       	105280      	842240      	462.774284  	1.839906    	19.52     	1846.552063
0.00085111     	339       	108480      	867840      	463.171459  	1.893727    	19.27     	1863.769888
0.00083925     	349       	111680      	893440      	461.343637  	1.886401    	19.70     	1854.190370
0.00082705     	359       	114880      	919040      	457.408256  	1.902156    	18.82     	1844.317244
0.00081450     	369       	118080      	944640      	458.591586  	1.873460    	18.52     	1866.709293
0.00080164     	379       	121280      	970240      	458.093720  	1.854398    	20.08     	1842.680099
0.00078846     	389       	124480      	995840      	458.899161  	1.874548    	19.09     	1840.200983
0.00077500     	399       	127680      	1021440     	460.684520  	1.846365    	19.55     	1853.008310
0.00076126     	409       	130880      	1047040     	458.998700  	1.820078    	19.41     	1835.469910
0.00074727     	419       	134080      	1072640     	456.878366  	1.907465    	20.16     	1843.370168
0.00073303     	429       	137280      	1098240     	453.966470  	1.900750    	18.76     	1844.025999
