Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	255.997741  	1.681940    	17.44     	2094.430667
0.00020000     	19        	3040        	48640       	247.940568  	1.814041    	14.93     	2092.600607
0.00030000     	29        	4640        	74240       	241.261944  	1.885664    	13.76     	1994.534623
0.00040000     	39        	6240        	99840       	234.454054  	1.987930    	14.80     	2012.867551
0.00050000     	49        	7840        	125440      	211.058847  	1.590392    	30.87     	1851.900874
0.00060000     	59        	9440        	151040      	131.525037  	0.952112    	61.16     	1805.352048
0.00070000     	69        	11040       	176640      	82.714796   	0.752461    	67.45     	1940.358177
0.00080000     	79        	12640       	202240      	61.565465   	0.576743    	75.05     	2113.640119
0.00090000     	89        	14240       	227840      	47.160024   	0.445695    	80.31     	2401.342708
0.00100000     	99        	15840       	253440      	37.199630   	0.355760    	83.20     	1768.453951
0.00099973     	109       	17440       	279040      	31.564692   	0.325507    	84.77     	1802.379366
0.00099890     	119       	19040       	304640      	27.098662   	0.265243    	87.33     	1783.103230
0.00099753     	129       	20640       	330240      	23.968860   	0.257243    	87.45     	1687.205274
0.00099562     	139       	22240       	355840      	22.305449   	0.260614    	87.45     	1866.888075
0.00099316     	149       	23840       	381440      	20.853732   	0.249136    	87.50     	1972.559392
0.00099017     	159       	25440       	407040      	19.177514   	0.212002    	89.80     	1885.980427
0.00098663     	169       	27040       	432640      	17.741222   	0.211783    	89.65     	1759.815509
0.00098257     	179       	28640       	458240      	17.278965   	0.229362    	88.80     	1769.035991
0.00097798     	189       	30240       	483840      	16.016655   	0.200152    	90.02     	1823.580625
0.00097286     	199       	31840       	509440      	14.788767   	0.209068    	89.88     	1746.275656
0.00096723     	209       	33440       	535040      	14.783064   	0.187965    	90.83     	1820.244028
0.00096110     	219       	35040       	560640      	14.218640   	0.194925    	90.54     	1951.331224
0.00095446     	229       	36640       	586240      	13.227324   	0.161195    	91.66     	2992.342512
0.00094733     	239       	38240       	611840      	12.774232   	0.165013    	91.56     	3098.616403
0.00093971     	249       	39840       	637440      	12.266483   	0.152497    	92.16     	3439.866385
0.00093162     	259       	41440       	663040      	11.862417   	0.165688    	91.70     	3538.533522
0.00092307     	269       	43040       	688640      	12.190999   	0.160257    	92.17     	3654.566304
0.00091406     	279       	44640       	714240      	11.259906   	0.143104    	92.55     	3655.513104
0.00090460     	289       	46240       	739840      	11.161824   	0.157521    	92.42     	3562.669101
0.00089472     	299       	47840       	765440      	10.461703   	0.154823    	92.03     	3295.728056
0.00088442     	309       	49440       	791040      	11.122289   	0.150164    	92.66     	3266.443637
0.00087370     	319       	51040       	816640      	10.049887   	0.144989    	92.40     	3344.122344
0.00086260     	329       	52640       	842240      	10.303423   	0.136584    	92.93     	3362.354685
0.00085111     	339       	54240       	867840      	9.631477    	0.146167    	92.80     	2975.820264
0.00083925     	349       	55840       	893440      	9.404628    	0.136454    	93.28     	2734.760748
0.00082705     	359       	57440       	919040      	9.052165    	0.126342    	93.20     	3577.383417
0.00081450     	369       	59040       	944640      	8.696724    	0.153228    	92.07     	3602.061410
0.00080164     	379       	60640       	970240      	8.855472    	0.116026    	93.72     	3693.798796
0.00078846     	389       	62240       	995840      	8.429218    	0.130924    	93.26     	3518.991241
0.00077500     	399       	63840       	1021440     	8.340112    	0.142904    	92.76     	3355.611327
0.00076126     	409       	65440       	1047040     	8.089441    	0.146076    	92.84     	3269.233427
0.00074727     	419       	67040       	1072640     	7.844280    	0.126842    	93.45     	2915.590747
0.00073303     	429       	68640       	1098240     	7.713685    	0.126972    	93.38     	2571.319766
0.00071857     	439       	70240       	1123840     	7.665898    	0.118821    	94.03     	3097.552779
0.00070391     	449       	71840       	1149440     	7.574417    	0.133146    	93.31     	3105.469562
0.00068906     	459       	73440       	1175040     	7.694724    	0.121658    	93.84     	3056.101019
0.00067404     	469       	75040       	1200640     	7.554280    	0.128968    	93.66     	3667.402723
0.00065886     	479       	76640       	1226240     	7.032454    	0.123747    	93.75     	3270.965662
0.00064356     	489       	78240       	1251840     	7.039226    	0.120200    	93.56     	3360.685081
0.00062814     	499       	79840       	1277440     	6.868472    	0.127216    	93.53     	3379.628655
0.00061263     	509       	81440       	1303040     	6.641824    	0.122078    	93.84     	3187.838408
0.00059704     	519       	83040       	1328640     	6.854554    	0.113053    	94.18     	3074.170692
0.00058139     	529       	84640       	1354240     	6.540684    	0.120172    	93.53     	3008.553814
0.00056570     	539       	86240       	1379840     	6.234097    	0.125852    	93.24     	3054.689595
0.00055000     	549       	87840       	1405440     	6.283589    	0.127325    	93.88     	3284.116635
0.00053430     	559       	89440       	1431040     	5.717988    	0.115929    	94.03     	3523.433853
0.00051861     	569       	91040       	1456640     	5.773948    	0.109081    	94.41     	3428.075495
0.00050296     	579       	92640       	1482240     	5.916065    	0.110974    	94.57     	3231.982925
0.00048737     	589       	94240       	1507840     	5.783579    	0.118514    	94.07     	2830.456616
0.00047186     	599       	95840       	1533440     	5.425194    	0.105809    	94.31     	2908.495603
0.00045644     	609       	97440       	1559040     	5.435135    	0.111214    	94.65     	2679.131740
0.00044114     	619       	99040       	1584640     	5.458241    	0.098054    	94.96     	3435.602369
