Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	255.342815  	1.671840    	15.09     	1646.702916
0.00020000     	19        	3040        	48640       	246.773002  	1.800849    	12.80     	1723.066530
0.00030000     	29        	4640        	74240       	239.909000  	1.905240    	12.81     	2378.006011
0.00040000     	39        	6240        	99840       	233.954855  	2.052285    	12.55     	1880.112630
0.00050000     	49        	7840        	125440      	228.999656  	1.996502    	14.30     	1939.037411
0.00060000     	59        	9440        	151040      	224.688131  	2.058458    	13.38     	1850.590506
0.00070000     	69        	11040       	176640      	219.332582  	2.072272    	15.20     	1584.056994
0.00080000     	79        	12640       	202240      	211.859987  	1.933987    	19.91     	1718.206134
0.00090000     	89        	14240       	227840      	204.451085  	1.947838    	19.86     	1604.539281
0.00100000     	99        	15840       	253440      	196.389560  	2.013214    	20.72     	1716.741523
0.00099973     	109       	17440       	279040      	189.644279  	1.983489    	22.50     	1437.727522
0.00099890     	119       	19040       	304640      	181.686543  	1.894150    	27.11     	1729.616183
0.00099753     	129       	20640       	330240      	170.719031  	1.855299    	28.90     	1733.443884
0.00099562     	139       	22240       	355840      	151.812055  	1.575642    	38.77     	1378.391449
0.00099316     	149       	23840       	381440      	126.379038  	1.263855    	52.43     	1978.886782
0.00099017     	159       	25440       	407040      	101.320048  	0.932043    	63.67     	1459.100558
0.00098663     	169       	27040       	432640      	71.810569   	0.738206    	72.12     	1610.824212
0.00098257     	179       	28640       	458240      	58.335294   	0.697122    	73.65     	2214.172476
0.00097798     	189       	30240       	483840      	50.260303   	0.686635    	73.45     	1458.881433
0.00097286     	199       	31840       	509440      	46.135812   	0.574331    	77.52     	1534.703468
0.00096723     	209       	33440       	535040      	43.094895   	0.586789    	77.21     	1806.300959
0.00096110     	219       	35040       	560640      	40.617406   	0.535139    	77.45     	1578.503100
0.00095446     	229       	36640       	586240      	37.735366   	0.570524    	76.62     	1769.270714
0.00094733     	239       	38240       	611840      	35.156850   	0.525607    	78.80     	1791.580768
0.00093971     	249       	39840       	637440      	33.672435   	0.492111    	80.59     	2012.962797
0.00093162     	259       	41440       	663040      	31.883790   	0.475261    	81.40     	1802.448053
0.00092307     	269       	43040       	688640      	30.871853   	0.456326    	81.90     	1454.873539
0.00091406     	279       	44640       	714240      	29.936261   	0.456545    	80.86     	1788.505308
0.00090460     	289       	46240       	739840      	28.070248   	0.532853    	78.91     	1388.933590
0.00089472     	299       	47840       	765440      	27.467745   	0.438488    	82.78     	1655.372491
0.00088442     	309       	49440       	791040      	26.720707   	0.407763    	83.73     	2017.056181
0.00087370     	319       	51040       	816640      	26.992661   	0.443623    	83.16     	1515.924799
0.00086260     	329       	52640       	842240      	25.463969   	0.414569    	83.54     	1756.652696
0.00085111     	339       	54240       	867840      	24.514866   	0.396853    	83.96     	1725.003786
0.00083925     	349       	55840       	893440      	23.988845   	0.402656    	83.75     	2263.559585
0.00082705     	359       	57440       	919040      	23.891763   	0.428360    	82.73     	1935.812663
0.00081450     	369       	59040       	944640      	22.875493   	0.433385    	83.00     	1381.075733
0.00080164     	379       	60640       	970240      	22.320263   	0.396273    	83.05     	1969.481925
0.00078846     	389       	62240       	995840      	20.793321   	0.448200    	82.39     	2609.012351
0.00077500     	399       	63840       	1021440     	21.676247   	0.400472    	84.46     	1884.175824
0.00076126     	409       	65440       	1047040     	21.288049   	0.392972    	84.09     	1887.806566
0.00074727     	419       	67040       	1072640     	21.018593   	0.384834    	84.27     	1559.020355
0.00073303     	429       	68640       	1098240     	20.653202   	0.407184    	83.46     	2041.476587
0.00071857     	439       	70240       	1123840     	19.804695   	0.357160    	85.28     	1990.592649
0.00070391     	449       	71840       	1149440     	20.048366   	0.329081    	86.60     	1682.328185
0.00068906     	459       	73440       	1175040     	19.424807   	0.352954    	85.03     	1908.913019
0.00067404     	469       	75040       	1200640     	18.678350   	0.379836    	85.17     	2880.763357
0.00065886     	479       	76640       	1226240     	19.037192   	0.351967    	85.98     	1702.594312
0.00064356     	489       	78240       	1251840     	18.515547   	0.334586    	86.55     	1724.493297
0.00062814     	499       	79840       	1277440     	18.058181   	0.365533    	85.04     	2063.710966
0.00061263     	509       	81440       	1303040     	17.534291   	0.340829    	85.99     	2262.053702
0.00059704     	519       	83040       	1328640     	17.748445   	0.389558    	83.86     	2128.784823
0.00058139     	529       	84640       	1354240     	17.272342   	0.335881    	86.57     	1576.266616
0.00056570     	539       	86240       	1379840     	17.058798   	0.391781    	84.05     	2436.151808
0.00055000     	549       	87840       	1405440     	16.883522   	0.355354    	85.64     	2001.897195
0.00053430     	559       	89440       	1431040     	16.835436   	0.328021    	86.81     	1887.489628
0.00051861     	569       	91040       	1456640     	16.436667   	0.359725    	85.23     	2151.301938
0.00050296     	579       	92640       	1482240     	16.236090   	0.377132    	84.79     	2469.030752
0.00048737     	589       	94240       	1507840     	15.937429   	0.303270    	87.85     	1838.017473
0.00047186     	599       	95840       	1533440     	16.042622   	0.389105    	84.30     	2021.547933
0.00045644     	609       	97440       	1559040     	15.856238   	0.341127    	85.48     	1699.551658
0.00044114     	619       	99040       	1584640     	15.620586   	0.333545    	86.38     	2289.969315
0.00042596     	629       	100640      	1610240     	15.006081   	0.315578    	87.12     	1927.992730
0.00041094     	639       	102240      	1635840     	15.017857   	0.316235    	87.25     	2720.149574
0.00039609     	649       	103840      	1661440     	15.144642   	0.341752    	86.75     	2065.998900
0.00038143     	659       	105440      	1687040     	14.868504   	0.320980    	87.29     	2042.765615
0.00036697     	669       	107040      	1712640     	14.451071   	0.353261    	84.81     	2749.675385
0.00035273     	679       	108640      	1738240     	14.589293   	0.340312    	86.74     	1449.064494
0.00033874     	689       	110240      	1763840     	14.678935   	0.313806    	87.05     	2617.621011
0.00032500     	699       	111840      	1789440     	14.519531   	0.297320    	87.52     	1725.829691
0.00031154     	709       	113440      	1815040     	14.314926   	0.331137    	86.66     	1872.173376
0.00029836     	719       	115040      	1840640     	14.194371   	0.308030    	87.21     	1916.382726
0.00028550     	729       	116640      	1866240     	14.441682   	0.316404    	87.66     	1504.485805
0.00027295     	739       	118240      	1891840     	13.818940   	0.320365    	87.12     	2661.283461
0.00026075     	749       	119840      	1917440     	13.884966   	0.329082    	86.33     	1964.262767
0.00024889     	759       	121440      	1943040     	13.551265   	0.326137    	86.26     	2324.035393
0.00023740     	769       	123040      	1968640     	13.517583   	0.303472    	86.79     	1839.746445
0.00022630     	779       	124640      	1994240     	14.157976   	0.328547    	86.38     	1796.143165
0.00021558     	789       	126240      	2019840     	14.085746   	0.316664    	86.75     	2442.840633
0.00020528     	799       	127840      	2045440     	13.943842   	0.305088    	87.22     	2481.491464
0.00019540     	809       	129440      	2071040     	13.453708   	0.303591    	87.67     	2217.834526
0.00018594     	819       	131040      	2096640     	13.446487   	0.303722    	87.47     	2713.423324
0.00017693     	829       	132640      	2122240     	13.151378   	0.331308    	86.20     	1954.734654
0.00016838     	839       	134240      	2147840     	12.959604   	0.311013    	86.90     	1875.271161
0.00016029     	849       	135840      	2173440     	12.722277   	0.318397    	85.73     	2448.176215
0.00015267     	859       	137440      	2199040     	13.487808   	0.307913    	87.62     	1869.050929
0.00014554     	869       	139040      	2224640     	13.171490   	0.344554    	85.37     	1515.991369
0.00013890     	879       	140640      	2250240     	12.951422   	0.282260    	88.59     	3094.719215
0.00013277     	889       	142240      	2275840     	12.913641   	0.311700    	86.67     	2140.561912
0.00012714     	899       	143840      	2301440     	12.850626   	0.319149    	86.36     	2279.833378
0.00012202     	909       	145440      	2327040     	12.783778   	0.313416    	87.69     	2331.990681
0.00011743     	919       	147040      	2352640     	12.812367   	0.323723    	86.57     	1578.836016
0.00011337     	929       	148640      	2378240     	12.745348   	0.310223    	87.41     	2695.926869
0.00010983     	939       	150240      	2403840     	12.414619   	0.300119    	87.27     	1829.586342
0.00010684     	949       	151840      	2429440     	12.437078   	0.309818    	87.25     	2200.430013
0.00010438     	959       	153440      	2455040     	12.466947   	0.300041    	87.36     	2151.356790
0.00010247     	969       	155040      	2480640     	12.158939   	0.292994    	87.77     	1689.378414
0.00010110     	979       	156640      	2506240     	12.192693   	0.290802    	87.56     	2550.448269
0.00010027     	989       	158240      	2531840     	12.153055   	0.297403    	87.95     	2140.331815
0.00010000     	999       	159840      	2557440     	12.171953   	0.283061    	88.07     	1768.890531
