Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	255.356135  	1.656580    	18.06     	1186.846383
0.00020000     	19        	3040        	48640       	247.191124  	1.758060    	12.68     	1731.458026
0.00030000     	29        	4640        	74240       	240.381635  	1.848722    	15.02     	1397.649162
0.00040000     	39        	6240        	99840       	233.951614  	2.051108    	12.88     	1656.076995
0.00050000     	49        	7840        	125440      	226.001386  	2.029693    	14.06     	1770.838472
0.00060000     	59        	9440        	151040      	221.558849  	2.151042    	14.87     	1004.983430
0.00070000     	69        	11040       	176640      	215.509758  	2.009224    	16.66     	1942.627038
0.00080000     	79        	12640       	202240      	210.084150  	2.137637    	15.76     	1102.341197
0.00090000     	89        	14240       	227840      	203.905369  	2.004341    	18.78     	1222.567961
0.00100000     	99        	15840       	253440      	195.961674  	2.102157    	19.74     	1153.790759
0.00099973     	109       	17440       	279040      	183.737291  	1.976690    	21.12     	971.547496
0.00099890     	119       	19040       	304640      	176.963402  	2.026161    	21.84     	1656.807880
0.00099753     	129       	20640       	330240      	171.543911  	2.027447    	24.36     	1076.372819
0.00099562     	139       	22240       	355840      	167.942122  	2.113107    	22.08     	929.347018
0.00099316     	149       	23840       	381440      	164.181116  	2.067301    	22.34     	1423.032132
0.00099017     	159       	25440       	407040      	157.668620  	2.102996    	25.02     	990.182332
0.00098663     	169       	27040       	432640      	155.867470  	2.004106    	24.20     	1484.612734
0.00098257     	179       	28640       	458240      	148.155100  	2.154610    	25.00     	1126.493500
0.00097798     	189       	30240       	483840      	144.373810  	2.200533    	24.76     	919.913850
0.00097286     	199       	31840       	509440      	139.373296  	2.106393    	26.08     	1475.578056
0.00096723     	209       	33440       	535040      	136.462368  	2.132651    	25.73     	916.737401
0.00096110     	219       	35040       	560640      	135.050967  	2.199207    	24.47     	1027.146159
0.00095446     	229       	36640       	586240      	131.931829  	1.999579    	28.32     	1115.307379
