Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	252.445345  	1.697326    	18.68     	1590.517921
0.00020000     	19        	3040        	48640       	244.975929  	1.717084    	19.31     	2453.781835
0.00030000     	29        	4640        	74240       	240.821485  	1.789288    	17.80     	2478.414448
0.00040000     	39        	6240        	99840       	235.004299  	1.780423    	19.89     	2482.256055
0.00050000     	49        	7840        	125440      	225.573788  	1.695269    	25.73     	2494.107898
0.00060000     	59        	9440        	151040      	208.913461  	1.555906    	32.65     	2491.047104
0.00070000     	69        	11040       	176640      	195.106276  	1.533511    	34.31     	2492.912656
0.00080000     	79        	12640       	202240      	183.530001  	1.473069    	37.36     	2480.839017
0.00090000     	89        	14240       	227840      	172.397452  	1.466025    	39.43     	2536.706677
0.00100000     	99        	15840       	253440      	163.843154  	1.513459    	38.24     	2478.347400
0.00099973     	109       	17440       	279040      	154.850650  	1.476263    	38.84     	2475.496626
0.00099890     	119       	19040       	304640      	147.883850  	1.438199    	40.49     	2477.508348
0.00099753     	129       	20640       	330240      	140.980028  	1.457717    	41.12     	2459.717820
0.00099562     	139       	22240       	355840      	136.566837  	1.521316    	40.65     	2463.410099
0.00099316     	149       	23840       	381440      	133.489645  	1.492898    	40.61     	2462.245595
0.00099017     	159       	25440       	407040      	132.332719  	1.491062    	41.46     	3054.991984
0.00098663     	169       	27040       	432640      	129.179806  	1.499840    	40.57     	2410.849757
0.00098257     	179       	28640       	458240      	130.441273  	1.502013    	40.76     	2499.396990
0.00097798     	189       	30240       	483840      	125.318297  	1.496978    	41.74     	2510.840531
0.00097286     	199       	31840       	509440      	121.597337  	1.506296    	40.27     	2494.043754
0.00096723     	209       	33440       	535040      	117.510621  	1.505763    	41.53     	2493.124356
0.00096110     	219       	35040       	560640      	117.545450  	1.439103    	42.99     	2497.779089
0.00095446     	229       	36640       	586240      	115.485728  	1.487104    	42.52     	2505.121851
0.00094733     	239       	38240       	611840      	113.993338  	1.493964    	40.90     	2503.665475
0.00093971     	249       	39840       	637440      	110.869737  	1.533048    	40.37     	2504.899943
0.00093162     	259       	41440       	663040      	110.763291  	1.496506    	41.52     	2506.618034
