Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	126.646826  	1.699739    	19.32     	1294.302239
0.00020000     	19        	1520        	48640       	122.820612  	1.715016    	18.96     	1342.123680
0.00030000     	29        	2320        	74240       	121.443353  	1.818919    	16.91     	1339.756771
0.00040000     	39        	3120        	99840       	119.643905  	1.821604    	18.55     	1338.803121
0.00050000     	49        	3920        	125440      	118.028963  	1.789852    	19.33     	1346.536864
0.00060000     	59        	4720        	151040      	116.017536  	1.846655    	19.78     	1349.020980
0.00070000     	69        	5520        	176640      	112.876258  	1.800642    	20.39     	1341.538472
0.00080000     	79        	6320        	202240      	109.610803  	1.738160    	22.70     	1347.033544
0.00090000     	89        	7120        	227840      	103.673614  	1.621093    	29.70     	1348.150592
0.00100000     	99        	7920        	253440      	95.665204   	1.585884    	33.48     	1346.909385
0.00099973     	109       	8720        	279040      	88.384260   	1.499410    	36.23     	1348.107090
0.00099890     	119       	9520        	304640      	82.578224   	1.481966    	38.92     	1341.922675
0.00099753     	129       	10320       	330240      	77.772119   	1.460547    	39.88     	1335.335216
0.00099562     	139       	11120       	355840      	74.191467   	1.440687    	41.20     	1338.423755
0.00099316     	149       	11920       	381440      	71.948669   	1.468188    	40.54     	1431.589495
0.00099017     	159       	12720       	407040      	68.292273   	1.515443    	39.31     	1309.580851
0.00098663     	169       	13520       	432640      	66.617397   	1.467238    	40.01     	1318.779618
0.00098257     	179       	14320       	458240      	64.631960   	1.480962    	41.45     	1314.291074
0.00097798     	189       	15120       	483840      	62.849948   	1.433491    	41.79     	1338.974502
0.00097286     	199       	15920       	509440      	60.803365   	1.417279    	44.78     	1340.039542
0.00096723     	209       	16720       	535040      	59.275383   	1.476158    	43.12     	1325.130651
0.00096110     	219       	17520       	560640      	58.185446   	1.429245    	43.22     	1307.464143
0.00095446     	229       	18320       	586240      	57.191529   	1.433029    	42.92     	1308.171291
0.00094733     	239       	19120       	611840      	55.445893   	1.463854    	42.88     	1316.402804
0.00093971     	249       	19920       	637440      	54.223799   	1.445422    	42.87     	1315.258872
0.00093162     	259       	20720       	663040      	53.357001   	1.474074    	43.81     	1323.153364
0.00092307     	269       	21520       	688640      	53.649662   	1.449604    	43.34     	1440.425285
0.00091406     	279       	22320       	714240      	52.654016   	1.497165    	41.69     	1634.100624
0.00090460     	289       	23120       	739840      	51.485438   	1.406657    	44.16     	1116.158288
0.00089472     	299       	23920       	765440      	50.768931   	1.484868    	42.87     	1084.501985
0.00088442     	309       	24720       	791040      	49.971410   	1.437031    	45.07     	1336.280244
0.00087370     	319       	25520       	816640      	49.922187   	1.460103    	43.24     	1354.651987
0.00086260     	329       	26320       	842240      	48.792744   	1.461591    	43.84     	1367.876649
0.00085111     	339       	27120       	867840      	48.344501   	1.429610    	44.88     	1367.498220
0.00083925     	349       	27920       	893440      	47.881094   	1.452555    	44.72     	1357.876546
0.00082705     	359       	28720       	919040      	46.163605   	1.469717    	43.88     	1341.364838
0.00081450     	369       	29520       	944640      	45.877020   	1.483006    	43.27     	1363.361327
0.00080164     	379       	30320       	970240      	45.099782   	1.509882    	43.07     	1362.684896
0.00078846     	389       	31120       	995840      	45.177644   	1.517341    	41.45     	1368.222307
0.00077500     	399       	31920       	1021440     	44.748239   	1.453354    	44.21     	1369.667458
0.00076126     	409       	32720       	1047040     	43.936817   	1.496019    	43.13     	1364.766857
0.00074727     	419       	33520       	1072640     	43.683597   	1.479091    	43.39     	1364.987948
0.00073303     	429       	34320       	1098240     	42.967915   	1.534070    	42.40     	1368.406570
0.00071857     	439       	35120       	1123840     	43.005760   	1.549078    	40.99     	1363.012305
0.00070391     	449       	35920       	1149440     	42.849746   	1.448327    	44.98     	1363.792914
0.00068906     	459       	36720       	1175040     	42.147692   	1.472382    	43.37     	1349.905077
0.00067404     	469       	37520       	1200640     	41.821964   	1.502712    	43.18     	1355.370436
0.00065886     	479       	38320       	1226240     	40.764384   	1.524252    	43.41     	1368.029682
0.00064356     	489       	39120       	1251840     	40.795097   	1.463275    	44.71     	1362.338036
0.00062814     	499       	39920       	1277440     	40.144313   	1.445600    	45.39     	1365.903614
0.00061263     	509       	40720       	1303040     	39.416291   	1.472139    	44.28     	1373.192160
0.00059704     	519       	41520       	1328640     	39.330691   	1.464563    	44.59     	1371.430429
0.00058139     	529       	42320       	1354240     	39.102266   	1.512670    	43.34     	1361.809976
0.00056570     	539       	43120       	1379840     	38.486792   	1.508302    	44.27     	1367.322377
0.00055000     	549       	43920       	1405440     	37.689660   	1.450998    	45.89     	1367.243939
0.00053430     	559       	44720       	1431040     	37.540252   	1.494079    	44.82     	1355.234668
0.00051861     	569       	45520       	1456640     	37.558129   	1.500463    	43.91     	1356.482246
0.00050296     	579       	46320       	1482240     	37.114743   	1.507528    	43.95     	1417.694381
0.00048737     	589       	47120       	1507840     	37.044423   	1.503044    	44.20     	1386.446586
0.00047186     	599       	47920       	1533440     	36.101125   	1.513803    	44.27     	1318.192345
0.00045644     	609       	48720       	1559040     	35.699575   	1.520453    	44.70     	1316.521200
0.00044114     	619       	49520       	1584640     	35.449933   	1.469763    	44.30     	1338.438234
0.00042596     	629       	50320       	1610240     	35.001399   	1.506138    	44.64     	1363.109699
0.00041094     	639       	51120       	1635840     	34.764673   	1.472929    	44.98     	1367.484856
0.00039609     	649       	51920       	1661440     	34.336196   	1.528790    	44.67     	1353.892060
0.00038143     	659       	52720       	1687040     	34.191682   	1.532690    	44.75     	1363.642502
0.00036697     	669       	53520       	1712640     	33.862020   	1.542073    	44.06     	1361.181576
0.00035273     	679       	54320       	1738240     	33.406187   	1.474902    	45.31     	1361.141794
0.00033874     	689       	55120       	1763840     	33.057556   	1.515894    	45.37     	1477.659411
0.00032500     	699       	55920       	1789440     	33.141653   	1.516365    	44.80     	1594.491391
0.00031154     	709       	56720       	1815040     	33.104988   	1.526153    	45.02     	1532.850830
0.00029836     	719       	57520       	1840640     	32.452622   	1.509612    	44.54     	1276.087477
0.00028550     	729       	58320       	1866240     	32.461034   	1.510601    	44.56     	1340.418796
0.00027295     	739       	59120       	1891840     	31.972411   	1.562356    	43.84     	1380.482998
0.00026075     	749       	59920       	1917440     	31.516871   	1.513559    	45.51     	1328.823829
0.00024889     	759       	60720       	1943040     	31.755777   	1.523235    	44.59     	1329.501066
0.00023740     	769       	61520       	1968640     	31.397065   	1.520389    	45.66     	1331.407819
0.00022630     	779       	62320       	1994240     	31.091233   	1.482462    	45.83     	1352.994106
0.00021558     	789       	63120       	2019840     	31.197155   	1.474945    	46.30     	1339.736275
0.00020528     	799       	63920       	2045440     	30.666146   	1.523130    	44.87     	1304.938647
0.00019540     	809       	64720       	2071040     	31.127994   	1.528011    	44.07     	1627.637709
0.00018594     	819       	65520       	2096640     	30.513118   	1.520193    	45.45     	1333.204676
0.00017693     	829       	66320       	2122240     	30.015588   	1.555867    	43.80     	1358.056099
0.00016838     	839       	67120       	2147840     	30.128600   	1.472873    	46.95     	1339.090153
0.00016029     	849       	67920       	2173440     	29.779820   	1.527995    	45.12     	1334.797405
0.00015267     	859       	68720       	2199040     	29.684480   	1.508194    	44.70     	1331.896229
0.00014554     	869       	69520       	2224640     	29.467434   	1.500988    	44.91     	1327.241675
0.00013890     	879       	70320       	2250240     	29.597092   	1.534292    	44.45     	1325.875869
0.00013277     	889       	71120       	2275840     	29.330406   	1.538228    	44.70     	1323.900652
0.00012714     	899       	71920       	2301440     	29.106557   	1.512137    	45.82     	1340.911177
0.00012202     	909       	72720       	2327040     	29.006182   	1.504092    	44.91     	1337.100562
0.00011743     	919       	73520       	2352640     	28.803842   	1.561508    	44.30     	1070.710644
0.00011337     	929       	74320       	2378240     	28.822455   	1.503429    	45.55     	812.615130
0.00010983     	939       	75120       	2403840     	29.190699   	1.536842    	44.30     	481.239501
0.00010684     	949       	75920       	2429440     	28.681490   	1.515103    	45.38     	461.173857
0.00010438     	959       	76720       	2455040     	28.621260   	1.507121    	46.04     	455.724314
0.00010247     	969       	77520       	2480640     	28.433782   	1.491300    	46.01     	454.537690
0.00010110     	979       	78320       	2506240     	28.550327   	1.505563    	46.47     	456.214330
0.00010027     	989       	79120       	2531840     	28.365676   	1.490479    	45.49     	456.828855
0.00010000     	999       	79920       	2557440     	28.562170   	1.537733    	44.94     	455.401467
