Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00029882     	4         	600         	4800        	241.910740  	1.609438    	19.98     	1252.033665
0.00029406     	9         	1350        	10800       	241.415717  	1.609438    	20.55     	1421.688499
0.00028577     	14        	2100        	16800       	241.415690  	1.609438    	19.95     	1240.018936
0.00027415     	19        	2850        	22800       	241.415690  	1.609438    	20.30     	1285.077360
0.00025948     	24        	3600        	28800       	241.415690  	1.609438    	19.23     	1229.050820
0.00024213     	29        	4350        	34800       	241.415688  	1.609438    	20.30     	1430.642877
0.00022252     	34        	5100        	40800       	241.415689  	1.609438    	19.85     	1211.511170
0.00020114     	39        	5850        	46800       	241.415687  	1.609438    	19.93     	1350.801958
0.00017851     	44        	6600        	52800       	241.415689  	1.609438    	20.80     	1171.869685
0.00015520     	49        	7350        	58800       	241.415688  	1.609438    	20.48     	1419.816832
0.00013176     	54        	8100        	64800       	241.415690  	1.609438    	20.38     	1211.983380
0.00010879     	59        	8850        	70800       	241.415689  	1.609438    	20.45     	1530.586006
