Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00029882     	4         	600         	4800        	241.880875  	1.609438    	20.35     	1249.990744
0.00029406     	9         	1350        	10800       	241.415691  	1.609438    	19.43     	1193.068459
0.00028577     	14        	2100        	16800       	241.415691  	1.609438    	19.73     	1199.208770
0.00027415     	19        	2850        	22800       	241.415690  	1.609438    	20.20     	1046.625136
0.00025948     	24        	3600        	28800       	241.415691  	1.609438    	20.00     	1059.561983
0.00024213     	29        	4350        	34800       	241.415690  	1.609438    	19.05     	1208.705619
0.00022252     	34        	5100        	40800       	241.415690  	1.609438    	20.25     	1075.329551
0.00020114     	39        	5850        	46800       	241.415691  	1.609438    	19.77     	1134.308888
0.00017851     	44        	6600        	52800       	241.415691  	1.609438    	19.23     	1224.416804
0.00015520     	49        	7350        	58800       	241.415692  	1.609438    	20.48     	1103.368190
0.00013176     	54        	8100        	64800       	241.415689  	1.609438    	20.65     	1114.997156
0.00010879     	59        	8850        	70800       	241.415688  	1.609438    	18.95     	1202.522043
0.00008685     	64        	9600        	76800       	241.415687  	1.609438    	20.62     	1039.235400
0.00006647     	69        	10350       	82800       	241.415691  	1.609438    	19.23     	1179.366565
