Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00029882     	4         	600         	4800        	242.027964  	1.609438    	20.07     	1171.743220
0.00029406     	9         	1350        	10800       	241.415689  	1.609438    	20.57     	1055.290569
0.00028577     	14        	2100        	16800       	241.415690  	1.609438    	19.25     	1265.076485
0.00027415     	19        	2850        	22800       	241.415690  	1.609438    	20.45     	1042.778701
0.00025948     	24        	3600        	28800       	242.725534  	1.615101    	20.70     	1017.060753
0.00024213     	29        	4350        	34800       	241.438794  	1.609438    	19.95     	976.132582
0.00022252     	34        	5100        	40800       	241.415691  	1.609438    	20.25     	1088.508255
0.00020114     	39        	5850        	46800       	241.415691  	1.609438    	19.95     	1174.443442
0.00017851     	44        	6600        	52800       	241.413594  	1.611113    	17.88     	961.522003
0.00015520     	49        	7350        	58800       	241.415771  	1.609438    	18.80     	1120.245836
0.00013176     	54        	8100        	64800       	241.415689  	1.609438    	20.65     	1179.193272
0.00010879     	59        	8850        	70800       	241.415692  	1.609438    	19.85     	1157.802635
0.00008685     	64        	9600        	76800       	241.415690  	1.609438    	19.55     	1138.001332
0.00006647     	69        	10350       	82800       	241.415692  	1.609438    	19.60     	1357.543575
