Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	515.917668  	1.609856    	20.01     	7630.796522
0.00020000     	19        	6080        	48640       	515.035355  	1.609438    	19.74     	7318.648888
0.00030000     	29        	9280        	74240       	515.020148  	1.609438    	19.80     	7403.752901
0.00040000     	39        	12480       	99840       	515.020142  	1.609438    	19.89     	7781.150178
0.00050000     	49        	15680       	125440      	515.020139  	1.609438    	20.04     	6791.267912
0.00060000     	59        	18880       	151040      	515.020142  	1.609438    	19.70     	8001.000040
0.00070000     	69        	22080       	176640      	515.020141  	1.609438    	20.37     	7503.661787
0.00080000     	79        	25280       	202240      	515.020142  	1.609438    	20.37     	7632.487632
0.00090000     	89        	28480       	227840      	515.020142  	1.609438    	20.02     	7873.848859
0.00100000     	99        	31680       	253440      	515.020138  	1.609438    	20.55     	7484.631016
0.00099973     	109       	34880       	279040      	515.020142  	1.609438    	19.96     	8012.065761
0.00099890     	119       	38080       	304640      	515.020141  	1.609438    	19.98     	7288.706371
0.00099753     	129       	41280       	330240      	515.020141  	1.609438    	20.09     	8088.362968
0.00099562     	139       	44480       	355840      	515.020141  	1.609438    	20.26     	7365.752482
0.00099316     	149       	47680       	381440      	515.020141  	1.609438    	20.32     	7428.907648
0.00099017     	159       	50880       	407040      	515.020141  	1.609438    	20.15     	6053.853473
0.00098663     	169       	54080       	432640      	515.020142  	1.609438    	19.76     	6071.981795
0.00098257     	179       	57280       	458240      	515.020141  	1.609438    	20.58     	5496.688508
0.00097798     	189       	60480       	483840      	515.020142  	1.609438    	20.20     	5030.616081
0.00097286     	199       	63680       	509440      	515.020141  	1.609438    	19.66     	5253.645409
0.00096723     	209       	66880       	535040      	515.020141  	1.609438    	20.37     	4901.338932
0.00096110     	219       	70080       	560640      	515.020141  	1.609438    	19.67     	5612.648064
0.00095446     	229       	73280       	586240      	515.020141  	1.609438    	20.21     	5657.167046
0.00094733     	239       	76480       	611840      	515.020142  	1.609438    	19.99     	5867.744635
0.00093971     	249       	79680       	637440      	515.020141  	1.609438    	20.03     	6171.912990
0.00093162     	259       	82880       	663040      	515.020141  	1.609438    	19.40     	5936.025917
0.00092307     	269       	86080       	688640      	515.020141  	1.609438    	20.24     	5597.231546
0.00091406     	279       	89280       	714240      	515.020141  	1.609438    	19.83     	5464.417992
0.00090460     	289       	92480       	739840      	515.020142  	1.609438    	19.65     	6097.043675
0.00089472     	299       	95680       	765440      	515.020141  	1.609438    	20.65     	5010.309682
0.00088442     	309       	98880       	791040      	515.020141  	1.609438    	20.49     	4954.697392
0.00087370     	319       	102080      	816640      	515.020141  	1.609438    	20.39     	5103.731999
0.00086260     	329       	105280      	842240      	515.020141  	1.609438    	20.34     	4744.728774
