Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	519.294812  	1.687103    	17.50     	4885.919733
0.00020000     	19        	6080        	48640       	503.326353  	1.815356    	12.89     	4329.191285
0.00030000     	29        	9280        	74240       	477.806769  	2.187762    	13.18     	3913.602846
0.00040000     	39        	12480       	99840       	453.940418  	2.135340    	16.42     	3783.589719
0.00050000     	49        	15680       	125440      	379.277299  	1.720142    	34.46     	3795.972634
0.00060000     	59        	18880       	151040      	300.601091  	1.722751    	36.67     	3862.889249
0.00070000     	69        	22080       	176640      	267.510519  	1.516828    	45.30     	3837.110900
0.00080000     	79        	25280       	202240      	247.763549  	1.814324    	41.55     	4017.581385
0.00090000     	89        	28480       	227840      	238.816430  	1.598974    	44.48     	4078.516787
0.00100000     	99        	31680       	253440      	228.196187  	1.605769    	44.16     	3816.756034
0.00099973     	109       	34880       	279040      	217.762529  	1.620287    	43.05     	3725.208549
0.00099890     	119       	38080       	304640      	206.908337  	1.681733    	43.69     	3986.041980
0.00099753     	129       	41280       	330240      	195.815026  	1.770177    	44.21     	4126.467986
0.00099562     	139       	44480       	355840      	187.427242  	1.765530    	44.55     	4320.187180
0.00099316     	149       	47680       	381440      	178.693330  	1.728779    	43.50     	4324.449410
0.00099017     	159       	50880       	407040      	172.044827  	1.813489    	43.02     	4191.757348
0.00098663     	169       	54080       	432640      	166.387436  	1.833579    	45.80     	3950.863318
0.00098257     	179       	57280       	458240      	158.880635  	1.935980    	43.14     	4110.213685
0.00097798     	189       	60480       	483840      	153.687869  	1.876085    	44.20     	3794.302903
0.00097286     	199       	63680       	509440      	120.462892  	1.643294    	57.25     	3937.521391
0.00096723     	209       	66880       	535040      	74.650600   	1.355549    	62.02     	4051.572621
0.00096110     	219       	70080       	560640      	61.683467   	1.072235    	68.07     	4325.941019
0.00095446     	229       	73280       	586240      	53.899386   	0.951155    	69.91     	4649.373833
0.00094733     	239       	76480       	611840      	48.689377   	0.962531    	69.79     	4847.899799
0.00093971     	249       	79680       	637440      	42.890628   	0.838866    	73.08     	4609.747456
0.00093162     	259       	82880       	663040      	33.069158   	0.715857    	77.05     	4305.713825
0.00092307     	269       	86080       	688640      	29.592717   	0.651924    	79.56     	3861.702898
0.00091406     	279       	89280       	714240      	27.278550   	0.584378    	80.26     	3986.742060
