Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	524.292893  	1.734246    	19.05     	4839.542448
0.00020000     	19        	6080        	48640       	505.412910  	2.044627    	11.49     	4384.302872
0.00030000     	29        	9280        	74240       	476.680962  	1.958639    	15.65     	3969.471175
0.00040000     	39        	12480       	99840       	459.530521  	2.055098    	13.96     	4136.487168
0.00050000     	49        	15680       	125440      	446.285503  	2.064098    	14.95     	4172.840997
0.00060000     	59        	18880       	151040      	437.345732  	2.196770    	14.65     	4348.007129
0.00070000     	69        	22080       	176640      	428.114909  	2.012769    	15.91     	4789.181722
0.00080000     	79        	25280       	202240      	420.888406  	2.139552    	17.12     	4081.064030
0.00090000     	89        	28480       	227840      	414.575411  	2.232862    	16.59     	4167.370821
0.00100000     	99        	31680       	253440      	409.416754  	2.108027    	17.26     	4684.491136
0.00099973     	109       	34880       	279040      	403.266609  	2.290094    	15.93     	4152.992705
0.00099890     	119       	38080       	304640      	397.855286  	2.337687    	15.97     	4540.956181
0.00099753     	129       	41280       	330240      	392.964450  	2.310308    	17.64     	4090.544165
0.00099562     	139       	44480       	355840      	389.242621  	2.265905    	16.55     	4750.197077
0.00099316     	149       	47680       	381440      	385.852909  	2.428700    	16.05     	4496.830811
0.00099017     	159       	50880       	407040      	382.683840  	2.232981    	18.15     	4425.086993
0.00098663     	169       	54080       	432640      	379.213818  	2.476306    	16.27     	4475.176969
0.00098257     	179       	57280       	458240      	378.628727  	2.352860    	17.99     	4474.798739
0.00097798     	189       	60480       	483840      	376.945182  	2.441177    	16.95     	5196.748967
0.00097286     	199       	63680       	509440      	374.037511  	2.394852    	16.30     	4320.676989
0.00096723     	209       	66880       	535040      	371.582982  	2.329066    	17.47     	4367.236215
0.00096110     	219       	70080       	560640      	371.038183  	2.338670    	16.71     	4801.513517
0.00095446     	229       	73280       	586240      	370.509977  	2.392626    	16.41     	4545.328905
0.00094733     	239       	76480       	611840      	369.267891  	2.365722    	17.01     	4854.031640
0.00093971     	249       	79680       	637440      	369.031567  	2.392834    	17.51     	3814.375230
0.00093162     	259       	82880       	663040      	366.827712  	2.351136    	16.41     	3830.859988
0.00092307     	269       	86080       	688640      	365.394134  	2.467358    	17.61     	4531.130290
0.00091406     	279       	89280       	714240      	365.145760  	2.560790    	15.76     	3652.666839
0.00090460     	289       	92480       	739840      	364.437364  	2.531903    	17.75     	3396.251070
0.00089472     	299       	95680       	765440      	362.894240  	2.442289    	17.30     	4207.913557
0.00088442     	309       	98880       	791040      	363.238614  	2.472735    	17.43     	4020.137195
0.00087370     	319       	102080      	816640      	361.577811  	2.465098    	16.90     	3732.135261
0.00086260     	329       	105280      	842240      	360.961060  	2.429812    	17.72     	3617.307369
0.00085111     	339       	108480      	867840      	361.987512  	2.369864    	17.69     	3473.257387
0.00083925     	349       	111680      	893440      	361.293287  	2.426111    	16.95     	4082.945551
0.00082705     	359       	114880      	919040      	360.878487  	2.513212    	15.99     	3321.073620
0.00081450     	369       	118080      	944640      	360.075275  	2.376918    	18.52     	4244.385893
0.00080164     	379       	121280      	970240      	359.039013  	2.479633    	18.36     	3409.612015
0.00078846     	389       	124480      	995840      	359.155384  	2.403234    	19.48     	4130.686072
0.00077500     	399       	127680      	1021440     	358.429481  	2.448711    	19.17     	3981.354441
0.00076126     	409       	130880      	1047040     	357.689440  	2.576805    	17.82     	3725.000362
0.00074727     	419       	134080      	1072640     	357.784174  	2.556955    	17.93     	4512.877828
0.00073303     	429       	137280      	1098240     	358.921612  	2.540784    	18.36     	4156.594529
0.00071857     	439       	140480      	1123840     	357.357457  	2.477532    	17.71     	3696.090914
0.00070391     	449       	143680      	1149440     	357.902118  	2.486146    	17.27     	3243.133873
0.00068906     	459       	146880      	1175040     	355.920677  	2.576462    	18.31     	4528.064772
0.00067404     	469       	150080      	1200640     	355.519957  	2.519715    	17.08     	3648.156030
0.00065886     	479       	153280      	1226240     	355.541093  	2.433172    	17.99     	2921.168586
0.00064356     	489       	156480      	1251840     	355.334540  	2.522030    	18.00     	2926.923053
0.00062814     	499       	159680      	1277440     	355.454406  	2.431741    	18.61     	2769.373721
0.00061263     	509       	162880      	1303040     	356.064608  	2.520172    	17.76     	3209.317945
0.00059704     	519       	166080      	1328640     	354.920561  	2.502953    	17.67     	2825.322329
0.00058139     	529       	169280      	1354240     	354.651857  	2.514544    	18.09     	3234.924849
0.00056570     	539       	172480      	1379840     	353.332176  	2.537995    	18.41     	2932.801376
0.00055000     	549       	175680      	1405440     	354.415158  	2.525280    	17.34     	3047.579902
0.00053430     	559       	178880      	1431040     	353.702204  	2.471034    	18.97     	3852.457685
0.00051861     	569       	182080      	1456640     	355.368792  	2.512272    	18.44     	3829.629647
0.00050296     	579       	185280      	1482240     	353.910848  	2.546501    	17.89     	4165.484881
