Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	2880        	23040       	536.603317  	1.704383    	19.96     	4778.509361
0.00020000     	19        	6080        	48640       	518.020563  	1.971846    	13.63     	4355.642394
0.00030000     	29        	9280        	74240       	485.910302  	2.070312    	15.37     	4018.272680
0.00040000     	39        	12480       	99840       	454.474646  	2.141728    	15.38     	3929.729106
0.00050000     	49        	15680       	125440      	427.327957  	1.906241    	20.60     	3874.533368
0.00060000     	59        	18880       	151040      	305.632142  	1.262016    	52.31     	3905.707548
0.00070000     	69        	22080       	176640      	145.396293  	0.605914    	76.08     	3906.122713
0.00080000     	79        	25280       	202240      	88.580772   	0.541603    	79.33     	4023.777125
0.00090000     	89        	28480       	227840      	68.197863   	0.418587    	82.52     	4300.257016
0.00100000     	99        	31680       	253440      	57.598790   	0.381610    	83.63     	4495.994363
0.00099973     	109       	34880       	279040      	49.392233   	0.360070    	84.61     	4557.740211
0.00099890     	119       	38080       	304640      	42.937960   	0.321133    	86.20     	4468.095834
0.00099753     	129       	41280       	330240      	37.967040   	0.318527    	86.88     	4409.753985
0.00099562     	139       	44480       	355840      	34.120518   	0.308050    	87.12     	4292.051799
0.00099316     	149       	47680       	381440      	31.213823   	0.280010    	88.73     	4271.296540
0.00099017     	159       	50880       	407040      	27.905068   	0.281315    	88.41     	4085.711630
0.00098663     	169       	54080       	432640      	25.598315   	0.249442    	89.49     	4211.119166
0.00098257     	179       	57280       	458240      	24.153159   	0.257034    	89.26     	4119.706456
0.00097798     	189       	60480       	483840      	23.534953   	0.241645    	89.18     	4338.055359
0.00097286     	199       	63680       	509440      	22.314881   	0.257578    	89.32     	4224.385633
0.00096723     	209       	66880       	535040      	19.789361   	0.220793    	90.48     	4360.497825
0.00096110     	219       	70080       	560640      	19.472039   	0.258343    	89.62     	4778.238792
0.00095446     	229       	73280       	586240      	19.320935   	0.215197    	91.20     	4932.794958
0.00094733     	239       	76480       	611840      	18.045497   	0.238574    	89.78     	4691.944930
0.00093971     	249       	79680       	637440      	16.393384   	0.217740    	90.98     	4292.432700
0.00093162     	259       	82880       	663040      	16.409749   	0.285236    	88.66     	4149.039981
0.00092307     	269       	86080       	688640      	15.717474   	0.200112    	91.01     	3938.924067
0.00091406     	279       	89280       	714240      	14.566275   	0.197792    	91.71     	4089.065755
0.00090460     	289       	92480       	739840      	14.039243   	0.206006    	91.05     	4163.627445
0.00089472     	299       	95680       	765440      	13.954055   	0.215172    	90.91     	4352.662115
0.00088442     	309       	98880       	791040      	13.189278   	0.203990    	91.84     	4466.781233
0.00087370     	319       	102080      	816640      	12.363306   	0.189738    	91.70     	4605.717375
0.00086260     	329       	105280      	842240      	12.203983   	0.211494    	91.41     	4535.558593
0.00085111     	339       	108480      	867840      	12.487335   	0.229808    	89.96     	4533.274366
0.00083925     	349       	111680      	893440      	11.385498   	0.192871    	91.92     	4563.719743
0.00082705     	359       	114880      	919040      	11.144152   	0.198946    	91.55     	4124.681634
0.00081450     	369       	118080      	944640      	10.704322   	0.180390    	92.37     	4018.737731
0.00080164     	379       	121280      	970240      	10.148336   	0.179538    	92.47     	4134.172917
0.00078846     	389       	124480      	995840      	9.817846    	0.191670    	91.96     	4174.999769
