Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	261.299420  	1.780878    	19.12     	849.892237
0.00020000     	19        	3040        	48640       	256.706094  	1.716698    	20.23     	769.287612
0.00030000     	29        	4640        	74240       	252.385039  	1.808738    	17.97     	758.409413
0.00040000     	39        	6240        	99840       	248.837197  	1.908028    	19.07     	759.710567
0.00050000     	49        	7840        	125440      	245.500266  	1.867567    	18.82     	815.469777
0.00060000     	59        	9440        	151040      	241.749244  	1.845837    	19.55     	771.231179
0.00070000     	69        	11040       	176640      	238.156471  	1.916889    	18.84     	777.082805
0.00080000     	79        	12640       	202240      	236.933771  	1.867845    	18.80     	780.963617
0.00090000     	89        	14240       	227840      	236.067335  	1.815567    	19.20     	769.457992
0.00100000     	99        	15840       	253440      	234.443391  	1.865476    	19.65     	773.090460
0.00099973     	109       	17440       	279040      	234.162911  	1.862486    	19.52     	768.444198
0.00099890     	119       	19040       	304640      	232.914378  	1.878898    	19.80     	751.196479
0.00099753     	129       	20640       	330240      	230.360365  	1.851198    	19.39     	764.375460
0.00099562     	139       	22240       	355840      	229.414056  	1.864168    	20.55     	767.564572
0.00099316     	149       	23840       	381440      	227.019127  	1.900097    	19.24     	773.337271
0.00099017     	159       	25440       	407040      	224.640195  	1.864212    	20.47     	773.291173
0.00098663     	169       	27040       	432640      	224.560072  	1.874805    	19.59     	834.356997
0.00098257     	179       	28640       	458240      	223.569255  	1.966441    	19.72     	781.108580
0.00097798     	189       	30240       	483840      	220.732735  	1.978938    	20.01     	782.404340
0.00097286     	199       	31840       	509440      	219.656104  	1.962002    	19.81     	779.939417
0.00096723     	209       	33440       	535040      	219.413721  	2.017457    	19.56     	779.025875
0.00096110     	219       	35040       	560640      	217.234490  	1.900157    	20.27     	778.654768
0.00095446     	229       	36640       	586240      	216.787945  	1.987812    	19.39     	776.148682
0.00094733     	239       	38240       	611840      	216.675356  	1.939684    	19.51     	763.336560
0.00093971     	249       	39840       	637440      	214.874231  	2.055856    	19.65     	754.733780
0.00093162     	259       	41440       	663040      	213.592401  	2.003711    	19.32     	657.326002
0.00092307     	269       	43040       	688640      	211.814452  	2.061450    	19.83     	386.308718
0.00091406     	279       	44640       	714240      	210.890756  	2.061973    	19.67     	385.911849
0.00090460     	289       	46240       	739840      	209.103396  	2.081244    	20.49     	383.653320
0.00089472     	299       	47840       	765440      	206.951312  	2.107567    	19.95     	388.068530
0.00088442     	309       	49440       	791040      	207.506660  	2.009962    	21.24     	393.304221
0.00087370     	319       	51040       	816640      	207.690461  	2.077778    	19.46     	596.849657
