Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	257.348797  	1.640528    	17.19     	1227.785443
0.00020000     	19        	3040        	48640       	253.078086  	1.679877    	15.70     	1281.323100
0.00030000     	29        	4640        	74240       	246.772575  	1.820590    	14.22     	1289.204065
0.00040000     	39        	6240        	99840       	240.357092  	1.794970    	16.48     	1305.384484
0.00050000     	49        	7840        	125440      	234.215081  	1.807691    	15.08     	1317.462299
0.00060000     	59        	9440        	151040      	224.185944  	1.885559    	17.42     	1325.079789
0.00070000     	69        	11040       	176640      	181.564143  	1.356056    	43.52     	1324.175512
0.00080000     	79        	12640       	202240      	111.726404  	0.884013    	62.81     	1318.369759
0.00090000     	89        	14240       	227840      	78.748469   	0.730723    	69.38     	1307.304539
0.00100000     	99        	15840       	253440      	61.414644   	0.630846    	73.91     	1290.420566
0.00099973     	109       	17440       	279040      	49.525626   	0.534174    	75.23     	1329.082567
0.00099890     	119       	19040       	304640      	42.233875   	0.506568    	78.28     	1314.297951
0.00099753     	129       	20640       	330240      	37.359594   	0.447557    	79.45     	1304.796529
0.00099562     	139       	22240       	355840      	33.436333   	0.429041    	80.78     	1301.713110
0.00099316     	149       	23840       	381440      	30.092352   	0.335437    	86.33     	1252.067708
0.00099017     	159       	25440       	407040      	27.632595   	0.293518    	86.56     	1282.890950
0.00098663     	169       	27040       	432640      	26.016726   	0.292890    	87.11     	1274.625453
0.00098257     	179       	28640       	458240      	23.473128   	0.272729    	86.88     	1271.113693
0.00097798     	189       	30240       	483840      	21.827436   	0.236826    	88.36     	1269.651165
0.00097286     	199       	31840       	509440      	20.324962   	0.239308    	88.12     	1146.264019
0.00096723     	209       	33440       	535040      	18.422569   	0.228630    	88.83     	1126.407198
0.00096110     	219       	35040       	560640      	17.355620   	0.216013    	88.05     	1254.080739
0.00095446     	229       	36640       	586240      	16.254283   	0.193915    	90.86     	1281.345313
0.00094733     	239       	38240       	611840      	15.685078   	0.183806    	90.00     	1262.451602
0.00093971     	249       	39840       	637440      	14.822432   	0.173478    	91.56     	1275.346825
0.00093162     	259       	41440       	663040      	14.200151   	0.198798    	90.70     	1274.179629
0.00092307     	269       	43040       	688640      	14.064198   	0.188380    	90.47     	1262.278733
0.00091406     	279       	44640       	714240      	14.405057   	0.190837    	91.02     	1274.617500
0.00090460     	289       	46240       	739840      	13.292439   	0.187653    	90.31     	1280.503122
0.00089472     	299       	47840       	765440      	12.666086   	0.173287    	88.83     	1274.302972
0.00088442     	309       	49440       	791040      	12.470333   	0.166254    	90.55     	1278.189675
0.00087370     	319       	51040       	816640      	12.580186   	0.169543    	93.28     	1288.903139
0.00086260     	329       	52640       	842240      	12.529518   	0.165770    	91.64     	1271.930752
0.00085111     	339       	54240       	867840      	12.097910   	0.163824    	90.70     	1279.954982
0.00083925     	349       	55840       	893440      	11.681014   	0.153235    	92.27     	1274.300737
0.00082705     	359       	57440       	919040      	11.125449   	0.163815    	91.80     	1287.335130
0.00081450     	369       	59040       	944640      	11.254996   	0.131843    	93.52     	1270.037900
0.00080164     	379       	60640       	970240      	11.054269   	0.140792    	93.83     	1221.049660
0.00078846     	389       	62240       	995840      	10.485680   	0.162773    	91.33     	1159.089081
0.00077500     	399       	63840       	1021440     	10.470482   	0.144495    	92.50     	1147.947854
0.00076126     	409       	65440       	1047040     	10.501848   	0.146034    	91.80     	1280.016501
0.00074727     	419       	67040       	1072640     	10.340833   	0.153889    	91.80     	1275.016296
0.00073303     	429       	68640       	1098240     	9.838230    	0.110936    	93.98     	1278.749664
0.00071857     	439       	70240       	1123840     	9.732774    	0.138082    	92.34     	1286.375545
0.00070391     	449       	71840       	1149440     	9.081440    	0.143143    	93.28     	1248.784445
0.00068906     	459       	73440       	1175040     	8.930729    	0.139630    	92.89     	1263.544722
0.00067404     	469       	75040       	1200640     	8.799395    	0.133797    	94.14     	1253.842362
0.00065886     	479       	76640       	1226240     	8.372048    	0.124670    	92.97     	1257.558894
0.00064356     	489       	78240       	1251840     	8.631873    	0.117038    	94.61     	1281.638550
0.00062814     	499       	79840       	1277440     	7.867736    	0.124529    	94.14     	1250.137066
0.00061263     	509       	81440       	1303040     	8.105099    	0.132526    	93.05     	1263.443727
0.00059704     	519       	83040       	1328640     	8.204251    	0.124411    	94.38     	1249.689806
0.00058139     	529       	84640       	1354240     	7.706258    	0.119192    	93.67     	1254.190378
0.00056570     	539       	86240       	1379840     	7.492529    	0.108889    	94.38     	1277.396699
0.00055000     	549       	87840       	1405440     	7.510811    	0.118593    	93.91     	1259.353585
0.00053430     	559       	89440       	1431040     	7.421214    	0.110247    	93.98     	1256.092726
0.00051861     	569       	91040       	1456640     	7.188301    	0.110931    	94.06     	1139.439281
0.00050296     	579       	92640       	1482240     	7.340757    	0.115214    	92.89     	1103.821530
0.00048737     	589       	94240       	1507840     	6.753112    	0.097943    	94.92     	1264.461423
0.00047186     	599       	95840       	1533440     	6.621011    	0.109985    	94.30     	1267.926013
0.00045644     	609       	97440       	1559040     	6.626338    	0.100499    	95.23     	1261.221757
0.00044114     	619       	99040       	1584640     	6.428353    	0.112830    	93.83     	1269.641128
0.00042596     	629       	100640      	1610240     	6.208278    	0.114305    	93.52     	1273.306075
0.00041094     	639       	102240      	1635840     	6.512594    	0.110834    	94.14     	1289.315218
0.00039609     	649       	103840      	1661440     	6.166428    	0.108851    	95.31     	1284.943075
0.00038143     	659       	105440      	1687040     	6.001333    	0.098382    	94.22     	1274.441186
0.00036697     	669       	107040      	1712640     	6.140195    	0.106943    	94.61     	1255.163079
0.00035273     	679       	108640      	1738240     	5.899997    	0.102085    	94.30     	1255.673170
0.00033874     	689       	110240      	1763840     	5.641429    	0.095484    	95.31     	1274.645473
0.00032500     	699       	111840      	1789440     	5.451845    	0.095613    	93.98     	1260.560906
0.00031154     	709       	113440      	1815040     	5.673649    	0.087444    	95.23     	1286.363986
0.00029836     	719       	115040      	1840640     	5.688105    	0.102407    	94.38     	1264.265271
0.00028550     	729       	116640      	1866240     	5.758747    	0.096542    	94.69     	1273.798107
0.00027295     	739       	118240      	1891840     	5.590400    	0.093926    	95.31     	1291.056567
0.00026075     	749       	119840      	1917440     	5.380146    	0.099320    	93.91     	1280.122328
0.00024889     	759       	121440      	1943040     	5.250579    	0.091148    	95.00     	1267.463736
0.00023740     	769       	123040      	1968640     	5.421797    	0.095751    	95.70     	1169.612531
0.00022630     	779       	124640      	1994240     	5.111159    	0.088500    	95.31     	1141.989469
0.00021558     	789       	126240      	2019840     	4.869336    	0.089089    	95.47     	1206.495264
0.00020528     	799       	127840      	2045440     	5.130602    	0.089078    	95.47     	1259.252990
0.00019540     	809       	129440      	2071040     	4.911867    	0.080193    	95.47     	1275.799140
0.00018594     	819       	131040      	2096640     	4.758970    	0.082897    	96.25     	1283.356917
0.00017693     	829       	132640      	2122240     	4.995368    	0.082712    	95.86     	1256.752233
0.00016838     	839       	134240      	2147840     	4.752792    	0.083127    	93.98     	1280.981783
0.00016029     	849       	135840      	2173440     	4.737181    	0.082585    	95.78     	1265.021411
0.00015267     	859       	137440      	2199040     	4.708470    	0.073996    	95.94     	1277.426093
0.00014554     	869       	139040      	2224640     	4.728829    	0.078166    	96.33     	1271.535849
0.00013890     	879       	140640      	2250240     	4.700857    	0.094887    	94.77     	1273.684080
0.00013277     	889       	142240      	2275840     	4.539073    	0.084667    	94.92     	1287.794074
0.00012714     	899       	143840      	2301440     	4.566135    	0.091624    	94.45     	1262.627099
0.00012202     	909       	145440      	2327040     	4.536377    	0.083107    	95.39     	1280.593703
0.00011743     	919       	147040      	2352640     	4.429918    	0.089407    	95.62     	1276.491313
0.00011337     	929       	148640      	2378240     	4.560717    	0.093617    	94.45     	1270.017753
0.00010983     	939       	150240      	2403840     	4.543012    	0.083790    	95.47     	1168.069264
0.00010684     	949       	151840      	2429440     	4.362345    	0.084932    	95.31     	1127.939054
0.00010438     	959       	153440      	2455040     	4.252367    	0.076123    	95.39     	1263.099190
0.00010247     	969       	155040      	2480640     	4.426492    	0.086294    	95.08     	1285.785168
0.00010110     	979       	156640      	2506240     	4.169249    	0.088986    	96.02     	1267.278441
0.00010027     	989       	158240      	2531840     	4.254457    	0.087608    	95.08     	1283.470802
0.00010000     	999       	159840      	2557440     	4.225136    	0.081462    	96.17     	1270.988759
