Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	252.466228  	1.722869    	18.57     	2013.745954
0.00020000     	19        	3040        	48640       	244.951274  	1.716682    	20.23     	2548.363390
0.00030000     	29        	4640        	74240       	241.953609  	1.785414    	17.58     	2563.914319
0.00040000     	39        	6240        	99840       	239.030856  	1.752035    	18.56     	2557.676576
0.00050000     	49        	7840        	125440      	235.839303  	1.750490    	19.55     	2554.133072
0.00060000     	59        	9440        	151040      	230.665271  	1.812643    	20.91     	2548.968445
0.00070000     	69        	11040       	176640      	224.381019  	1.759087    	22.77     	2555.195509
0.00080000     	79        	12640       	202240      	219.426305  	1.715865    	24.30     	2557.335981
0.00090000     	89        	14240       	227840      	213.656748  	1.677688    	26.12     	2506.810855
0.00100000     	99        	15840       	253440      	207.585220  	1.674059    	28.10     	2545.301577
0.00099973     	109       	17440       	279040      	204.513952  	1.661272    	28.98     	2558.875547
0.00099890     	119       	19040       	304640      	198.591591  	1.630559    	29.29     	2566.350310
0.00099753     	129       	20640       	330240      	188.935851  	1.587453    	33.99     	2547.503166
0.00099562     	139       	22240       	355840      	181.228704  	1.609794    	35.34     	2553.563125
0.00099316     	149       	23840       	381440      	174.856152  	1.535980    	37.45     	2787.242103
0.00099017     	159       	25440       	407040      	168.892455  	1.569087    	36.92     	2131.807802
0.00098663     	169       	27040       	432640      	163.672255  	1.557294    	37.29     	2523.964345
0.00098257     	179       	28640       	458240      	159.203690  	1.525382    	38.97     	2550.093144
0.00097798     	189       	30240       	483840      	156.174286  	1.521247    	38.53     	2550.727437
0.00097286     	199       	31840       	509440      	152.408074  	1.541625    	39.26     	2550.009199
0.00096723     	209       	33440       	535040      	147.549822  	1.583726    	39.02     	2550.750073
0.00096110     	219       	35040       	560640      	145.755207  	1.556851    	40.15     	2556.780477
0.00095446     	229       	36640       	586240      	142.980683  	1.580096    	38.60     	2555.203440
0.00094733     	239       	38240       	611840      	141.776457  	1.585195    	38.73     	2550.621599
0.00093971     	249       	39840       	637440      	138.021781  	1.555370    	40.49     	2548.915997
0.00093162     	259       	41440       	663040      	137.342397  	1.502194    	40.95     	2552.105833
0.00092307     	269       	43040       	688640      	134.330130  	1.589962    	39.74     	2547.894337
0.00091406     	279       	44640       	714240      	131.704834  	1.544802    	39.41     	2548.655837
0.00090460     	289       	46240       	739840      	128.370711  	1.533070    	42.28     	2551.186178
0.00089472     	299       	47840       	765440      	127.246576  	1.504085    	42.41     	2553.288882
0.00088442     	309       	49440       	791040      	123.439224  	1.523347    	41.95     	2542.793531
0.00087370     	319       	51040       	816640      	121.881455  	1.511885    	41.13     	2558.697348
0.00086260     	329       	52640       	842240      	120.056661  	1.497124    	42.68     	2519.906726
0.00085111     	339       	54240       	867840      	119.944181  	1.489802    	42.63     	2553.480151
0.00083925     	349       	55840       	893440      	117.681215  	1.561555    	41.20     	2544.853213
0.00082705     	359       	57440       	919040      	115.635646  	1.526481    	42.45     	2555.175091
0.00081450     	369       	59040       	944640      	115.438461  	1.512717    	42.31     	2569.116342
0.00080164     	379       	60640       	970240      	114.186724  	1.556615    	41.73     	2687.993420
0.00078846     	389       	62240       	995840      	112.047179  	1.524093    	42.00     	2403.064607
0.00077500     	399       	63840       	1021440     	110.880859  	1.557082    	40.73     	2541.376608
0.00076126     	409       	65440       	1047040     	110.456407  	1.477559    	42.98     	2514.808544
0.00074727     	419       	67040       	1072640     	109.315536  	1.542064    	42.01     	2506.576439
0.00073303     	429       	68640       	1098240     	107.450492  	1.496760    	43.68     	2518.205546
0.00071857     	439       	70240       	1123840     	106.418139  	1.499524    	41.79     	2581.046788
0.00070391     	449       	71840       	1149440     	103.480880  	1.590917    	41.71     	2563.036823
0.00068906     	459       	73440       	1175040     	103.378184  	1.554961    	42.40     	2550.296275
0.00067404     	469       	75040       	1200640     	102.982757  	1.566834    	41.34     	2542.719240
0.00065886     	479       	76640       	1226240     	100.932108  	1.618404    	41.35     	2542.446898
0.00064356     	489       	78240       	1251840     	101.180883  	1.536771    	43.64     	2532.368243
