Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	251.274140  	1.765196    	18.52     	756.151757
0.00020000     	19        	3040        	48640       	244.349340  	1.711691    	19.95     	758.747284
0.00030000     	29        	4640        	74240       	241.633617  	1.794883    	18.97     	762.778971
0.00040000     	39        	6240        	99840       	238.581506  	1.805116    	19.73     	777.656578
0.00050000     	49        	7840        	125440      	235.164571  	1.705257    	19.82     	761.470161
0.00060000     	59        	9440        	151040      	228.550837  	1.830263    	23.06     	766.746173
0.00070000     	69        	11040       	176640      	219.245329  	1.679117    	26.77     	768.539597
0.00080000     	79        	12640       	202240      	203.537414  	1.600350    	32.94     	762.158509
0.00090000     	89        	14240       	227840      	189.830779  	1.610907    	33.77     	757.970005
0.00100000     	99        	15840       	253440      	177.873564  	1.620291    	36.95     	760.174453
0.00099973     	109       	17440       	279040      	167.153550  	1.559372    	36.70     	752.711677
0.00099890     	119       	19040       	304640      	159.115633  	1.545505    	36.69     	1135.059360
0.00099753     	129       	20640       	330240      	150.111396  	1.468789    	39.80     	1283.083728
0.00099562     	139       	22240       	355840      	143.279898  	1.540973    	39.27     	1263.887642
0.00099316     	149       	23840       	381440      	137.762725  	1.437483    	41.27     	866.155271
0.00099017     	159       	25440       	407040      	131.551003  	1.493349    	40.30     	768.459525
0.00098663     	169       	27040       	432640      	127.431323  	1.532021    	40.17     	764.449809
0.00098257     	179       	28640       	458240      	122.803414  	1.552613    	39.77     	754.278042
0.00097798     	189       	30240       	483840      	118.985114  	1.610843    	39.84     	750.869342
0.00097286     	199       	31840       	509440      	115.922766  	1.534665    	43.13     	750.023418
0.00096723     	209       	33440       	535040      	113.190006  	1.578351    	40.69     	749.398325
0.00096110     	219       	35040       	560640      	110.836359  	1.547899    	41.57     	748.186088
0.00095446     	229       	36640       	586240      	108.050423  	1.510551    	40.55     	749.834527
0.00094733     	239       	38240       	611840      	106.460962  	1.607599    	39.20     	746.432594
0.00093971     	249       	39840       	637440      	103.427727  	1.532992    	41.13     	747.625722
0.00093162     	259       	41440       	663040      	101.882295  	1.571146    	41.90     	748.536961
0.00092307     	269       	43040       	688640      	99.274331   	1.581077    	40.88     	748.967416
0.00091406     	279       	44640       	714240      	97.055804   	1.634829    	38.83     	752.040037
0.00090460     	289       	46240       	739840      	95.276589   	1.506235    	43.11     	754.410212
0.00089472     	299       	47840       	765440      	95.081091   	1.544968    	42.15     	748.108076
0.00088442     	309       	49440       	791040      	93.387115   	1.560801    	41.17     	747.380285
0.00087370     	319       	51040       	816640      	92.127251   	1.521578    	41.70     	747.619676
0.00086260     	329       	52640       	842240      	90.106936   	1.566530    	41.52     	749.056356
0.00085111     	339       	54240       	867840      	89.020256   	1.552741    	41.64     	748.019400
0.00083925     	349       	55840       	893440      	87.988800   	1.576343    	42.21     	749.434329
0.00082705     	359       	57440       	919040      	85.991966   	1.637470    	41.34     	748.317588
0.00081450     	369       	59040       	944640      	86.331325   	1.565711    	41.96     	749.986624
0.00080164     	379       	60640       	970240      	84.197935   	1.657219    	40.69     	748.871337
0.00078846     	389       	62240       	995840      	83.827413   	1.632739    	40.41     	747.712704
0.00077500     	399       	63840       	1021440     	83.450901   	1.555484    	41.31     	750.418940
0.00076126     	409       	65440       	1047040     	82.482057   	1.567737    	42.80     	754.293668
0.00074727     	419       	67040       	1072640     	80.994129   	1.668845    	41.65     	752.672514
0.00073303     	429       	68640       	1098240     	81.299008   	1.604179    	41.94     	767.406478
0.00071857     	439       	70240       	1123840     	80.468000   	1.606402    	41.58     	787.975054
0.00070391     	449       	71840       	1149440     	78.807655   	1.653378    	42.39     	767.514042
0.00068906     	459       	73440       	1175040     	77.648941   	1.605219    	42.21     	762.211762
0.00067404     	469       	75040       	1200640     	76.599090   	1.589447    	42.82     	759.017624
0.00065886     	479       	76640       	1226240     	76.654346   	1.598168    	41.70     	750.705326
0.00064356     	489       	78240       	1251840     	75.218158   	1.682839    	40.76     	749.743184
0.00062814     	499       	79840       	1277440     	74.722911   	1.595882    	42.62     	750.435261
0.00061263     	509       	81440       	1303040     	74.040715   	1.613312    	42.45     	763.820282
0.00059704     	519       	83040       	1328640     	72.517127   	1.596587    	42.19     	749.153043
0.00058139     	529       	84640       	1354240     	71.005201   	1.662813    	40.96     	750.398866
0.00056570     	539       	86240       	1379840     	70.790698   	1.567501    	42.21     	755.438156
0.00055000     	549       	87840       	1405440     	68.850975   	1.577395    	43.73     	750.552004
0.00053430     	559       	89440       	1431040     	68.614581   	1.607690    	42.15     	775.141741
0.00051861     	569       	91040       	1456640     	66.980612   	1.614543    	42.20     	754.528621
0.00050296     	579       	92640       	1482240     	67.315227   	1.594551    	42.30     	753.502208
0.00048737     	589       	94240       	1507840     	67.478812   	1.608317    	41.26     	754.055808
0.00047186     	599       	95840       	1533440     	65.217196   	1.593445    	43.65     	749.943209
0.00045644     	609       	97440       	1559040     	64.396305   	1.600558    	42.59     	761.141888
0.00044114     	619       	99040       	1584640     	62.747023   	1.585365    	43.33     	751.516855
0.00042596     	629       	100640      	1610240     	62.748384   	1.629694    	42.56     	753.294113
0.00041094     	639       	102240      	1635840     	61.738489   	1.655137    	43.66     	753.110354
0.00039609     	649       	103840      	1661440     	62.049390   	1.643568    	41.41     	755.942305
0.00038143     	659       	105440      	1687040     	61.372430   	1.664685    	42.00     	855.109085
0.00036697     	669       	107040      	1712640     	61.213922   	1.678858    	41.70     	756.614654
0.00035273     	679       	108640      	1738240     	59.484581   	1.731113    	43.09     	765.141463
0.00033874     	689       	110240      	1763840     	58.622461   	1.678006    	42.21     	755.212479
0.00032500     	699       	111840      	1789440     	58.367945   	1.637093    	42.98     	1075.545107
0.00031154     	709       	113440      	1815040     	57.327586   	1.686025    	41.99     	1962.170165
0.00029836     	719       	115040      	1840640     	56.518242   	1.682436    	42.41     	1956.600712
0.00028550     	729       	116640      	1866240     	56.121004   	1.643667    	43.12     	1950.435028
0.00027295     	739       	118240      	1891840     	54.779505   	1.759923    	41.29     	1947.722022
0.00026075     	749       	119840      	1917440     	54.785425   	1.669966    	42.48     	1978.299756
0.00024889     	759       	121440      	1943040     	53.214970   	1.661978    	43.51     	1950.027773
0.00023740     	769       	123040      	1968640     	52.842611   	1.650527    	43.79     	1945.099152
0.00022630     	779       	124640      	1994240     	52.843768   	1.704151    	43.21     	1948.178255
0.00021558     	789       	126240      	2019840     	51.693962   	1.692186    	42.81     	1944.512278
0.00020528     	799       	127840      	2045440     	52.761110   	1.740720    	41.98     	1938.644635
0.00019540     	809       	129440      	2071040     	51.669100   	1.689498    	42.06     	1914.951638
0.00018594     	819       	131040      	2096640     	50.928718   	1.671312    	41.66     	1930.182797
0.00017693     	829       	132640      	2122240     	50.458982   	1.663924    	43.50     	1941.803709
0.00016838     	839       	134240      	2147840     	49.601353   	1.716460    	42.67     	1943.944172
0.00016029     	849       	135840      	2173440     	49.807832   	1.670304    	42.21     	1929.619605
0.00015267     	859       	137440      	2199040     	48.744810   	1.725669    	41.82     	1936.404320
0.00014554     	869       	139040      	2224640     	49.515924   	1.680246    	43.45     	1951.377352
0.00013890     	879       	140640      	2250240     	48.359580   	1.702276    	43.73     	1937.196759
0.00013277     	889       	142240      	2275840     	48.027546   	1.656646    	43.77     	1946.143419
0.00012714     	899       	143840      	2301440     	47.656122   	1.668440    	43.41     	1958.813731
0.00012202     	909       	145440      	2327040     	47.348798   	1.738391    	41.38     	1954.079870
0.00011743     	919       	147040      	2352640     	47.057418   	1.732762    	42.93     	1939.688365
0.00011337     	929       	148640      	2378240     	46.141571   	1.711680    	42.27     	1935.685281
0.00010983     	939       	150240      	2403840     	47.134689   	1.690763    	43.23     	1944.332846
0.00010684     	949       	151840      	2429440     	46.461398   	1.673969    	43.42     	1975.089976
0.00010438     	959       	153440      	2455040     	46.566193   	1.662641    	44.02     	1756.421656
0.00010247     	969       	155040      	2480640     	45.698391   	1.665505    	42.80     	1581.935730
0.00010110     	979       	156640      	2506240     	46.253273   	1.654587    	43.99     	1574.746188
0.00010027     	989       	158240      	2531840     	45.697491   	1.678662    	42.80     	1578.871658
0.00010000     	999       	159840      	2557440     	45.507877   	1.680605    	43.46     	1585.665915
