Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	254.818319  	1.714362    	18.98     	1405.134577
0.00020000     	19        	3040        	48640       	250.829823  	1.727086    	19.74     	1440.958872
0.00030000     	29        	4640        	74240       	248.436373  	1.790752    	19.77     	1392.844374
0.00040000     	39        	6240        	99840       	245.869782  	1.835255    	18.91     	1400.197798
0.00050000     	49        	7840        	125440      	241.631655  	1.778317    	19.23     	1368.638145
0.00060000     	59        	9440        	151040      	237.994985  	1.800715    	19.46     	1394.970851
0.00070000     	69        	11040       	176640      	235.387908  	1.872675    	17.99     	1374.260150
0.00080000     	79        	12640       	202240      	232.884685  	1.831846    	18.75     	1389.330973
0.00090000     	89        	14240       	227840      	231.063490  	1.846422    	18.59     	1380.585566
0.00100000     	99        	15840       	253440      	229.279260  	1.912560    	18.86     	1394.758054
0.00099973     	109       	17440       	279040      	227.269389  	1.886712    	17.70     	1383.551378
0.00099890     	119       	19040       	304640      	225.357119  	1.955328    	19.40     	1392.890496
0.00099753     	129       	20640       	330240      	223.417479  	1.931890    	18.25     	1399.500994
0.00099562     	139       	22240       	355840      	222.246315  	1.886255    	19.78     	1388.767547
0.00099316     	149       	23840       	381440      	220.305863  	1.968678    	18.77     	1393.945266
0.00099017     	159       	25440       	407040      	218.865040  	2.035233    	18.90     	1387.432226
0.00098663     	169       	27040       	432640      	217.428358  	1.944322    	20.12     	1913.985404
0.00098257     	179       	28640       	458240      	215.996770  	2.041054    	18.87     	1622.422418
0.00097798     	189       	30240       	483840      	214.544502  	2.050950    	18.76     	1382.147884
0.00097286     	199       	31840       	509440      	213.615993  	1.995726    	20.21     	1384.425711
0.00096723     	209       	33440       	535040      	212.444029  	1.992873    	18.40     	1381.203275
0.00096110     	219       	35040       	560640      	211.187912  	2.041603    	20.27     	1398.867088
0.00095446     	229       	36640       	586240      	210.567038  	2.037915    	17.87     	1374.686623
0.00094733     	239       	38240       	611840      	210.342747  	2.011549    	20.05     	1394.866038
0.00093971     	249       	39840       	637440      	208.652532  	2.051404    	18.53     	1383.079053
0.00093162     	259       	41440       	663040      	208.387845  	2.040869    	18.84     	1398.433636
0.00092307     	269       	43040       	688640      	207.207225  	2.048646    	19.05     	1413.822970
0.00091406     	279       	44640       	714240      	206.043027  	2.156030    	19.61     	1412.664661
0.00090460     	289       	46240       	739840      	205.501968  	2.108114    	18.42     	1480.793715
0.00089472     	299       	47840       	765440      	204.113928  	2.162389    	18.74     	1242.425580
0.00088442     	309       	49440       	791040      	203.513982  	2.172798    	19.16     	1373.154427
0.00087370     	319       	51040       	816640      	203.172486  	2.124793    	18.57     	1373.704978
0.00086260     	329       	52640       	842240      	202.129082  	2.218882    	17.77     	1386.742188
0.00085111     	339       	54240       	867840      	201.348029  	2.134910    	18.70     	1395.149404
0.00083925     	349       	55840       	893440      	201.339161  	2.191107    	18.68     	1960.701438
0.00082705     	359       	57440       	919040      	200.657276  	2.183604    	18.36     	1727.153991
0.00081450     	369       	59040       	944640      	199.978658  	2.168105    	18.17     	1364.264980
0.00080164     	379       	60640       	970240      	199.291145  	2.163086    	19.80     	2002.388273
0.00078846     	389       	62240       	995840      	199.405509  	2.125668    	19.76     	1272.659462
0.00077500     	399       	63840       	1021440     	199.059446  	2.139899    	17.97     	1381.948183
0.00076126     	409       	65440       	1047040     	197.702296  	2.196162    	18.86     	1383.555538
0.00074727     	419       	67040       	1072640     	197.715472  	2.207693    	19.07     	1378.838245
0.00073303     	429       	68640       	1098240     	196.405455  	2.243087    	18.93     	1379.886818
0.00071857     	439       	70240       	1123840     	196.424899  	2.210436    	18.44     	1380.169301
0.00070391     	449       	71840       	1149440     	195.582730  	2.165230    	18.65     	1382.628636
0.00068906     	459       	73440       	1175040     	194.874831  	2.243608    	19.40     	1390.607733
0.00067404     	469       	75040       	1200640     	195.369587  	2.237834    	17.75     	1386.659955
0.00065886     	479       	76640       	1226240     	194.345668  	2.261265    	17.20     	1378.526258
0.00064356     	489       	78240       	1251840     	194.332415  	2.236759    	18.59     	1397.224592
0.00062814     	499       	79840       	1277440     	193.511232  	2.203569    	18.08     	1390.101844
0.00061263     	509       	81440       	1303040     	192.475997  	2.264203    	17.75     	1377.707026
0.00059704     	519       	83040       	1328640     	192.298839  	2.232026    	19.07     	1385.054843
0.00058139     	529       	84640       	1354240     	192.281997  	2.268408    	18.30     	1372.185529
0.00056570     	539       	86240       	1379840     	191.910665  	2.295344    	19.59     	1416.684197
0.00055000     	549       	87840       	1405440     	192.049097  	2.220206    	18.56     	1374.295532
0.00053430     	559       	89440       	1431040     	190.721309  	2.235021    	18.50     	1396.507999
0.00051861     	569       	91040       	1456640     	190.970119  	2.245802    	19.27     	1463.939968
0.00050296     	579       	92640       	1482240     	190.677110  	2.267241    	18.95     	1289.577034
0.00048737     	589       	94240       	1507840     	189.822392  	2.247089    	18.65     	1690.547646
0.00047186     	599       	95840       	1533440     	189.847637  	2.272745    	18.86     	1128.742393
0.00045644     	609       	97440       	1559040     	189.124938  	2.316146    	18.34     	1385.769710
0.00044114     	619       	99040       	1584640     	189.217962  	2.276715    	17.95     	1434.074729
0.00042596     	629       	100640      	1610240     	188.662229  	2.300463    	18.07     	1373.634383
0.00041094     	639       	102240      	1635840     	188.393412  	2.309156    	18.37     	1465.650917
0.00039609     	649       	103840      	1661440     	188.059813  	2.309570    	18.42     	1363.221562
0.00038143     	659       	105440      	1687040     	187.829975  	2.299349    	18.77     	3406.170488
0.00036697     	669       	107040      	1712640     	186.970805  	2.268778    	19.45     	2785.199508
0.00035273     	679       	108640      	1738240     	187.233323  	2.333901    	19.70     	2731.514757
0.00033874     	689       	110240      	1763840     	187.246415  	2.326673    	18.56     	3232.170260
0.00032500     	699       	111840      	1789440     	186.879531  	2.323468    	18.62     	1620.852825
0.00031154     	709       	113440      	1815040     	186.584236  	2.322611    	18.44     	2968.252773
0.00029836     	719       	115040      	1840640     	186.230613  	2.332119    	18.06     	2290.806544
0.00028550     	729       	116640      	1866240     	186.228566  	2.338333    	17.84     	3121.727647
0.00027295     	739       	118240      	1891840     	185.703205  	2.316982    	18.86     	1353.660174
0.00026075     	749       	119840      	1917440     	185.834554  	2.334894    	17.09     	1373.726901
0.00024889     	759       	121440      	1943040     	185.522081  	2.330447    	19.67     	1379.082599
0.00023740     	769       	123040      	1968640     	184.985294  	2.351792    	18.54     	3596.925218
0.00022630     	779       	124640      	1994240     	184.812999  	2.319674    	18.55     	1118.249185
0.00021558     	789       	126240      	2019840     	184.841803  	2.330047    	18.79     	1113.721956
0.00020528     	799       	127840      	2045440     	185.312163  	2.319430    	18.35     	2694.610469
0.00019540     	809       	129440      	2071040     	184.268634  	2.357704    	18.91     	1261.420208
0.00018594     	819       	131040      	2096640     	184.827607  	2.339230    	19.38     	1119.296115
0.00017693     	829       	132640      	2122240     	184.207679  	2.345169    	18.34     	1153.922290
0.00016838     	839       	134240      	2147840     	184.182017  	2.319104    	19.24     	1436.397052
0.00016029     	849       	135840      	2173440     	183.832152  	2.346849    	19.48     	1904.782112
0.00015267     	859       	137440      	2199040     	182.914706  	2.355665    	19.20     	1127.325096
0.00014554     	869       	139040      	2224640     	183.879727  	2.339581    	18.24     	2394.711090
0.00013890     	879       	140640      	2250240     	183.301799  	2.328892    	18.30     	983.923109
0.00013277     	889       	142240      	2275840     	182.960560  	2.327246    	18.40     	1133.014977
0.00012714     	899       	143840      	2301440     	183.835546  	2.315151    	18.59     	1089.702305
0.00012202     	909       	145440      	2327040     	182.598472  	2.356353    	18.69     	1531.446865
0.00011743     	919       	147040      	2352640     	183.220350  	2.365954    	18.25     	2147.505699
0.00011337     	929       	148640      	2378240     	182.669751  	2.357174    	19.25     	1125.518592
0.00010983     	939       	150240      	2403840     	182.911963  	2.323729    	19.40     	1467.094311
0.00010684     	949       	151840      	2429440     	182.339099  	2.361171    	18.55     	1102.524661
0.00010438     	959       	153440      	2455040     	183.333709  	2.352345    	19.38     	1108.526051
0.00010247     	969       	155040      	2480640     	181.850699  	2.373986    	19.16     	1145.330839
0.00010110     	979       	156640      	2506240     	182.463519  	2.367838    	18.61     	1064.119394
0.00010027     	989       	158240      	2531840     	182.514930  	2.368004    	18.63     	1117.115967
0.00010000     	999       	159840      	2557440     	181.741357  	2.350882    	18.74     	1093.868450
