Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	253.969063  	1.739908    	18.67     	1098.763809
0.00020000     	19        	3040        	48640       	248.999277  	1.707015    	20.15     	1351.991285
0.00030000     	29        	4640        	74240       	245.467444  	1.799890    	19.40     	1387.520481
0.00040000     	39        	6240        	99840       	241.898806  	1.824228    	19.87     	1357.888647
0.00050000     	49        	7840        	125440      	239.541404  	1.802324    	18.84     	1389.120482
0.00060000     	59        	9440        	151040      	237.757953  	1.875945    	19.38     	1366.116719
0.00070000     	69        	11040       	176640      	235.067710  	1.805294    	20.45     	1373.485949
0.00080000     	79        	12640       	202240      	229.470468  	1.826319    	19.61     	1395.339018
0.00090000     	89        	14240       	227840      	218.937981  	1.703660    	25.88     	1681.422958
0.00100000     	99        	15840       	253440      	205.682438  	1.650668    	29.82     	1530.610639
0.00099973     	109       	17440       	279040      	194.070184  	1.628370    	31.25     	1874.493603
0.00099890     	119       	19040       	304640      	184.140743  	1.585127    	34.73     	1982.216593
0.00099753     	129       	20640       	330240      	175.422508  	1.580151    	34.30     	1859.366382
0.00099562     	139       	22240       	355840      	170.141739  	1.554548    	36.51     	1848.423955
0.00099316     	149       	23840       	381440      	162.860878  	1.543571    	37.20     	2774.166148
0.00099017     	159       	25440       	407040      	155.617359  	1.530838    	37.74     	2483.040545
0.00098663     	169       	27040       	432640      	150.057437  	1.574131    	38.31     	2029.914578
0.00098257     	179       	28640       	458240      	143.860367  	1.553445    	40.09     	2468.623055
0.00097798     	189       	30240       	483840      	138.641337  	1.519033    	40.07     	1456.881597
0.00097286     	199       	31840       	509440      	133.738526  	1.534621    	40.87     	2920.403134
0.00096723     	209       	33440       	535040      	129.719346  	1.555475    	40.62     	1838.562239
0.00096110     	219       	35040       	560640      	124.637161  	1.526512    	41.11     	1758.665334
0.00095446     	229       	36640       	586240      	121.716039  	1.582733    	39.42     	1890.246489
0.00094733     	239       	38240       	611840      	118.644185  	1.520254    	40.68     	3280.370252
0.00093971     	249       	39840       	637440      	114.490924  	1.510587    	42.31     	1783.560247
0.00093162     	259       	41440       	663040      	112.371076  	1.614388    	42.03     	1882.255056
0.00092307     	269       	43040       	688640      	109.345953  	1.598570    	42.90     	3072.106972
0.00091406     	279       	44640       	714240      	106.756449  	1.659545    	37.86     	2806.727772
0.00090460     	289       	46240       	739840      	104.421623  	1.555285    	42.75     	2211.482486
0.00089472     	299       	47840       	765440      	103.943063  	1.565042    	41.67     	1180.955842
0.00088442     	309       	49440       	791040      	101.348316  	1.567292    	42.70     	2478.795937
0.00087370     	319       	51040       	816640      	98.870808   	1.518965    	42.45     	1908.828204
0.00086260     	329       	52640       	842240      	96.215675   	1.550120    	42.59     	1724.797571
0.00085111     	339       	54240       	867840      	94.449556   	1.535270    	43.88     	1875.092392
0.00083925     	349       	55840       	893440      	93.017762   	1.551075    	42.83     	2000.240018
0.00082705     	359       	57440       	919040      	90.798023   	1.546968    	43.84     	1300.054457
0.00081450     	369       	59040       	944640      	90.382757   	1.536152    	43.63     	1878.528275
0.00080164     	379       	60640       	970240      	87.563427   	1.592368    	43.43     	1766.369654
0.00078846     	389       	62240       	995840      	87.504127   	1.597693    	41.39     	1888.887334
0.00077500     	399       	63840       	1021440     	86.484966   	1.592393    	42.28     	1877.296051
0.00076126     	409       	65440       	1047040     	84.966206   	1.573723    	42.87     	1890.487554
0.00074727     	419       	67040       	1072640     	82.617735   	1.606778    	43.10     	1869.880730
0.00073303     	429       	68640       	1098240     	81.333786   	1.583246    	43.52     	1873.580009
0.00071857     	439       	70240       	1123840     	80.342730   	1.607509    	42.13     	1870.718632
0.00070391     	449       	71840       	1149440     	79.014681   	1.533522    	44.91     	1860.167449
0.00068906     	459       	73440       	1175040     	77.737755   	1.523899    	44.59     	1882.848968
0.00067404     	469       	75040       	1200640     	77.276614   	1.575267    	42.63     	1872.329090
0.00065886     	479       	76640       	1226240     	76.519718   	1.610747    	42.59     	2203.187355
0.00064356     	489       	78240       	1251840     	74.772477   	1.651625    	42.38     	2149.904848
0.00062814     	499       	79840       	1277440     	73.403408   	1.621553    	43.56     	2754.285370
0.00061263     	509       	81440       	1303040     	72.899928   	1.620312    	42.84     	2337.024108
0.00059704     	519       	83040       	1328640     	71.644357   	1.611179    	43.45     	1770.049257
0.00058139     	529       	84640       	1354240     	69.944045   	1.587176    	42.16     	1915.942512
0.00056570     	539       	86240       	1379840     	69.368853   	1.579359    	43.98     	1598.390650
0.00055000     	549       	87840       	1405440     	67.952183   	1.644029    	42.41     	1886.977380
0.00053430     	559       	89440       	1431040     	68.120592   	1.550399    	44.02     	1765.082201
0.00051861     	569       	91040       	1456640     	66.196552   	1.598471    	44.80     	1925.202797
0.00050296     	579       	92640       	1482240     	66.041711   	1.597566    	43.01     	1916.345842
0.00048737     	589       	94240       	1507840     	64.697569   	1.659321    	41.84     	1826.429902
0.00047186     	599       	95840       	1533440     	63.749075   	1.630152    	43.33     	1906.610344
0.00045644     	609       	97440       	1559040     	63.626914   	1.628438    	44.65     	1912.196974
0.00044114     	619       	99040       	1584640     	61.781760   	1.612677    	43.91     	1934.047996
0.00042596     	629       	100640      	1610240     	61.812892   	1.568410    	44.44     	1920.609607
0.00041094     	639       	102240      	1635840     	61.052351   	1.595127    	45.22     	1918.050709
0.00039609     	649       	103840      	1661440     	60.744872   	1.606851    	44.05     	2066.053734
0.00038143     	659       	105440      	1687040     	59.635015   	1.623025    	43.94     	1304.229011
0.00036697     	669       	107040      	1712640     	59.052287   	1.674589    	43.56     	1934.118726
0.00035273     	679       	108640      	1738240     	58.194647   	1.613343    	44.78     	1871.482247
