Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	254.310527  	1.655220    	19.72     	691.810224
0.00020000     	19        	3040        	48640       	250.168463  	1.754970    	20.52     	1175.613075
0.00030000     	29        	4640        	74240       	246.563234  	1.797239    	19.16     	1297.438064
0.00040000     	39        	6240        	99840       	243.472454  	1.760883    	20.40     	1315.238114
0.00050000     	49        	7840        	125440      	240.614019  	1.782421    	19.33     	1310.730025
0.00060000     	59        	9440        	151040      	238.181306  	1.787740    	19.78     	1327.778318
0.00070000     	69        	11040       	176640      	236.338112  	1.887887    	18.41     	1316.955001
0.00080000     	79        	12640       	202240      	233.754669  	1.859707    	17.38     	1319.465978
0.00090000     	89        	14240       	227840      	232.736280  	1.820201    	18.87     	1321.390397
0.00100000     	99        	15840       	253440      	229.960366  	1.902905    	19.56     	1489.179628
0.00099973     	109       	17440       	279040      	228.061427  	1.987373    	19.44     	1516.837847
0.00099890     	119       	19040       	304640      	226.211354  	1.922445    	19.43     	1788.734119
0.00099753     	129       	20640       	330240      	223.000364  	1.952141    	20.01     	1762.034208
0.00099562     	139       	22240       	355840      	220.150104  	2.014973    	18.48     	1746.743905
0.00099316     	149       	23840       	381440      	218.631689  	1.952154    	18.34     	1800.945479
0.00099017     	159       	25440       	407040      	215.709828  	2.019341    	18.76     	1834.527910
0.00098663     	169       	27040       	432640      	215.087418  	2.058910    	19.15     	2412.310693
0.00098257     	179       	28640       	458240      	214.380310  	1.970267    	19.26     	2022.325604
0.00097798     	189       	30240       	483840      	212.432102  	2.085930    	20.55     	3283.391068
0.00097286     	199       	31840       	509440      	211.627453  	2.100101    	18.55     	1645.893942
0.00096723     	209       	33440       	535040      	210.562998  	2.056064    	19.53     	3212.033625
0.00096110     	219       	35040       	560640      	210.184648  	2.119682    	21.10     	1539.828776
0.00095446     	229       	36640       	586240      	208.841603  	2.145124    	19.91     	1791.414488
0.00094733     	239       	38240       	611840      	206.204407  	2.213479    	18.87     	1765.050743
0.00093971     	249       	39840       	637440      	206.616226  	2.125305    	20.24     	1789.671217
0.00093162     	259       	41440       	663040      	207.745513  	2.214962    	18.41     	2759.454723
0.00092307     	269       	43040       	688640      	203.656315  	2.253890    	19.39     	1808.875148
0.00091406     	279       	44640       	714240      	202.711381  	2.197356    	18.94     	1785.192713
0.00090460     	289       	46240       	739840      	204.349612  	2.128510    	20.10     	2886.182467
0.00089472     	299       	47840       	765440      	203.754517  	2.308146    	18.23     	2838.500577
0.00088442     	309       	49440       	791040      	203.534097  	2.195149    	19.05     	2858.425678
0.00087370     	319       	51040       	816640      	205.537658  	2.208187    	19.20     	1799.598262
0.00086260     	329       	52640       	842240      	205.345312  	2.245657    	19.60     	1488.266794
0.00085111     	339       	54240       	867840      	202.810169  	2.194617    	19.93     	1831.268457
0.00083925     	349       	55840       	893440      	199.526569  	2.237693    	20.44     	1708.978396
0.00082705     	359       	57440       	919040      	199.216898  	2.224596    	19.81     	1887.758933
0.00081450     	369       	59040       	944640      	198.413647  	2.215939    	18.62     	2362.827273
0.00080164     	379       	60640       	970240      	198.333331  	2.288763    	18.84     	1765.800769
0.00078846     	389       	62240       	995840      	197.920067  	2.253302    	18.88     	2094.265224
0.00077500     	399       	63840       	1021440     	199.451591  	2.230205    	19.74     	1751.059436
0.00076126     	409       	65440       	1047040     	198.276385  	2.249340    	20.25     	1771.718136
0.00074727     	419       	67040       	1072640     	196.190698  	2.254951    	19.57     	1771.462544
0.00073303     	429       	68640       	1098240     	196.850271  	2.201520    	18.40     	1795.661094
0.00071857     	439       	70240       	1123840     	195.787308  	2.295333    	18.30     	1775.759070
0.00070391     	449       	71840       	1149440     	194.860266  	2.261470    	19.91     	1786.812955
0.00068906     	459       	73440       	1175040     	195.086316  	2.299407    	19.16     	1778.385511
0.00067404     	469       	75040       	1200640     	194.763686  	2.259886    	20.87     	1770.506591
0.00065886     	479       	76640       	1226240     	197.693822  	2.201705    	18.89     	1769.670450
0.00064356     	489       	78240       	1251840     	198.567603  	2.160651    	19.58     	3293.156957
0.00062814     	499       	79840       	1277440     	196.477181  	2.319292    	17.38     	2054.503906
0.00061263     	509       	81440       	1303040     	197.924750  	2.172117    	19.34     	2963.319642
0.00059704     	519       	83040       	1328640     	195.558274  	2.282001    	20.12     	2662.564158
0.00058139     	529       	84640       	1354240     	193.783267  	2.362671    	20.52     	1754.149355
0.00056570     	539       	86240       	1379840     	192.009841  	2.398274    	17.97     	2553.944110
0.00055000     	549       	87840       	1405440     	192.895306  	2.279004    	18.84     	1660.199634
0.00053430     	559       	89440       	1431040     	193.182822  	2.292151    	19.09     	2021.942077
0.00051861     	569       	91040       	1456640     	193.832848  	2.315552    	19.08     	1805.671672
0.00050296     	579       	92640       	1482240     	194.677188  	2.287220    	19.50     	1795.550962
0.00048737     	589       	94240       	1507840     	191.981683  	2.392560    	18.78     	1741.170690
0.00047186     	599       	95840       	1533440     	189.738957  	2.299713    	18.78     	1826.201455
0.00045644     	609       	97440       	1559040     	188.799381  	2.388925    	19.62     	1812.346932
0.00044114     	619       	99040       	1584640     	189.216632  	2.371970    	19.59     	1828.847594
0.00042596     	629       	100640      	1610240     	189.101163  	2.384509    	18.55     	1829.289953
0.00041094     	639       	102240      	1635840     	188.902767  	2.404767    	19.93     	1838.188547
0.00039609     	649       	103840      	1661440     	188.490833  	2.439389    	19.02     	1811.851412
0.00038143     	659       	105440      	1687040     	188.023468  	2.388935    	18.30     	2763.849386
0.00036697     	669       	107040      	1712640     	186.190938  	2.463373    	19.38     	1841.076770
0.00035273     	679       	108640      	1738240     	185.134183  	2.438283    	20.02     	1824.504212
0.00033874     	689       	110240      	1763840     	185.606676  	2.471173    	20.04     	1514.268985
0.00032500     	699       	111840      	1789440     	186.469560  	2.388413    	20.01     	1428.250975
0.00031154     	709       	113440      	1815040     	185.370566  	2.388573    	19.51     	1464.051970
0.00029836     	719       	115040      	1840640     	185.762237  	2.311177    	19.80     	1456.205579
0.00028550     	729       	116640      	1866240     	186.168241  	2.392987    	18.72     	1454.599318
0.00027295     	739       	118240      	1891840     	184.489477  	2.406555    	18.88     	1470.584386
0.00026075     	749       	119840      	1917440     	183.845610  	2.454898    	19.75     	1493.033418
0.00024889     	759       	121440      	1943040     	183.864989  	2.420589    	19.53     	1488.932688
0.00023740     	769       	123040      	1968640     	183.077975  	2.494319    	19.20     	1488.136570
0.00022630     	779       	124640      	1994240     	181.520146  	2.450628    	19.62     	1484.656188
0.00021558     	789       	126240      	2019840     	181.060605  	2.438802    	20.64     	1493.816594
0.00020528     	799       	127840      	2045440     	180.152538  	2.462885    	19.45     	1494.773090
0.00019540     	809       	129440      	2071040     	181.109406  	2.463141    	20.30     	1417.088249
0.00018594     	819       	131040      	2096640     	179.578167  	2.466030    	19.93     	978.653787
0.00017693     	829       	132640      	2122240     	178.836335  	2.428453    	20.06     	1002.349048
0.00016838     	839       	134240      	2147840     	178.193423  	2.490036    	19.34     	996.888498
0.00016029     	849       	135840      	2173440     	178.288630  	2.494969    	19.46     	997.778453
0.00015267     	859       	137440      	2199040     	178.505415  	2.548649    	19.57     	994.623192
0.00014554     	869       	139040      	2224640     	177.816466  	2.552823    	18.98     	994.316077
0.00013890     	879       	140640      	2250240     	176.601160  	2.618132    	19.62     	978.126417
0.00013277     	889       	142240      	2275840     	176.596473  	2.494714    	20.24     	997.331970
0.00012714     	899       	143840      	2301440     	176.089690  	2.548332    	18.99     	996.018524
0.00012202     	909       	145440      	2327040     	175.697226  	2.551872    	19.49     	990.468663
0.00011743     	919       	147040      	2352640     	175.531625  	2.543778    	18.95     	994.425970
0.00011337     	929       	148640      	2378240     	174.486731  	2.533293    	19.83     	993.100250
0.00010983     	939       	150240      	2403840     	174.235932  	2.601124    	19.10     	986.659480
0.00010684     	949       	151840      	2429440     	174.256914  	2.538463    	19.54     	992.330645
0.00010438     	959       	153440      	2455040     	173.955270  	2.599551    	19.26     	925.588104
0.00010247     	969       	155040      	2480640     	176.367026  	2.568084    	19.62     	497.550275
0.00010110     	979       	156640      	2506240     	175.218656  	2.601216    	19.14     	497.949272
0.00010027     	989       	158240      	2531840     	173.102911  	2.605301    	19.27     	495.084768
0.00010000     	999       	159840      	2557440     	173.126565  	2.611820    	18.66     	496.366075
