Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	260.903137  	1.796290    	18.73     	887.849522
0.00020000     	19        	3040        	48640       	257.902057  	1.800561    	18.21     	900.363732
0.00030000     	29        	4640        	74240       	252.198338  	1.829849    	19.49     	887.659732
0.00040000     	39        	6240        	99840       	248.162184  	1.830394    	20.92     	876.593022
0.00050000     	49        	7840        	125440      	244.646280  	1.823518    	17.55     	910.000286
0.00060000     	59        	9440        	151040      	240.644253  	1.879081    	19.23     	881.903316
0.00070000     	69        	11040       	176640      	238.132275  	1.855627    	17.63     	867.631820
0.00080000     	79        	12640       	202240      	237.095148  	1.841701    	19.71     	911.604360
0.00090000     	89        	14240       	227840      	235.186985  	1.856727    	19.48     	873.378363
0.00100000     	99        	15840       	253440      	235.211098  	1.912236    	18.86     	877.711284
0.00099973     	109       	17440       	279040      	234.290499  	1.859726    	19.47     	909.319509
0.00099890     	119       	19040       	304640      	230.907974  	1.882888    	18.50     	859.791494
0.00099753     	129       	20640       	330240      	228.597381  	1.845427    	19.87     	1185.583735
0.00099562     	139       	22240       	355840      	228.203568  	1.861941    	20.30     	992.338515
0.00099316     	149       	23840       	381440      	225.524589  	1.928894    	17.59     	1116.710007
0.00099017     	159       	25440       	407040      	222.517957  	1.989285    	18.91     	1208.287795
0.00098663     	169       	27040       	432640      	221.772747  	1.931670    	19.64     	1217.850983
0.00098257     	179       	28640       	458240      	221.778420  	1.944146    	18.55     	1174.889258
0.00097798     	189       	30240       	483840      	220.915682  	1.959347    	19.19     	1218.426281
0.00097286     	199       	31840       	509440      	220.063934  	1.983511    	19.66     	1236.784178
0.00096723     	209       	33440       	535040      	218.547742  	1.925116    	19.77     	1204.618555
0.00096110     	219       	35040       	560640      	217.212234  	1.989271    	19.74     	2051.875929
0.00095446     	229       	36640       	586240      	215.526217  	1.955598    	19.91     	2230.027686
0.00094733     	239       	38240       	611840      	214.867558  	2.010363    	19.90     	1027.664038
0.00093971     	249       	39840       	637440      	213.288120  	2.045845    	20.23     	1314.346718
0.00093162     	259       	41440       	663040      	213.520688  	1.991144    	19.36     	2264.454960
0.00092307     	269       	43040       	688640      	211.980114  	1.994836    	20.52     	1247.241170
0.00091406     	279       	44640       	714240      	210.346916  	2.045333    	19.78     	1627.611428
0.00090460     	289       	46240       	739840      	210.407441  	2.005328    	20.80     	2262.103519
0.00089472     	299       	47840       	765440      	207.418743  	2.103964    	20.41     	1213.424491
0.00088442     	309       	49440       	791040      	207.124980  	2.061810    	20.59     	1292.189372
0.00087370     	319       	51040       	816640      	207.427477  	2.068550    	19.76     	1210.701651
0.00086260     	329       	52640       	842240      	205.497652  	2.144844    	20.05     	1208.575071
0.00085111     	339       	54240       	867840      	204.684589  	2.129145    	21.02     	1231.401279
0.00083925     	349       	55840       	893440      	203.980369  	2.061368    	20.71     	2534.994926
0.00082705     	359       	57440       	919040      	201.727508  	2.185737    	20.48     	1200.819156
0.00081450     	369       	59040       	944640      	202.334028  	2.192223    	19.31     	1179.991011
0.00080164     	379       	60640       	970240      	201.054301  	2.092696    	20.88     	1256.339836
0.00078846     	389       	62240       	995840      	201.036817  	2.099141    	20.55     	1925.836777
0.00077500     	399       	63840       	1021440     	201.450220  	2.107179    	19.98     	1322.860176
0.00076126     	409       	65440       	1047040     	199.705706  	2.048155    	18.86     	1344.529421
0.00074727     	419       	67040       	1072640     	198.742703  	2.180826    	21.27     	1804.851829
0.00073303     	429       	68640       	1098240     	196.199560  	2.201120    	21.66     	2308.902395
0.00071857     	439       	70240       	1123840     	195.202253  	2.108432    	19.80     	1127.544155
0.00070391     	449       	71840       	1149440     	194.962251  	2.217038    	21.20     	1888.589944
0.00068906     	459       	73440       	1175040     	193.854395  	2.247342    	19.75     	1100.530466
0.00067404     	469       	75040       	1200640     	192.482655  	2.196476    	20.91     	1127.878743
0.00065886     	479       	76640       	1226240     	191.501263  	2.237101    	20.44     	1255.944071
0.00064356     	489       	78240       	1251840     	191.025620  	2.281482    	21.13     	1203.742567
0.00062814     	499       	79840       	1277440     	190.952133  	2.279378    	19.94     	1388.890096
0.00061263     	509       	81440       	1303040     	188.751176  	2.346138    	20.06     	1692.576006
0.00059704     	519       	83040       	1328640     	188.703381  	2.302694    	20.38     	992.916442
0.00058139     	529       	84640       	1354240     	188.854547  	2.238170    	20.27     	1217.195426
0.00056570     	539       	86240       	1379840     	187.587724  	2.261453    	20.98     	1205.084285
0.00055000     	549       	87840       	1405440     	186.193834  	2.331780    	21.37     	1128.495983
0.00053430     	559       	89440       	1431040     	184.667285  	2.325946    	20.40     	1203.951781
0.00051861     	569       	91040       	1456640     	183.206671  	2.283451    	21.51     	1169.390406
0.00050296     	579       	92640       	1482240     	182.626928  	2.342556    	21.19     	1220.121841
0.00048737     	589       	94240       	1507840     	180.880548  	2.335498    	20.94     	1217.134843
0.00047186     	599       	95840       	1533440     	181.501061  	2.375588    	19.86     	1201.327704
0.00045644     	609       	97440       	1559040     	179.541484  	2.346686    	20.45     	1209.734216
0.00044114     	619       	99040       	1584640     	178.865914  	2.331740    	20.55     	1210.417299
0.00042596     	629       	100640      	1610240     	178.043000  	2.356591    	21.02     	1216.597290
0.00041094     	639       	102240      	1635840     	177.236641  	2.379078    	20.30     	1207.173981
0.00039609     	649       	103840      	1661440     	176.425909  	2.483282    	20.22     	1195.261172
0.00038143     	659       	105440      	1687040     	175.931516  	2.438636    	20.98     	1206.086259
0.00036697     	669       	107040      	1712640     	174.144232  	2.346975    	20.41     	1265.893404
0.00035273     	679       	108640      	1738240     	173.826213  	2.464542    	20.13     	1202.858786
0.00033874     	689       	110240      	1763840     	173.526650  	2.468097    	19.85     	1213.343516
0.00032500     	699       	111840      	1789440     	173.832631  	2.428003    	21.69     	1849.601973
0.00031154     	709       	113440      	1815040     	172.003669  	2.452820    	21.34     	1000.086150
0.00029836     	719       	115040      	1840640     	171.707163  	2.518952    	20.08     	1525.877890
0.00028550     	729       	116640      	1866240     	170.565235  	2.440279    	19.97     	1642.531859
0.00027295     	739       	118240      	1891840     	169.601134  	2.473317    	20.72     	1272.227127
0.00026075     	749       	119840      	1917440     	168.631743  	2.529125    	20.34     	1447.825621
0.00024889     	759       	121440      	1943040     	168.159137  	2.523654    	20.39     	1111.461096
0.00023740     	769       	123040      	1968640     	167.523413  	2.527671    	21.29     	1254.500513
0.00022630     	779       	124640      	1994240     	165.679354  	2.521384    	20.09     	1213.822028
0.00021558     	789       	126240      	2019840     	165.266656  	2.512804    	20.31     	2003.055266
0.00020528     	799       	127840      	2045440     	164.867644  	2.578033    	20.84     	1027.419478
0.00019540     	809       	129440      	2071040     	164.090920  	2.521406    	20.86     	1210.093501
0.00018594     	819       	131040      	2096640     	163.932193  	2.538365    	20.62     	1211.152449
0.00017693     	829       	132640      	2122240     	162.669354  	2.576689    	20.24     	1221.913320
0.00016838     	839       	134240      	2147840     	162.691990  	2.541366    	20.62     	1230.987631
0.00016029     	849       	135840      	2173440     	162.390702  	2.569402    	21.34     	1213.873526
0.00015267     	859       	137440      	2199040     	160.872262  	2.575830    	21.34     	1338.568742
0.00014554     	869       	139040      	2224640     	161.060036  	2.624710    	21.15     	1228.159480
0.00013890     	879       	140640      	2250240     	159.954529  	2.597483    	20.53     	1234.412790
0.00013277     	889       	142240      	2275840     	159.653336  	2.535360    	21.28     	1216.381721
0.00012714     	899       	143840      	2301440     	159.581895  	2.605806    	20.47     	1229.333775
0.00012202     	909       	145440      	2327040     	157.819646  	2.632642    	19.53     	1229.567733
0.00011743     	919       	147040      	2352640     	157.724012  	2.598685    	20.18     	1226.077163
0.00011337     	929       	148640      	2378240     	158.122331  	2.660299    	21.30     	1223.860317
0.00010983     	939       	150240      	2403840     	157.763637  	2.643944    	19.98     	1225.944158
0.00010684     	949       	151840      	2429440     	156.822155  	2.645382    	20.39     	1233.927926
0.00010438     	959       	153440      	2455040     	156.913814  	2.662855    	20.02     	1226.588620
0.00010247     	969       	155040      	2480640     	155.902680  	2.671974    	20.95     	1743.982904
0.00010110     	979       	156640      	2506240     	156.374132  	2.691071    	20.18     	1238.661058
0.00010027     	989       	158240      	2531840     	155.923373  	2.643521    	21.03     	1210.831880
0.00010000     	999       	159840      	2557440     	154.436651  	2.682346    	20.44     	1223.068900
