Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	255.873217  	1.680725    	15.68     	1749.368696
0.00020000     	19        	3040        	48640       	247.170855  	1.793994    	12.02     	1704.770521
0.00030000     	29        	4640        	74240       	240.609257  	1.903440    	12.00     	2262.295642
0.00040000     	39        	6240        	99840       	234.691679  	1.955443    	14.30     	1951.826449
0.00050000     	49        	7840        	125440      	228.484728  	2.047107    	13.76     	2081.240935
0.00060000     	59        	9440        	151040      	221.847115  	2.113512    	14.22     	1834.610228
0.00070000     	69        	11040       	176640      	213.164515  	2.014843    	17.23     	1780.061074
0.00080000     	79        	12640       	202240      	204.456826  	2.010945    	17.09     	2123.100833
0.00090000     	89        	14240       	227840      	198.142506  	1.957677    	21.88     	1377.051362
0.00100000     	99        	15840       	253440      	184.293465  	1.853800    	25.88     	1609.504785
0.00099973     	109       	17440       	279040      	166.057095  	1.626970    	35.96     	1426.385075
0.00099890     	119       	19040       	304640      	138.289594  	1.292022    	48.96     	1910.312256
0.00099753     	129       	20640       	330240      	119.077113  	1.140576    	52.81     	1652.002747
0.00099562     	139       	22240       	355840      	109.333512  	1.030180    	57.02     	1427.904074
0.00099316     	149       	23840       	381440      	102.337575  	0.944299    	59.80     	1857.915702
0.00099017     	159       	25440       	407040      	97.819647   	1.001885    	58.29     	1404.831695
0.00098663     	169       	27040       	432640      	95.342532   	0.881486    	60.79     	2171.768470
0.00098257     	179       	28640       	458240      	92.370330   	0.887659    	62.61     	1651.323612
0.00097798     	189       	30240       	483840      	89.554683   	0.889768    	61.96     	1473.145576
0.00097286     	199       	31840       	509440      	87.137220   	0.870776    	61.48     	1739.450162
0.00096723     	209       	33440       	535040      	85.267973   	0.888555    	61.19     	1726.397249
0.00096110     	219       	35040       	560640      	84.263109   	0.810850    	63.38     	1457.957879
0.00095446     	229       	36640       	586240      	82.911916   	0.850754    	62.35     	1650.621259
0.00094733     	239       	38240       	611840      	81.234854   	0.823498    	64.62     	1719.118898
0.00093971     	249       	39840       	637440      	80.169223   	0.827750    	63.71     	2460.676961
0.00093162     	259       	41440       	663040      	78.274773   	0.750588    	70.80     	1959.827726
0.00092307     	269       	43040       	688640      	56.191863   	0.647503    	75.43     	1508.501460
0.00091406     	279       	44640       	714240      	48.331351   	0.617677    	76.51     	1621.008144
0.00090460     	289       	46240       	739840      	45.464674   	0.626058    	76.46     	1623.712124
0.00089472     	299       	47840       	765440      	44.866095   	0.571617    	77.73     	2268.470112
0.00088442     	309       	49440       	791040      	43.864357   	0.566344    	77.55     	1483.599253
0.00087370     	319       	51040       	816640      	41.922205   	0.677485    	74.02     	1710.289498
0.00086260     	329       	52640       	842240      	41.339595   	0.629910    	75.09     	1735.242370
0.00085111     	339       	54240       	867840      	40.948696   	0.562590    	79.05     	1773.277991
0.00083925     	349       	55840       	893440      	40.087686   	0.617968    	76.56     	2037.344241
0.00082705     	359       	57440       	919040      	39.287595   	0.566987    	77.73     	1717.307162
0.00081450     	369       	59040       	944640      	37.949475   	0.542002    	79.63     	1375.238016
0.00080164     	379       	60640       	970240      	36.894176   	0.564946    	78.40     	2506.903704
0.00078846     	389       	62240       	995840      	36.317569   	0.619660    	74.89     	1729.152077
0.00077500     	399       	63840       	1021440     	34.708821   	0.551611    	79.12     	1843.423051
0.00076126     	409       	65440       	1047040     	33.833959   	0.518132    	79.84     	2152.750244
0.00074727     	419       	67040       	1072640     	33.904145   	0.533833    	79.28     	1766.891804
0.00073303     	429       	68640       	1098240     	33.419494   	0.552754    	78.10     	1831.400812
0.00071857     	439       	70240       	1123840     	30.388835   	0.465162    	81.48     	2035.608029
0.00070391     	449       	71840       	1149440     	25.805720   	0.487521    	81.45     	1439.156055
0.00068906     	459       	73440       	1175040     	22.617942   	0.443132    	81.89     	2268.505148
