Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	255.224545  	1.670401    	15.98     	3457.244469
0.00020000     	19        	3040        	48640       	246.871802  	1.790000    	13.26     	3538.448556
0.00030000     	29        	4640        	74240       	239.265284  	1.989851    	11.34     	3558.515029
0.00040000     	39        	6240        	99840       	231.234377  	1.946056    	13.98     	3637.032425
0.00050000     	49        	7840        	125440      	225.009077  	1.986747    	14.49     	3216.092218
0.00060000     	59        	9440        	151040      	219.681796  	2.059582    	15.51     	3298.174783
0.00070000     	69        	11040       	176640      	214.360683  	1.963892    	18.13     	3051.509275
0.00080000     	79        	12640       	202240      	204.800611  	1.959903    	19.99     	3106.457755
0.00090000     	89        	14240       	227840      	196.075498  	1.985603    	18.40     	2786.394565
0.00100000     	99        	15840       	253440      	191.057350  	2.108436    	19.82     	3200.070154
0.00099973     	109       	17440       	279040      	183.423211  	2.130732    	18.51     	3035.428805
0.00099890     	119       	19040       	304640      	177.349246  	1.972624    	22.61     	3442.798161
0.00099753     	129       	20640       	330240      	168.827791  	2.157183    	21.47     	3152.463940
0.00099562     	139       	22240       	355840      	165.518474  	2.203270    	20.41     	2845.647986
0.00099316     	149       	23840       	381440      	160.697654  	2.098166    	22.71     	2901.955174
0.00099017     	159       	25440       	407040      	154.431838  	2.067410    	24.31     	3392.157203
0.00098663     	169       	27040       	432640      	148.284787  	1.943317    	26.75     	2811.032804
0.00098257     	179       	28640       	458240      	143.729324  	1.984567    	27.46     	2732.297624
0.00097798     	189       	30240       	483840      	140.314818  	1.979784    	26.24     	2809.435585
0.00097286     	199       	31840       	509440      	136.616680  	2.060048    	27.41     	2943.277088
0.00096723     	209       	33440       	535040      	133.995043  	2.026612    	26.15     	3285.023042
0.00096110     	219       	35040       	560640      	134.951956  	2.042457    	27.65     	3186.714141
0.00095446     	229       	36640       	586240      	130.750801  	2.047385    	29.41     	3156.273301
0.00094733     	239       	38240       	611840      	129.337276  	2.187919    	25.71     	3107.822453
0.00093971     	249       	39840       	637440      	128.934425  	2.086223    	27.05     	2847.574503
0.00093162     	259       	41440       	663040      	124.686188  	2.121240    	26.12     	2744.239507
0.00092307     	269       	43040       	688640      	124.577867  	2.053421    	29.16     	2825.693244
0.00091406     	279       	44640       	714240      	124.142247  	2.214045    	25.23     	3087.103320
0.00090460     	289       	46240       	739840      	122.996674  	2.120834    	27.89     	2973.842459
0.00089472     	299       	47840       	765440      	121.271200  	2.228195    	25.94     	2737.863117
0.00088442     	309       	49440       	791040      	118.863272  	2.113015    	27.55     	2567.647935
0.00087370     	319       	51040       	816640      	119.211267  	2.172208    	28.14     	2756.378265
0.00086260     	329       	52640       	842240      	116.745788  	2.234615    	26.16     	2688.061333
0.00085111     	339       	54240       	867840      	116.509895  	2.140675    	28.66     	2489.636016
0.00083925     	349       	55840       	893440      	113.812277  	2.179252    	28.77     	2974.543321
0.00082705     	359       	57440       	919040      	111.149041  	2.202707    	30.29     	3094.643318
0.00081450     	369       	59040       	944640      	111.102473  	2.141501    	29.74     	3107.971003
0.00080164     	379       	60640       	970240      	111.407913  	2.234483    	28.11     	2563.825553
0.00078846     	389       	62240       	995840      	110.286976  	2.176463    	28.36     	2707.375748
0.00077500     	399       	63840       	1021440     	109.643112  	2.291222    	27.73     	3018.092088
0.00076126     	409       	65440       	1047040     	106.073564  	2.302915    	29.01     	3167.774539
0.00074727     	419       	67040       	1072640     	107.494789  	2.348583    	27.73     	2705.621562
0.00073303     	429       	68640       	1098240     	105.723612  	2.342093    	27.36     	2615.180456
0.00071857     	439       	70240       	1123840     	103.589579  	2.173617    	29.84     	2820.202346
0.00070391     	449       	71840       	1149440     	104.518180  	2.163690    	30.39     	3143.416443
0.00068906     	459       	73440       	1175040     	103.527206  	2.199275    	29.89     	3151.466459
0.00067404     	469       	75040       	1200640     	102.367476  	2.211573    	29.11     	2883.134744
0.00065886     	479       	76640       	1226240     	103.612842  	2.241671    	28.23     	2642.378154
0.00064356     	489       	78240       	1251840     	100.482856  	2.141503    	28.48     	3106.178865
0.00062814     	499       	79840       	1277440     	101.437649  	2.228749    	30.13     	2870.531852
0.00061263     	509       	81440       	1303040     	98.377849   	2.253360    	28.26     	2866.550488
0.00059704     	519       	83040       	1328640     	100.670348  	2.346155    	27.73     	3234.096061
0.00058139     	529       	84640       	1354240     	98.638888   	2.211370    	30.12     	3255.076251
0.00056570     	539       	86240       	1379840     	97.149616   	2.225603    	30.25     	3313.629549
0.00055000     	549       	87840       	1405440     	99.262599   	2.264652    	27.90     	3031.760871
0.00053430     	559       	89440       	1431040     	97.297776   	2.382255    	28.39     	2536.738188
0.00051861     	569       	91040       	1456640     	95.648218   	2.258514    	29.12     	2557.779427
0.00050296     	579       	92640       	1482240     	95.440748   	2.236105    	29.12     	3051.991357
0.00048737     	589       	94240       	1507840     	94.989087   	2.254262    	29.41     	3003.624823
0.00047186     	599       	95840       	1533440     	93.256746   	2.155136    	31.02     	3273.065305
0.00045644     	609       	97440       	1559040     	92.458855   	2.238471    	29.38     	3168.878102
0.00044114     	619       	99040       	1584640     	94.064851   	2.185835    	28.51     	2970.186062
0.00042596     	629       	100640      	1610240     	92.934022   	2.323894    	29.59     	3025.889690
0.00041094     	639       	102240      	1635840     	90.754308   	2.199756    	29.27     	2933.353297
0.00039609     	649       	103840      	1661440     	91.140418   	2.255213    	29.45     	2727.775263
0.00038143     	659       	105440      	1687040     	91.008804   	2.294329    	29.70     	2972.631612
0.00036697     	669       	107040      	1712640     	88.888836   	2.309860    	30.11     	3011.780556
0.00035273     	679       	108640      	1738240     	90.721237   	2.341392    	30.24     	3053.118199
0.00033874     	689       	110240      	1763840     	89.363899   	2.380360    	28.97     	3018.364781
0.00032500     	699       	111840      	1789440     	88.486761   	2.343304    	29.51     	3013.688013
0.00031154     	709       	113440      	1815040     	88.011322   	2.201104    	32.02     	3060.208206
0.00029836     	719       	115040      	1840640     	90.085241   	2.348057    	29.66     	3077.813824
0.00028550     	729       	116640      	1866240     	87.844416   	2.275707    	29.95     	4415.119263
0.00027295     	739       	118240      	1891840     	86.016690   	2.373685    	30.36     	2898.505676
0.00026075     	749       	119840      	1917440     	87.133347   	2.450175    	28.97     	3114.606083
0.00024889     	759       	121440      	1943040     	86.796373   	2.343594    	30.09     	3036.143885
0.00023740     	769       	123040      	1968640     	84.404278   	2.270548    	29.42     	2982.799892
0.00022630     	779       	124640      	1994240     	84.837737   	2.398482    	30.09     	3371.980184
0.00021558     	789       	126240      	2019840     	83.856049   	2.414383    	28.28     	2879.617223
