Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	252.474565  	1.707680    	18.44     	1780.185675
0.00020000     	19        	3040        	48640       	244.678325  	1.774871    	18.98     	1769.764533
0.00030000     	29        	4640        	74240       	239.497947  	1.795502    	17.81     	1753.388646
0.00040000     	39        	6240        	99840       	235.746527  	1.807660    	20.70     	1759.138233
0.00050000     	49        	7840        	125440      	231.992509  	1.793396    	20.86     	1739.563612
0.00060000     	59        	9440        	151040      	226.894787  	1.830319    	22.11     	1751.783987
0.00070000     	69        	11040       	176640      	222.359968  	1.769548    	24.45     	1766.864083
0.00080000     	79        	12640       	202240      	214.597032  	1.662529    	28.28     	1757.577730
0.00090000     	89        	14240       	227840      	205.807743  	1.710179    	24.92     	1768.445444
0.00100000     	99        	15840       	253440      	197.167075  	1.710614    	26.64     	1758.100616
0.00099973     	109       	17440       	279040      	194.218414  	1.669335    	31.33     	1764.573529
0.00099890     	119       	19040       	304640      	191.126557  	1.626925    	30.23     	1760.108782
0.00099753     	129       	20640       	330240      	185.267515  	1.648946    	30.86     	1751.494564
0.00099562     	139       	22240       	355840      	172.944936  	1.651926    	35.00     	1746.542228
0.00099316     	149       	23840       	381440      	168.451136  	1.626491    	34.92     	1750.459755
0.00099017     	159       	25440       	407040      	163.483409  	1.611216    	35.62     	1753.008144
0.00098663     	169       	27040       	432640      	157.086824  	1.674937    	34.22     	1742.647875
0.00098257     	179       	28640       	458240      	155.174313  	1.730804    	34.61     	1738.033428
0.00097798     	189       	30240       	483840      	149.957741  	1.528830    	38.59     	1738.498824
0.00097286     	199       	31840       	509440      	149.367397  	1.610174    	36.88     	1733.857241
0.00096723     	209       	33440       	535040      	145.745076  	1.653732    	36.17     	1738.631284
0.00096110     	219       	35040       	560640      	143.656855  	1.625907    	34.53     	1748.279681
0.00095446     	229       	36640       	586240      	142.163244  	1.629573    	34.45     	1750.176190
