Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00029882     	4         	300         	4800        	120.352336  	1.624779    	20.27     	826.021046
0.00029406     	9         	675         	10800       	118.968986  	1.627939    	19.05     	857.482112
0.00028577     	14        	1050        	16800       	118.838347  	1.637690    	18.10     	956.969204
0.00027415     	19        	1425        	22800       	118.236008  	1.726816    	17.40     	871.425937
0.00025948     	24        	1800        	28800       	118.330672  	1.666523    	17.77     	776.290167
0.00024213     	29        	2175        	34800       	117.667392  	1.667331    	18.95     	831.420224
0.00022252     	34        	2550        	40800       	117.557172  	1.697114    	17.07     	788.281891
0.00020114     	39        	2925        	46800       	117.151193  	1.714036    	17.00     	850.596652
0.00017851     	44        	3300        	52800       	116.703692  	1.745989    	18.00     	922.851623
0.00015520     	49        	3675        	58800       	116.314020  	1.699458    	18.40     	938.526688
0.00013176     	54        	4050        	64800       	116.120804  	1.723143    	17.35     	789.288113
0.00010879     	59        	4425        	70800       	115.865640  	1.737188    	18.57     	892.827748
0.00008685     	64        	4800        	76800       	114.977558  	1.787149    	16.52     	720.047803
0.00006647     	69        	5175        	82800       	114.591371  	1.764551    	16.23     	875.029138
0.00004816     	74        	5550        	88800       	113.970677  	1.791158    	16.98     	871.261115
0.00003237     	79        	5925        	94800       	113.719905  	1.780453    	16.57     	863.595186
0.00001949     	84        	6300        	100800      	113.515841  	1.783563    	17.52     	903.564648
0.00000984     	89        	6675        	106800      	113.356559  	1.786541    	17.32     	983.973460
