Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	1440        	23040       	252.167885  	1.693746    	18.48     	3169.410257
0.00020000     	19        	3040        	48640       	245.535630  	1.727567    	19.19     	2855.273449
0.00030000     	29        	4640        	74240       	241.972210  	1.682119    	20.11     	2951.351936
0.00040000     	39        	6240        	99840       	238.643457  	1.807836    	18.30     	3300.705506
0.00050000     	49        	7840        	125440      	236.362346  	1.775129    	20.79     	1410.868398
0.00060000     	59        	9440        	151040      	233.339495  	1.773301    	20.41     	3177.263663
0.00070000     	69        	11040       	176640      	230.745880  	1.890786    	18.47     	2884.695112
0.00080000     	79        	12640       	202240      	227.842726  	1.897089    	18.23     	2578.976007
0.00090000     	89        	14240       	227840      	225.210377  	1.933334    	17.71     	679.227195
0.00100000     	99        	15840       	253440      	222.183821  	1.974095    	18.79     	660.804780
0.00099973     	109       	17440       	279040      	217.846358  	2.008330    	19.50     	660.256901
0.00099890     	119       	19040       	304640      	214.357153  	2.003844    	20.55     	663.150220
0.00099753     	129       	20640       	330240      	211.540110  	1.996559    	20.32     	675.709258
0.00099562     	139       	22240       	355840      	208.749259  	1.993413    	20.55     	754.182640
0.00099316     	149       	23840       	381440      	206.899870  	2.063808    	19.65     	2989.711963
0.00099017     	159       	25440       	407040      	204.086371  	2.090281    	19.81     	671.610309
0.00098663     	169       	27040       	432640      	202.885962  	2.081995    	21.81     	653.942925
0.00098257     	179       	28640       	458240      	200.390004  	2.099887    	19.54     	662.713261
0.00097798     	189       	30240       	483840      	199.102769  	2.105054    	20.35     	644.680995
0.00097286     	199       	31840       	509440      	196.117188  	2.177505    	19.73     	2886.300520
0.00096723     	209       	33440       	535040      	193.670760  	2.103620    	21.14     	759.195355
0.00096110     	219       	35040       	560640      	192.185684  	2.109663    	22.85     	649.638997
0.00095446     	229       	36640       	586240      	191.780683  	2.180989    	20.59     	671.689565
0.00094733     	239       	38240       	611840      	190.005729  	2.229452    	21.33     	682.611289
0.00093971     	249       	39840       	637440      	188.794874  	2.215184    	19.77     	658.162084
0.00093162     	259       	41440       	663040      	187.421089  	2.155493    	20.18     	2422.410869
0.00092307     	269       	43040       	688640      	184.575587  	2.165186    	21.33     	684.857476
0.00091406     	279       	44640       	714240      	182.854942  	2.208809    	21.71     	662.205911
0.00090460     	289       	46240       	739840      	181.346231  	2.190018    	20.77     	651.441311
0.00089472     	299       	47840       	765440      	179.346510  	2.200911    	21.99     	2097.581016
0.00088442     	309       	49440       	791040      	177.940217  	2.238466    	20.79     	786.028598
0.00087370     	319       	51040       	816640      	176.416462  	2.176659    	21.73     	647.070820
0.00086260     	329       	52640       	842240      	175.353256  	2.175148    	22.24     	667.663944
0.00085111     	339       	54240       	867840      	174.324335  	2.210592    	22.11     	653.489751
0.00083925     	349       	55840       	893440      	172.662609  	2.188425    	22.53     	657.320562
