Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	126.416699  	1.718091    	18.27     	2162.227263
0.00020000     	19        	1520        	48640       	122.675165  	1.710482    	18.95     	1753.819650
0.00030000     	29        	2320        	74240       	121.127680  	1.729990    	20.53     	1806.861480
0.00040000     	39        	3120        	99840       	119.479975  	1.788174    	18.47     	1687.571596
0.00050000     	49        	3920        	125440      	118.454241  	1.772807    	19.45     	1756.432716
0.00060000     	59        	4720        	151040      	117.218330  	1.818564    	19.91     	1827.994871
0.00070000     	69        	5520        	176640      	116.093739  	1.844507    	18.62     	1403.999977
0.00080000     	79        	6320        	202240      	114.581581  	1.858342    	18.57     	1019.301348
0.00090000     	89        	7120        	227840      	113.328811  	1.925318    	17.95     	1515.471494
0.00100000     	99        	7920        	253440      	111.762056  	1.945531    	18.77     	1633.616979
0.00099973     	109       	8720        	279040      	110.396050  	1.999991    	19.20     	1208.720294
0.00099890     	119       	9520        	304640      	108.954905  	1.938031    	20.68     	1642.522019
0.00099753     	129       	10320       	330240      	106.809425  	2.029681    	19.00     	1709.271820
0.00099562     	139       	11120       	355840      	104.846226  	2.043396    	20.51     	1148.155336
0.00099316     	149       	11920       	381440      	103.462872  	2.094291    	19.88     	730.363722
0.00099017     	159       	12720       	407040      	101.291298  	2.112672    	20.16     	727.195409
0.00098663     	169       	13520       	432640      	99.996879   	2.063600    	21.15     	703.601574
0.00098257     	179       	14320       	458240      	98.701171   	2.115871    	19.92     	699.131904
0.00097798     	189       	15120       	483840      	98.387313   	2.093868    	20.66     	735.118017
0.00097286     	199       	15920       	509440      	96.883634   	2.201708    	20.11     	1981.291231
0.00096723     	209       	16720       	535040      	95.897897   	2.180864    	21.22     	1303.861380
0.00096110     	219       	17520       	560640      	95.124165   	2.190698    	21.20     	659.770539
0.00095446     	229       	18320       	586240      	94.164608   	2.193418    	19.95     	649.484496
0.00094733     	239       	19120       	611840      	92.388868   	2.242247    	20.33     	714.670275
0.00093971     	249       	19920       	637440      	91.766682   	2.143717    	21.27     	727.396536
0.00093162     	259       	20720       	663040      	90.944855   	2.215094    	21.66     	1940.409074
