Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	126.500484  	1.727869    	19.00     	1260.124255
0.00020000     	19        	1520        	48640       	122.434601  	1.714481    	18.39     	1255.701440
0.00030000     	29        	2320        	74240       	120.823770  	1.835415    	18.12     	1254.588737
0.00040000     	39        	3120        	99840       	119.377384  	1.790533    	18.38     	1249.687063
0.00050000     	49        	3920        	125440      	118.735416  	1.729613    	19.63     	1239.189932
0.00060000     	59        	4720        	151040      	117.493858  	1.765380    	18.81     	1242.903138
0.00070000     	69        	5520        	176640      	115.671487  	1.799267    	20.56     	1240.987454
0.00080000     	79        	6320        	202240      	114.157498  	1.811213    	20.24     	1233.437996
0.00090000     	89        	7120        	227840      	112.012449  	1.810426    	21.85     	1235.343304
0.00100000     	99        	7920        	253440      	110.156539  	1.849959    	22.66     	1239.173000
0.00099973     	109       	8720        	279040      	106.480479  	1.809093    	22.21     	1240.542050
0.00099890     	119       	9520        	304640      	101.597036  	1.689934    	27.80     	1241.039646
0.00099753     	129       	10320       	330240      	97.409219   	1.649245    	30.39     	1238.187010
0.00099562     	139       	11120       	355840      	94.564117   	1.624849    	31.60     	1244.912905
0.00099316     	149       	11920       	381440      	92.726434   	1.688983    	30.71     	1251.291999
0.00099017     	159       	12720       	407040      	87.329698   	1.653683    	32.11     	1330.556433
0.00098663     	169       	13520       	432640      	84.724936   	1.586734    	33.60     	1237.263985
0.00098257     	179       	14320       	458240      	84.100713   	1.606510    	36.13     	1241.838138
0.00097798     	189       	15120       	483840      	79.592971   	1.553691    	36.98     	1229.746387
0.00097286     	199       	15920       	509440      	81.455806   	1.549849    	36.52     	1241.116514
0.00096723     	209       	16720       	535040      	76.279731   	1.557762    	39.16     	1243.169945
0.00096110     	219       	17520       	560640      	74.297541   	1.531865    	39.95     	1247.131123
0.00095446     	229       	18320       	586240      	72.317156   	1.544156    	39.94     	1266.082447
