Learning Rate	Epoch	BatchNum	DataNum	TrainLoss	TestLoss	TestAcc	Time
0.00010000     	9         	720         	23040       	126.525821  	1.705942    	19.22     	2238.114273
0.00020000     	19        	1520        	48640       	122.537289  	1.717620    	18.18     	2213.823708
0.00030000     	29        	2320        	74240       	120.973243  	1.843741    	17.10     	2213.903552
0.00040000     	39        	3120        	99840       	119.812642  	1.761344    	19.62     	2203.335348
0.00050000     	49        	3920        	125440      	119.290622  	1.804822    	18.35     	2207.273117
0.00060000     	59        	4720        	151040      	119.395917  	1.780042    	19.20     	2203.973958
0.00070000     	69        	5520        	176640      	119.038941  	1.744509    	19.52     	2213.841782
0.00080000     	79        	6320        	202240      	116.377511  	1.863116    	18.70     	2206.453912
0.00090000     	89        	7120        	227840      	113.527125  	1.905893    	19.57     	2287.999922
0.00100000     	99        	7920        	253440      	112.031061  	1.866232    	19.70     	2175.637041
0.00099973     	109       	8720        	279040      	110.561518  	1.860613    	20.73     	2175.619123
0.00099890     	119       	9520        	304640      	110.254664  	1.935563    	19.93     	2202.495348
0.00099753     	129       	10320       	330240      	110.411184  	1.847113    	20.15     	2196.200489
0.00099562     	139       	11120       	355840      	109.962279  	1.797586    	21.79     	2170.070369
0.00099316     	149       	11920       	381440      	111.882454  	1.842534    	20.62     	2167.252292
0.00099017     	159       	12720       	407040      	110.761038  	1.960082    	19.75     	2207.873621
0.00098663     	169       	13520       	432640      	109.741381  	1.884731    	19.16     	2550.783907
0.00098257     	179       	14320       	458240      	108.997397  	1.898060    	21.07     	2143.753462
0.00097798     	189       	15120       	483840      	110.310207  	1.831581    	20.44     	2219.412136
0.00097286     	199       	15920       	509440      	112.069831  	1.836733    	20.06     	2238.544599
0.00096723     	209       	16720       	535040      	112.339073  	1.872624    	21.09     	2239.284474
0.00096110     	219       	17520       	560640      	111.568480  	1.876892    	21.20     	2242.880228
0.00095446     	229       	18320       	586240      	109.924552  	1.848918    	20.05     	2254.153884
0.00094733     	239       	19120       	611840      	111.821893  	1.808472    	19.56     	2252.220416
0.00093971     	249       	19920       	637440      	111.998376  	1.850577    	19.58     	2241.368911
0.00093162     	259       	20720       	663040      	109.618118  	1.863736    	20.02     	2233.400052
0.00092307     	269       	21520       	688640      	110.432279  	1.845978    	20.71     	2245.175831
0.00091406     	279       	22320       	714240      	111.619864  	1.864457    	20.87     	2249.318826
0.00090460     	289       	23120       	739840      	113.119124  	1.827663    	21.46     	2242.636752
0.00089472     	299       	23920       	765440      	112.752109  	1.869879    	20.27     	2234.493154
0.00088442     	309       	24720       	791040      	110.380580  	1.854948    	20.25     	2252.647484
0.00087370     	319       	25520       	816640      	110.147798  	1.867642    	21.34     	2243.260469
0.00086260     	329       	26320       	842240      	110.365706  	1.864232    	20.02     	2239.896228
0.00085111     	339       	27120       	867840      	109.878244  	1.912373    	20.08     	2236.403990
0.00083925     	349       	27920       	893440      	110.348127  	1.913396    	20.16     	2246.659496
0.00082705     	359       	28720       	919040      	112.070620  	1.872514    	19.88     	2216.704476
0.00081450     	369       	29520       	944640      	110.778046  	1.926095    	18.95     	2184.201534
0.00080164     	379       	30320       	970240      	108.712035  	1.887850    	20.21     	2239.207527
0.00078846     	389       	31120       	995840      	108.619290  	1.950171    	20.64     	2243.861365
0.00077500     	399       	31920       	1021440     	108.532642  	1.929587    	20.59     	2248.387239
0.00076126     	409       	32720       	1047040     	111.994068  	1.888252    	20.17     	2246.090090
0.00074727     	419       	33520       	1072640     	109.196276  	1.929423    	20.72     	2289.966970
0.00073303     	429       	34320       	1098240     	107.808105  	1.884665    	20.55     	2330.698396
0.00071857     	439       	35120       	1123840     	110.056654  	1.891056    	20.34     	2151.337067
0.00070391     	449       	35920       	1149440     	110.337032  	1.879692    	19.28     	2183.696553
0.00068906     	459       	36720       	1175040     	109.342792  	1.855572    	21.14     	2213.854381
0.00067404     	469       	37520       	1200640     	107.667637  	1.912786    	21.75     	2205.124729
0.00065886     	479       	38320       	1226240     	106.487605  	1.920800    	20.61     	2275.352012
0.00064356     	489       	39120       	1251840     	107.314358  	1.973466    	19.66     	2449.391230
0.00062814     	499       	39920       	1277440     	106.037175  	1.992152    	19.86     	2138.816383
0.00061263     	509       	40720       	1303040     	106.127489  	1.935768    	20.83     	2160.313815
0.00059704     	519       	41520       	1328640     	106.334503  	1.933763    	20.84     	2190.471423
0.00058139     	529       	42320       	1354240     	107.138681  	1.941945    	20.32     	2186.665085
0.00056570     	539       	43120       	1379840     	106.503971  	1.889677    	21.68     	2173.834288
0.00055000     	549       	43920       	1405440     	106.508578  	1.898561    	21.26     	2206.301483
0.00053430     	559       	44720       	1431040     	105.930914  	1.975771    	20.33     	2193.767218
0.00051861     	569       	45520       	1456640     	107.773609  	1.925775    	20.98     	2212.138868
0.00050296     	579       	46320       	1482240     	106.898345  	1.883727    	20.95     	2202.618734
0.00048737     	589       	47120       	1507840     	107.844592  	1.865229    	20.80     	2243.756108
0.00047186     	599       	47920       	1533440     	105.579411  	1.952016    	19.90     	2249.748784
0.00045644     	609       	48720       	1559040     	105.989048  	1.942624    	21.30     	2252.505154
0.00044114     	619       	49520       	1584640     	104.894319  	1.951188    	20.82     	2256.489204
0.00042596     	629       	50320       	1610240     	105.388578  	1.951689    	20.65     	2259.666775
0.00041094     	639       	51120       	1635840     	105.854499  	1.930464    	20.66     	2261.313799
0.00039609     	649       	51920       	1661440     	106.492200  	1.980645    	20.60     	2260.181668
0.00038143     	659       	52720       	1687040     	105.670441  	1.890100    	20.96     	2260.160914
0.00036697     	669       	53520       	1712640     	105.036366  	1.947985    	21.24     	2267.308594
0.00035273     	679       	54320       	1738240     	104.005516  	1.936340    	21.36     	2258.834538
0.00033874     	689       	55120       	1763840     	104.107360  	1.953662    	21.77     	2250.873826
0.00032500     	699       	55920       	1789440     	103.524058  	1.929797    	21.27     	2261.445651
0.00031154     	709       	56720       	1815040     	103.638873  	1.989332    	21.43     	2253.995288
0.00029836     	719       	57520       	1840640     	103.498386  	1.998759    	21.12     	2261.831758
0.00028550     	729       	58320       	1866240     	102.598307  	1.980777    	20.37     	2257.712599
0.00027295     	739       	59120       	1891840     	102.574440  	1.983078    	21.54     	2255.847252
0.00026075     	749       	59920       	1917440     	102.400820  	2.016582    	20.62     	2260.521603
0.00024889     	759       	60720       	1943040     	103.001188  	2.012851    	21.10     	2254.720612
0.00023740     	769       	61520       	1968640     	102.055068  	1.992578    	21.37     	2259.400925
0.00022630     	779       	62320       	1994240     	101.930120  	1.983199    	21.02     	2266.169928
0.00021558     	789       	63120       	2019840     	101.726537  	2.047781    	21.62     	2249.460362
0.00020528     	799       	63920       	2045440     	101.383973  	1.986482    	21.60     	2248.982986
0.00019540     	809       	64720       	2071040     	100.970965  	2.013452    	22.07     	2264.250452
0.00018594     	819       	65520       	2096640     	100.685542  	2.039527    	20.21     	2262.567576
0.00017693     	829       	66320       	2122240     	100.422296  	2.027630    	20.74     	2254.932794
0.00016838     	839       	67120       	2147840     	100.781493  	1.998603    	21.54     	2248.703365
0.00016029     	849       	67920       	2173440     	101.007933  	2.025506    	21.88     	2260.210518
0.00015267     	859       	68720       	2199040     	99.960067   	2.018263    	21.80     	2258.271490
0.00014554     	869       	69520       	2224640     	100.076520  	1.998830    	21.49     	2253.065705
0.00013890     	879       	70320       	2250240     	100.245311  	2.019662    	21.23     	2259.400129
0.00013277     	889       	71120       	2275840     	99.915993   	2.025942    	21.12     	2255.547407
0.00012714     	899       	71920       	2301440     	99.428307   	2.014655    	21.15     	2261.401845
0.00012202     	909       	72720       	2327040     	99.476607   	2.035655    	20.52     	2250.794262
0.00011743     	919       	73520       	2352640     	99.257599   	2.035488    	20.85     	2245.727708
0.00011337     	929       	74320       	2378240     	99.397646   	2.009210    	21.77     	2238.812533
0.00010983     	939       	75120       	2403840     	99.391321   	2.043318    	20.99     	2235.624819
0.00010684     	949       	75920       	2429440     	99.057473   	2.017340    	21.51     	2247.683487
0.00010438     	959       	76720       	2455040     	98.929139   	2.018434    	21.58     	2257.369157
0.00010247     	969       	77520       	2480640     	98.669969   	2.023944    	21.24     	2261.713798
0.00010110     	979       	78320       	2506240     	98.771113   	2.022471    	21.38     	2274.797760
0.00010027     	989       	79120       	2531840     	98.375109   	2.021691    	21.07     	2267.474004
0.00010000     	999       	79920       	2557440     	98.654535   	2.028887    	21.56     	2255.845839
